region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,134.14391,136.37344,34.274719,26.025454,14.940491,14.688119,11.862028,9.9107294
ECS,27.160547,31.461432,15.530366,9.1262236,6.6228199,1.3475397,.95962244,1.0135201
LCN,52.871521,49.235485,52.176891,46.866669,35.041065,8.8129501,7.7121086,8.3920193
MEA,34.744137,43.408482,59.508228,46.382813,19.135956,6.6051073,6.7291856,4.0405054
SAS,181.39836,170.12996,59.465698,52.12624,38.358009,34.460472,29.639303,31.742987
SSF,124.22601,175.41988,85.889442,73.509758,52.620979,34.085812,43.097752,44.900238
_Overall,554.54449,606.02869,56.447186,49.371464,33.923126,100,100,100
