region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,134.14391,136.37344,33.949406,20.844715,11.672092,14.514121,9.6801805,8.320796
ECS,27.275612,31.471869,9.0356674,5.7048235,1.8373988,.7854569,.61139572,.30228201
LCN,52.871521,49.235485,52.476768,47.465626,35.088955,8.8425293,7.9582043,9.030982
MEA,34.744137,43.408482,64.900635,41.875553,21.115307,7.1865106,6.1900311,4.7913551
SAS,181.39836,170.12996,59.342003,53.045483,34.994015,34.307037,30.73172,31.121529
SSF,124.22601,175.41826,86.797646,75.044945,50.636784,34.364346,44.828468,46.433056
_Overall,554.65955,606.03748,56.569962,48.455475,31.565607,100,100,100
