region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,137.56807,138.2959,34.723274,18.524252,10.286269,15.523935,8.9342241,7.3859534
ECS,27.007072,31.968,10.678574,2.8165102,1.1538861,.93724746,.3140029,.19152161
LCN,53.264385,50.470798,52.330833,47.352489,27.704212,9.0585375,8.3346977,7.2598124
MEA,32.533279,43.752998,57.982121,44.687275,24.656752,6.1303525,6.8186526,5.6012259
SAS,174.64784,167.20898,59.594543,47.474567,27.560669,33.824646,27.683914,23.927027
SSF,123.15903,171.0119,86.259605,80.34037,62.658234,34.525284,47.914509,55.63446
_Overall,548.17969,602.70862,56.132393,47.575764,31.95606,100,100,100
