region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,137.56807,138.2959,34.723274,19.329916,12.760264,15.523935,9.0805016,8.5500526
ECS,27.007072,31.968,10.678574,3.0717149,1.6441984,.93724746,.3335546,.25466511
LCN,53.264385,50.470798,52.330833,47.35247,23.6341,9.0585375,8.1180811,5.7793498
MEA,32.533279,43.752998,57.982121,48.835892,36.063183,6.1303525,7.2580094,7.644897
SAS,174.64784,167.20898,59.594543,53.782238,30.769436,33.824646,30.547035,24.927511
SSF,123.15903,171.0119,86.259605,76.886345,63.777233,34.525284,44.662819,52.843525
_Overall,548.17969,602.70862,56.132393,48.845219,34.244659,100,100,100
