region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,137.06055,137.82791,21.1647,31.495644,11.611875,10.048742,11.450868,6.1567526
ECS,27.044895,31.761,13.286224,15.781921,7.8704319,1.2447268,1.3222233,.96162331
LCN,53.347,50.581799,50.779083,61.795959,45.003101,9.3838701,8.2452745,8.7568712
MEA,32.533279,43.752998,63.299294,68.086571,47.013805,7.1336837,7.8581457,7.9130783
SAS,174.64784,167.18701,58.205475,66.093231,35.158318,35.213905,29.148102,22.612202
SSF,123.15903,171.0136,86.667374,93.049339,81.47374,36.975071,41.975388,53.599472
_Overall,547.7926,602.12433,52.698311,62.959763,43.171944,100,100,100
