region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,137.56807,138.2959,34.723274,20.664274,11.740611,15.523935,9.7603388,8.0545816
ECS,27.007072,31.968,10.678574,2.9686458,1.7007852,.93724746,.32412258,.26971674
LCN,53.264385,50.470798,52.330833,47.352489,35.267693,9.0585375,8.1624107,8.8299904
MEA,32.533279,43.752998,57.982121,50.347034,31.161989,6.1303525,7.5234523,6.7635703
SAS,174.64784,167.20898,59.594543,53.714302,37.810585,33.824646,30.675032,31.362886
SSF,123.15903,171.0119,86.259605,74.571465,52.713905,34.525284,43.554642,44.719254
_Overall,548.17969,602.70862,56.132393,48.57996,33.446419,100,100,100
