region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,137.06055,137.82791,21.1647,25.694483,10.812236,10.048742,9.9615297,6.1243186
ECS,27.044895,31.761,13.286224,14.046684,8.1376324,1.2447268,1.2549227,1.0621781
LCN,53.347,50.581799,50.779083,62.57629,54.170841,9.3838701,8.9033422,11.26069
MEA,32.533279,43.752998,63.299294,59.275497,27.044596,7.1336837,7.2951131,4.8628788
SAS,174.64784,167.18701,58.205475,63.864311,48.391869,35.213905,30.033762,33.249111
SSF,123.15903,171.0136,86.667374,88.45726,61.810497,36.975071,42.551331,43.440823
_Overall,547.7926,602.12433,52.698311,59.042515,40.411846,100,100,100
