region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,137.06055,137.82791,21.1647,20.27203,9.3361387,10.048742,8.7766819,5.399972
ECS,27.044895,31.761,13.286224,14.046684,8.1376324,1.2447268,1.401406,1.0846243
LCN,53.347,50.581799,50.779083,58.037647,53.454021,9.3838701,9.221468,11.346496
MEA,32.533279,43.752998,63.299294,32.861774,27.044596,7.1336837,4.5164251,4.965642
SAS,174.64784,167.18701,58.205475,58.44186,46.813633,35.213905,30.691813,32.844448
SSF,123.15903,171.0136,86.667374,84.499603,61.810497,36.975071,45.392204,44.358818
_Overall,547.7926,602.12433,52.698311,52.87104,39.575531,100,100,100
