region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,134.14391,136.37344,33.949406,22.848589,12.244229,14.514121,10.122382,8.4416428
ECS,27.275612,31.471869,9.0356674,5.7387729,1.376579,.7854569,.58672565,.21902281
LCN,52.871521,49.235485,52.476768,47.465614,22.964521,8.8425293,7.5919065,5.7161193
MEA,34.744137,43.408482,64.900635,42.369381,37.635258,7.1865106,5.9747567,8.2591457
SAS,181.39836,170.12996,59.342003,57.054672,29.145643,34.307037,31.533018,25.068024
SSF,124.22601,175.41826,86.797646,77.547455,58.969627,34.364346,44.191212,52.296043
_Overall,554.65955,606.03748,56.569962,50.793362,32.638847,100,100,100
