region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,134.14391,136.37344,33.949406,25.571632,13.597475,14.514121,11.580522,9.5060234
ECS,27.275612,31.471869,9.0356674,5.6991091,1.8373988,.7854569,.5956201,.29643995
LCN,52.871521,49.235485,52.476768,47.465626,35.088955,8.8425293,7.7606349,8.8564453
MEA,34.744137,43.408482,64.900635,50.830151,21.115307,7.1865106,7.3271627,4.6987553
SAS,181.39836,170.12996,59.342003,51.653549,34.994015,34.307037,29.182386,30.52006
SSF,124.22601,175.41826,86.797646,74.767036,51.289108,34.364346,43.553677,46.122276
_Overall,554.65955,606.03748,56.569962,49.689045,32.187683,100,100,100
