region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,137.56807,138.2959,34.358555,25.734621,14.234654,15.290157,12.092373,9.5551615
ECS,27.007072,31.968,11.036071,4.4790397,1.6329844,.96416509,.48650217,.25338405
LCN,53.264385,50.470798,52.330833,47.28825,35.267693,9.0168324,8.1091967,8.6397066
MEA,32.533279,43.752998,63.566669,55.747925,36.446159,6.6898556,8.2874508,7.7400074
SAS,174.64784,167.20898,59.594543,52.265179,37.742748,33.668919,29.693165,30.631969
SSF,123.15903,171.0119,86.268997,71.132561,52.020226,34.370071,41.331314,43.179771
_Overall,548.17969,602.70862,56.392017,48.832413,34.183052,100,100,100
