region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,137.06055,137.82791,21.1647,7.5375896,2.3660009,10.048742,3.8551843,1.9108526
ECS,27.044895,31.761,13.286224,3.4277914,1.809603,1.2447268,.40400252,.33678487
LCN,53.347,50.581799,50.779083,39.579136,19.666872,9.3838701,7.4290981,5.8291426
MEA,32.533279,43.752998,63.299294,54.419418,33.368847,7.1336837,8.8356237,8.5550814
SAS,174.64784,167.18701,58.205475,51.210705,26.354261,35.213905,31.771578,25.81835
SSF,123.15903,171.0136,86.667374,75.171516,57.42989,36.975071,47.704514,57.549789
_Overall,547.7926,602.12433,52.698311,44.754665,28.342537,100,100,100
