region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,137.56807,138.2959,34.723274,19.329916,12.776853,15.375333,8.9673042,8.4102554
ECS,27.007072,31.968,10.678574,3.0717149,1.6498085,.9282757,.32939652,.25102964
LCN,53.264385,50.470798,52.139271,47.162872,23.585146,8.938983,7.9847817,5.6657152
MEA,32.533279,43.752998,63.566669,55.519154,41.211437,6.6564631,8.1484184,8.5822582
SAS,174.64784,167.20898,60.286392,54.312248,31.519653,33.889778,30.463514,25.085169
SSF,123.15903,171.0119,86.300911,76.887276,63.892162,34.211166,44.106583,52.005573
_Overall,548.17969,602.70862,56.674911,49.461811,34.859138,100,100,100
