region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,137.56807,138.2959,34.723274,26.147268,14.62957,15.523935,12.22701,9.8330612
ECS,27.007072,31.968,10.678574,4.0356317,1.7007852,.93724746,.43622607,.26424867
LCN,53.264385,50.470798,52.330833,47.28825,35.267693,9.0585375,8.0700836,8.6509752
MEA,32.533279,43.752998,57.982121,50.347034,31.161989,6.1303525,7.4484577,6.6264491
SAS,174.64784,167.20898,59.594543,52.389423,37.810585,33.824646,29.620192,30.727053
SSF,123.15903,171.0119,86.259605,72.976196,52.816868,34.525284,42.198032,43.898212
_Overall,548.17969,602.70862,56.132393,49.069088,34.138523,100,100,100
