region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,137.06055,138.3389,34.419067,16.196089,10.542946,15.336292,7.9717474,7.3967581
ECS,27.008938,31.965,11.036852,3.267024,1.2082592,.96908432,.37155759,.19587092
LCN,53.264385,50.476799,50.629894,39.976139,22.220213,8.7670355,7.1794596,5.6882038
MEA,32.533279,43.752998,63.566669,51.90485,35.053242,6.7230468,8.0800657,7.7780576
SAS,174.64784,167.207,59.594543,47.333488,31.949408,33.835964,28.159315,27.092707
SSF,123.15903,171.0119,85.839355,79.2798,59.782478,34.368576,48.237854,51.848404
_Overall,547.67401,602.75262,56.165421,46.629612,32.713406,100,100,100
