region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,134.14391,136.37344,33.949406,19.177086,8.7873087,14.514121,9.0865736,6.929379
ECS,27.275612,31.471869,9.0356674,5.2336349,1.0334618,.7854569,.57228667,.18807264
LCN,52.871521,49.235485,52.476768,47.465626,26.964434,8.8425293,8.1197958,7.6767635
MEA,34.744137,43.408482,64.900635,41.875553,25.711643,7.1865106,6.3157201,6.453764
SAS,181.39836,170.12996,59.342003,45.41684,15.399203,34.307037,26.846359,15.14913
SSF,124.22601,175.41826,86.797646,80.49308,62.703735,34.364346,49.059265,63.60289
_Overall,554.65955,606.03748,56.569962,47.491165,28.535919,100,100,100
