region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,137.56807,138.2959,34.723274,26.011557,14.542328,15.523935,12.180624,9.8011017
ECS,27.007072,31.968,10.678574,4.0356317,1.7007852,.93724746,.43683848,.26496992
LCN,53.264385,50.470798,52.330833,47.28825,35.267693,9.0585375,8.0814133,8.6745882
MEA,32.533279,43.752998,57.982121,50.347034,31.161989,6.1303525,7.4589143,6.6445355
SAS,174.64784,167.20898,59.594543,52.253712,37.547791,33.824646,29.584938,30.596775
SSF,123.15903,171.0119,86.259605,72.976196,52.816868,34.525284,42.257271,44.018028
_Overall,548.17969,602.70862,56.132393,49.000298,34.045601,100,100,100
