region,pop_2015,pop_2030,lpv_own_2015,lpv_own_2030,lpv_r80_2030,lps_own_2015,lps_own_2030,lps_r80_2030
EAS,137.56807,138.2959,34.723274,26.011557,14.542328,15.375333,12.046842,9.6491699
ECS,27.007072,31.968,10.678574,4.0356317,1.7007852,.9282757,.43204057,.26086247
LCN,53.264385,50.470798,52.139271,47.098652,35.078094,8.938983,7.9606075,8.4942074
MEA,32.533279,43.752998,63.566669,55.747925,36.446159,6.6564631,8.1683455,7.6507902
SAS,174.64784,167.20898,60.286392,52.831337,38.124084,33.889778,29.583447,30.584806
SSF,123.15903,171.0119,86.300911,73.00338,52.846703,34.211166,41.80872,43.360165
_Overall,548.17969,602.70862,56.674911,49.544456,34.581669,100,100,100
