year,input_flavor,target,region,sim_id,sim_describe,dropped_simulation_sample_id,dropped_spell_sample_id,country_count,num_countries_meeting_target,pop_total,pop_with_data,pop_sim,wgt_adjpro,wgt_growth_rate,specification,growth_type,preference
2016,preference: 1005 | rate_flavor: growei | benchmark: _r90,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,149077719,118834295,136859941,81.21436309814453,2.399266242980957,pref1005_p99,r90,1005
2016,preference: 1005 | rate_flavor: growei | benchmark: _r95,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,149077719,118834295,136859941,81.38078308105469,2.5801470279693604,pref1005_p99,r95,1005
2016,preference: 1005 | rate_flavor: growei | benchmark: _r99,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,149077719,118834295,136859941,81.89086151123047,3.1202850341796875,pref1005_p99,r99,1005
2017,preference: 1005 | rate_flavor: growei | benchmark: _r50,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,149194897,118974717,137035063,80.44458770751953,0.7819802165031433,pref1005_p99,r50,1005
2017,preference: 1005 | rate_flavor: growei | benchmark: _r60,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,149194897,118974717,137035063,81.0390853881836,1.0937520265579224,pref1005_p99,r60,1005
2017,preference: 1005 | rate_flavor: growei | benchmark: _r70,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,149194897,118974717,137035063,82.25386047363281,1.7229845523834229,pref1005_p99,r70,1005
2017,preference: 1005 | rate_flavor: growei | benchmark: _r80,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,149194897,118974717,137035063,82.784942626953125,2.008554220199585,pref1005_p99,r80,1005
2017,preference: 1005 | rate_flavor: growei | benchmark: _r90,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,149194897,118974717,137035063,83.51056671142578,2.398728132247925,pref1005_p99,r90,1005
2017,preference: 1005 | rate_flavor: growei | benchmark: _r95,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,149194897,118974717,137035063,83.84407043457031,2.5801470279693604,pref1005_p99,r95,1005
2017,preference: 1005 | rate_flavor: growei | benchmark: _r99,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,149194897,118974717,137035063,84.863372802734375,3.1202850341796875,pref1005_p99,r99,1005
2018,preference: 1005 | rate_flavor: growei | benchmark: _r50,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,149550605,119310987,137409419,81.224517822265625,0.7819802165031433,pref1005_p99,r50,1005
2018,preference: 1005 | rate_flavor: growei | benchmark: _r60,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,149550605,119310987,137409419,82.10619354248047,1.0937520265579224,pref1005_p99,r60,1005
2018,preference: 1005 | rate_flavor: growei | benchmark: _r70,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,149550605,119310987,137409419,83.92066192626953,1.7207669019699097,pref1005_p99,r70,1005
2018,preference: 1005 | rate_flavor: growei | benchmark: _r80,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,149550605,119310987,137409419,84.718231201171875,2.0069704055786133,pref1005_p99,r80,1005
2018,preference: 1005 | rate_flavor: growei | benchmark: _r90,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,149550605,119310987,137409419,85.807952880859375,2.398010492324829,pref1005_p99,r90,1005
2018,preference: 1005 | rate_flavor: growei | benchmark: _r95,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,149550605,119310987,137409419,86.30965423583984,2.5801470279693604,pref1005_p99,r95,1005
2018,preference: 1005 | rate_flavor: growei | benchmark: _r99,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,149550605,119310987,137409419,87.83714294433594,3.1202850341796875,pref1005_p99,r99,1005
2019,preference: 1005 | rate_flavor: growei | benchmark: _r50,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,150019000,119749000,137891600,81.99305725097656,0.7819802165031433,pref1005_p99,r50,1005
2019,preference: 1005 | rate_flavor: growei | benchmark: _r60,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,150019000,119749000,137891600,83.16749572753906,1.0937520265579224,pref1005_p99,r60,1005
2019,preference: 1005 | rate_flavor: growei | benchmark: _r70,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,150019000,119749000,137891600,85.577667236328125,1.7188411951065063,pref1005_p99,r70,1005
2019,preference: 1005 | rate_flavor: growei | benchmark: _r80,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,150019000,119749000,137891600,86.64201354980469,2.0055949687957764,pref1005_p99,r80,1005
2019,preference: 1005 | rate_flavor: growei | benchmark: _r90,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,150019000,119749000,137891600,88.096221923828125,2.3973870277404785,pref1005_p99,r90,1005
2019,preference: 1005 | rate_flavor: growei | benchmark: _r95,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,150019000,119749000,137891600,88.76670837402344,2.5801470279693604,pref1005_p99,r95,1005
2019,preference: 1005 | rate_flavor: growei | benchmark: _r99,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,2,150019000,119749000,137891600,90.80139923095703,3.1202850341796875,pref1005_p99,r99,1005
2020,preference: 1005 | rate_flavor: growei | benchmark: _r50,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,150628600,120324000,138522300,82.74730682373047,0.7819801568984985,pref1005_p99,r50,1005
2020,preference: 1005 | rate_flavor: growei | benchmark: _r60,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,150628600,120324000,138522300,84.214202880859375,1.0937520265579224,pref1005_p99,r60,1005
2020,preference: 1005 | rate_flavor: growei | benchmark: _r70,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,150628600,120324000,138522300,87.22069549560547,1.717878818511963,pref1005_p99,r70,1005
2020,preference: 1005 | rate_flavor: growei | benchmark: _r80,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,150628600,120324000,138522300,88.55119323730469,2.0049076080322266,pref1005_p99,r80,1005
2020,preference: 1005 | rate_flavor: growei | benchmark: _r90,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,2,150628600,120324000,138522300,90.3690414428711,2.397075653076172,pref1005_p99,r90,1005
2020,preference: 1005 | rate_flavor: growei | benchmark: _r95,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,2,150628600,120324000,138522300,91.207763671875,2.5801470279693604,pref1005_p99,r95,1005
2020,preference: 1005 | rate_flavor: growei | benchmark: _r99,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,2,150628600,120324000,138522300,93.69490051269531,3.1202850341796875,pref1005_p99,r99,1005
2021,preference: 1005 | rate_flavor: growei | benchmark: _r50,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,151525800,121126000,139400600,83.48543548583984,0.7819802165031433,pref1005_p99,r50,1005
2021,preference: 1005 | rate_flavor: growei | benchmark: _r60,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,151525800,121126000,139400600,85.24474334716797,1.0937520265579224,pref1005_p99,r60,1005
2021,preference: 1005 | rate_flavor: growei | benchmark: _r70,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,151525800,121126000,139400600,88.85245513916016,1.718071460723877,pref1005_p99,r70,1005
2021,preference: 1005 | rate_flavor: growei | benchmark: _r80,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,2,151525800,121126000,139400600,90.447601318359375,2.005045175552368,pref1005_p99,r80,1005
2021,preference: 1005 | rate_flavor: growei | benchmark: _r90,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,2,151525800,121126000,139400600,92.60713195800781,2.3971378803253174,pref1005_p99,r90,1005
2021,preference: 1005 | rate_flavor: growei | benchmark: _r95,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,2,151525800,121126000,139400600,93.58100128173828,2.5801470279693604,pref1005_p99,r95,1005
2021,preference: 1005 | rate_flavor: growei | benchmark: _r99,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,3,151525800,121126000,139400600,96.20792388916016,3.1202850341796875,pref1005_p99,r99,1005
