region,country_count_2015,pop_total_2015,pop_with_data_2015,pop_sim_2015,learning_poverty2015own,country_count_2016,pop_total_2016,pop_with_data_2016,pop_sim_2016,learning_poverty2016own,country_count_2017,pop_total_2017,pop_with_data_2017,pop_sim_2017,learning_poverty2017own,country_count_2018,pop_total_2018,pop_with_data_2018,pop_sim_2018,learning_poverty2018own,country_count_2019,pop_total_2019,pop_with_data_2019,pop_sim_2019,learning_poverty2019own,country_count_2020,pop_total_2020,pop_with_data_2020,pop_sim_2020,learning_poverty2020own,country_count_2021,pop_total_2021,pop_with_data_2021,pop_sim_2021,learning_poverty2021own,country_count_2022,pop_total_2022,pop_with_data_2022,pop_sim_2022,learning_poverty2022own,country_count_2023,pop_total_2023,pop_with_data_2023,pop_sim_2023,learning_poverty2023own,country_count_2024,pop_total_2024,pop_with_data_2024,pop_sim_2024,learning_poverty2024own,country_count_2025,pop_total_2025,pop_with_data_2025,pop_sim_2025,learning_poverty2025own,country_count_2026,pop_total_2026,pop_with_data_2026,pop_sim_2026,learning_poverty2026own,country_count_2027,pop_total_2027,pop_with_data_2027,pop_sim_2027,learning_poverty2027own,country_count_2028,pop_total_2028,pop_with_data_2028,pop_sim_2028,learning_poverty2028own,country_count_2029,pop_total_2029,pop_with_data_2029,pop_sim_2029,learning_poverty2029own,country_count_2030,pop_total_2030,pop_with_data_2030,pop_sim_2030,learning_poverty2030own,learning_poverty2015r50,learning_poverty2016r50,learning_poverty2017r50,learning_poverty2018r50,learning_poverty2019r50,learning_poverty2020r50,learning_poverty2021r50,learning_poverty2022r50,learning_poverty2023r50,learning_poverty2024r50,learning_poverty2025r50,learning_poverty2026r50,learning_poverty2027r50,learning_poverty2028r50,learning_poverty2029r50,learning_poverty2030r50,learning_poverty2015r60,learning_poverty2016r60,learning_poverty2017r60,learning_poverty2018r60,learning_poverty2019r60,learning_poverty2020r60,learning_poverty2021r60,learning_poverty2022r60,learning_poverty2023r60,learning_poverty2024r60,learning_poverty2025r60,learning_poverty2026r60,learning_poverty2027r60,learning_poverty2028r60,learning_poverty2029r60,learning_poverty2030r60,learning_poverty2015r70,learning_poverty2016r70,learning_poverty2017r70,learning_poverty2018r70,learning_poverty2019r70,learning_poverty2020r70,learning_poverty2021r70,learning_poverty2022r70,learning_poverty2023r70,learning_poverty2024r70,learning_poverty2025r70,learning_poverty2026r70,learning_poverty2027r70,learning_poverty2028r70,learning_poverty2029r70,learning_poverty2030r70,learning_poverty2015r80,learning_poverty2016r80,learning_poverty2017r80,learning_poverty2018r80,learning_poverty2019r80,learning_poverty2020r80,learning_poverty2021r80,learning_poverty2022r80,learning_poverty2023r80,learning_poverty2024r80,learning_poverty2025r80,learning_poverty2026r80,learning_poverty2027r80,learning_poverty2028r80,learning_poverty2029r80,learning_poverty2030r80,learning_poverty2015r90,learning_poverty2016r90,learning_poverty2017r90,learning_poverty2018r90,learning_poverty2019r90,learning_poverty2020r90,learning_poverty2021r90,learning_poverty2022r90,learning_poverty2023r90,learning_poverty2024r90,learning_poverty2025r90,learning_poverty2026r90,learning_poverty2027r90,learning_poverty2028r90,learning_poverty2029r90,learning_poverty2030r90,learning_poverty2015r95,learning_poverty2016r95,learning_poverty2017r95,learning_poverty2018r95,learning_poverty2019r95,learning_poverty2020r95,learning_poverty2021r95,learning_poverty2022r95,learning_poverty2023r95,learning_poverty2024r95,learning_poverty2025r95,learning_poverty2026r95,learning_poverty2027r95,learning_poverty2028r95,learning_poverty2029r95,learning_poverty2030r95,learning_poverty2015r99,learning_poverty2016r99,learning_poverty2017r99,learning_poverty2018r99,learning_poverty2019r99,learning_poverty2020r99,learning_poverty2021r99,learning_poverty2022r99,learning_poverty2023r99,learning_poverty2024r99,learning_poverty2025r99,learning_poverty2026r99,learning_poverty2027r99,learning_poverty2028r99,learning_poverty2029r99,learning_poverty2030r99,preference
EAS,6,149394031,119064332,137060551,21.164703369140625,6,149077719,118834295,136859941,20.44971466064453,6,149194897,118974717,137035063,19.721351623535156,6,149550605,119310987,137409419,19.007217407226563,6,150019000,119749000,137891600,18.316192626953125,6,150628600,120324000,138522300,17.639266967773438,6,151525800,121126000,139400600,16.97803497314453,6,152505100,122012000,140362900,16.329734802246094,6,153467300,122892000,141321100,15.690185546875,6,154176900,123576000,142048000,15.049270629882812,6,154377900,123869000,142317300,14.397994995117188,6,154150700,123833000,142169200,13.734245300292969,6,153406800,123380000,141555400,13.064468383789063,6,152239200,122572000,140546600,12.393417358398438,6,150797500,121481000,139277700,11.728874206542969,6,149187800,120142000,137827900,11.079620361328125,21.164703369140625,20.36688232421875,19.55541229248047,18.775482177734375,18.006942749023438,17.25269317626953,16.514564514160156,15.789901733398438,15.074577331542969,14.358222961425781,13.631439208984375,12.891944885253906,12.146354675292969,11.399452209472656,10.659454345703125,9.9357147216796875,21.164703369140625,20.05510711669922,18.960914611816406,17.89380645751953,16.832504272460937,15.785797119140625,14.755256652832031,13.738128662109375,12.730232238769531,11.721504211425781,10.703140258789063,9.673187255859375,8.642181396484375,7.6299591064453125,6.6257476806640625,5.638130187988281,21.164703369140625,19.424209594726562,17.746139526367187,16.07933807373047,14.422332763671875,12.779304504394531,11.147544860839844,9.522224426269531,7.898735046386719,6.2794952392578125,4.677490234375,3.0732803344726562,1.4716033935546875,0.58487701416015625,0.52158355712890625,0.4595184326171875,21.164703369140625,19.14818572998047,17.215057373046875,15.281768798828125,13.357986450195313,11.448806762695313,9.552398681640625,7.664306640625,5.815132141113281,3.965362548828125,2.2166061401367187,1.6033935546875,0.99017333984375,0.3916168212890625,0.3676300048828125,0.3442840576171875,21.164703369140625,18.78563690185547,16.48943328857422,14.192047119140625,11.903778076171875,9.630958557128906,7.3928680419921875,5.192222595214844,3.244781494140625,2.6258468627929687,1.9983062744140625,1.4278640747070313,0.86383819580078125,0.30123138427734375,0.26941680908203125,0.23805999755859375,21.164703369140625,18.619216918945313,16.155929565429688,13.690345764160156,11.233291625976563,8.792236328125,6.418998718261719,4.059059143066406,3.3687896728515625,2.7685012817382813,2.2315139770507813,1.693267822265625,1.1526412963867187,0.61287689208984375,0.21677398681640625,0.18112945556640625,21.164703369140625,18.10913848876953,15.136627197265625,12.162857055664063,9.198600769042969,6.3050994873046875,3.7920761108398438,3.0615615844726563,2.3817977905273437,1.7457046508789063,1.098907470703125,0.44617462158203125,0.1941680908203125,0.15114593505859375,0.1073455810546875,0.062774658203125,1005
ECS,12,50506526,20018286,27044897,13.286224365234375,12,51161440,20368622,27500412,12.616539001464844,12,51999312,20796720,28116485,11.953887939453125,12,52970060,21270042,28835805,11.300186157226563,12,53885500,21744000,29559000,10.660720825195312,12,54676500,22192000,30238000,10.063674926757812,12,55346600,22587000,30861000,9.6789398193359375,12,55868600,22933000,31418000,9.343986511230469,12,56237800,23210000,31884000,9.023323059082031,12,56462900,23423000,32250000,8.716987609863281,12,56537000,23548000,32476000,8.414192199707031,12,56500000,23610000,32582000,8.1226654052734375,12,56300000,23583000,32538000,7.8781280517578125,12,55951000,23486000,32376000,7.643684387207031,12,55498000,23319000,32115000,7.437835693359375,12,54950900,23082000,31761000,7.254142761230469,13.286224365234375,12.595230102539063,11.911636352539063,11.23699951171875,10.577606201171875,9.964241027832031,9.429191589355469,9.064460754394531,8.719268798828125,8.3904876708984375,8.063484191894531,7.745429992675781,7.46978759765625,7.202278137207031,6.949546813964844,6.718696594238281,13.286224365234375,12.416229248046875,11.553634643554687,10.706306457519531,9.910858154296875,9.3191070556640625,8.8367919921875,8.3887481689453125,7.958457946777344,7.588584899902344,7.237449645996094,6.890617370605469,6.551788330078125,6.2188568115234375,5.8978729248046875,5.587890625,13.286224365234375,11.852218627929687,10.428886413574219,9.404541015625,8.584648132324219,7.804725646972656,7.050025939941406,6.410987854003906,5.827156066894531,5.273857116699219,4.7231597900390625,4.168670654296875,3.6110763549804687,3.0594406127929687,2.5085601806640625,2.217437744140625,13.286224365234375,11.775154113769531,10.293144226074219,9.218391418457031,8.3455657958984375,7.507171630859375,6.800994873046875,6.1679229736328125,5.5692138671875,4.9871826171875,4.417045593261719,3.8491287231445313,3.275054931640625,2.696807861328125,2.119384765625,1.8019256591796875,13.286224365234375,11.659095764160156,10.0909423828125,9.030799865722656,8.0981292724609375,7.3087310791015625,6.585395812988281,5.928047180175781,5.301177978515625,4.706886291503906,4.1120452880859375,3.5137863159179687,2.9102554321289062,2.3032608032226562,1.7443466186523438,1.459686279296875,13.286224365234375,11.666580200195313,10.105987548828125,9.0536651611328125,8.1289825439453125,7.347831726074219,6.6326751708984375,5.9636993408203125,5.3206787109375,4.709831237792969,4.1120452880859375,3.5137863159179687,2.9102554321289062,2.3032608032226562,1.7443466186523438,1.459686279296875,13.286224365234375,10.934829711914063,9.159034729003906,7.8407440185546875,6.732109069824219,5.688896179199219,4.708282470703125,3.7959671020507813,2.9117889404296875,2.0548934936523437,1.4869155883789063,1.3778228759765625,1.28466796875,1.1844558715820312,1.0856094360351562,0.98950958251953125,1005
LCN,16,54320207,47141204,53347001,50.779083251953125,16,53874523,46769142,52924235,50.157718658447266,16,53419696,46387233,52487704,49.5390510559082,16,52972224,46009003,52056859,48.923370361328125,16,52585700,45658000,51674100,48.30819320678711,16,52293900,45361000,51382800,47.68818283081055,16,52140500,45197000,51234000,47.06385803222656,16,52070700,45089000,51167900,46.438289642333984,16,52046300,45020000,51154200,45.80862045288086,16,52035600,44980000,51155200,45.18391418457031,16,51986100,44949000,51122500,44.56907653808594,16,51910700,44944000,51070600,43.96071243286133,16,51808600,44948000,50997200,43.36378479003906,16,51674300,44948000,50895100,42.77336883544922,16,51508700,44904000,50758900,42.17955780029297,16,51308300,44792000,50581800,41.58537292480469,50.779083251953125,50.17860412597656,49.58049392700195,48.98478317260742,48.388858795166016,47.787559509277344,47.18112564086914,46.57279586791992,45.96018981933594,45.35264587402344,44.75553512573242,44.1656608581543,43.58460998535156,43.01128005981445,42.43519973754883,41.8574104309082,50.779083251953125,50.152137756347656,49.52756881713867,48.905391693115234,48.28300476074219,47.655242919921875,47.022342681884766,46.38755416870117,45.74848175048828,45.114479064941406,44.490901947021484,43.87456512451172,43.26704788208008,42.66725540161133,42.06471633911133,41.4604606628418,50.779083251953125,49.41176986694336,48.04582977294922,46.680885314941406,45.31461715698242,43.94300842285156,42.564178466796875,41.19044876098633,39.81502914428711,38.44419860839844,37.08070373535156,35.7205810546875,34.36515808105469,33.013023376464844,31.65595245361328,30.29686737060547,50.779083251953125,48.96845626831055,47.159820556640625,45.35322570800781,43.54616928100586,41.73341369628906,39.91522979736328,38.10081100463867,36.28330612182617,34.47062683105469,32.66815948486328,30.872703552246094,29.085830688476562,27.306175231933594,25.52362060546875,23.738906860351563,50.779083251953125,48.77184295654297,46.76677322387695,44.76390838623047,42.76070785522461,40.75197219848633,38.737979888916016,36.72795104980469,34.71501159667969,32.70707702636719,30.709518432617188,28.71906280517578,26.73723602294922,24.762855529785156,22.785720825195313,20.806556701660156,50.779083251953125,48.65633773803711,46.53596115112305,44.41798400878906,42.2997932434082,40.176231384277344,38.04752731323242,35.91693878173828,33.782066345214844,31.652252197265625,29.53437042236328,27.426734924316406,25.32770538330078,23.236221313476563,21.14202117919922,19.045799255371094,50.779083251953125,47.45466613769531,44.13261795043945,40.81296920776367,37.493106842041016,34.167869567871094,30.837493896484375,27.511032104492187,24.18169403076172,20.857421875,17.550811767578125,14.270378112792969,11.087142944335938,7.979576110839844,5.6285552978515625,3.9510574340820313,1005
MEA,6,37219229,22375764,32533278,63.299293518066406,6,37709998,22649117,32944277,61.95247268676758,6,38364182,23003601,33506663,60.58891296386719,6,39183069,23427353,34198154,59.212615966796875,6,40154000,23939000,35018000,57.84531021118164,6,41268000,24571000,35973000,56.51884841918945,6,42549000,25348000,37076000,55.268741607666016,6,43918000,26215000,38301000,54.059017181396484,6,45327000,27120000,39581000,52.87148666381836,6,46661000,27960000,40792000,51.65245056152344,6,47753000,28617000,41789000,50.345237731933594,6,48604000,29086000,42574000,48.927284240722656,6,49178000,29370000,43122000,47.43377685546875,6,49529000,29504000,43471000,45.881439208984375,6,49727000,29537000,43673000,44.37881851196289,6,49793000,29506000,43753000,43.61856460571289,63.299293518066406,62.25492858886719,61.19931411743164,60.13747787475586,59.08814239501953,58.075042724609375,57.121490478515625,56.19439697265625,55.27803421020508,54.334983825683594,53.33226776123047,52.260231018066406,51.14911651611328,50.0117073059082,48.89922332763672,47.856842041015625,63.299293518066406,62.11077880859375,60.91101837158203,59.70503616333008,58.51155090332031,57.35430145263672,56.2566032409668,55.185359954833984,54.12485122680664,53.03765106201172,51.89078903198242,50.67460250854492,49.419342041015625,48.13778305053711,46.88114929199219,45.694618225097656,63.299293518066406,61.138179779052734,58.9620246887207,56.775047302246094,54.59904861450195,52.46592330932617,50.41135025024414,48.39923858642578,46.411041259765625,44.393226623535156,42.28911590576172,40.23531723022461,38.768306732177734,37.275177001953125,35.83000183105469,34.488861083984375,63.299293518066406,61.07213592529297,58.83015823364258,56.577613830566406,54.33613967895508,52.13715744018555,50.01565170288086,47.935699462890625,45.87891387939453,43.79267501831055,41.62165451049805,39.5031623840332,37.973426818847656,36.41933059692383,34.913230895996094,33.509063720703125,63.299293518066406,60.35293197631836,57.39409255981445,54.42752456665039,51.472965240478516,48.55680465698242,45.70637512207031,42.887611389160156,40.08386993408203,37.25248718261719,34.35277557373047,31.52973175048828,29.31694793701172,27.098846435546875,24.92926025390625,22.838729858398438,63.299293518066406,59.974037170410156,56.637535095214844,53.29480743408203,49.96458435058594,46.67059326171875,43.43614959716797,40.22816467285156,37.03091812133789,33.806976318359375,30.52336883544922,27.329147338867188,24.756515502929688,22.18860626220703,19.66948699951172,17.217361450195313,63.299293518066406,59.974037170410156,56.637535095214844,53.29480743408203,49.96458435058594,46.67059326171875,43.43614959716797,40.22816467285156,37.03091812133789,33.806976318359375,30.52336883544922,27.329147338867188,24.756515502929688,22.18860626220703,19.66948699951172,17.217361450195313,1005
NAC,0,22578317,0,0,NA,0,22737231,0,0,NA,0,22894988,0,0,NA,0,23045167,0,0,NA,0,23143000,0,0,NA,0,23127000,0,0,NA,0,23120000,0,0,NA,0,22992000,0,0,NA,0,22774000,0,0,NA,0,22527000,0,0,NA,0,22316000,0,0,NA,0,22261000,0,0,NA,0,22223000,0,0,NA,0,22193000,0,0,NA,0,22171000,0,0,NA,0,22167000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1005
SAS,5,174647837,171290911,174647837,58.205474853515625,5,175077905,171816252,175077905,57.557613372802734,5,175352123,172166136,175352123,56.91460037231445,5,175469465,172344232,175469465,56.27745056152344,5,175307000,172233000,175307000,55.65138244628906,5,174676000,171645000,174676000,55.036338806152344,5,173463000,170479000,173463000,54.43122863769531,5,171907000,168958000,171907000,53.83881759643555,5,170127000,167209000,170127000,53.2558708190918,5,168476000,165585000,168476000,52.674652099609375,5,167302000,164441000,167302000,52.0859260559082,5,166688000,163852000,166688000,51.4859733581543,5,166557000,163740000,166557000,50.87643051147461,5,166771000,163973000,166771000,50.2581901550293,5,167057000,164274000,167057000,49.63297653198242,5,167187000,164410000,167187000,49.00105285644531,58.205474853515625,57.454524993896484,56.70842361450195,55.96818161010742,55.23902130126953,54.52088928222656,53.81269073486328,53.1171875,52.43115234375,51.74684524536133,51.05502700805664,50.35198211669922,49.63935089111328,48.91802215576172,48.18971633911133,47.454708099365234,58.205474853515625,57.14274597167969,56.08488082885742,55.032859802246094,53.99193572998047,52.96202850341797,51.94206237792969,50.93478012084961,49.936981201171875,48.94089889526367,47.93730926513672,46.922489166259766,45.89809036254883,44.864986419677734,43.83012008666992,42.79404067993164,58.205474853515625,56.755760192871094,55.31089782714844,53.87188720703125,52.443965911865234,51.02706527709961,49.6201057434082,48.2258415222168,46.841041564941406,45.457969665527344,44.06756591796875,42.680912017822266,41.284454345703125,39.87902069091797,38.46625518798828,37.04632568359375,58.205474853515625,56.40095520019531,54.60128402709961,52.807472229003906,51.024742126464844,49.25303649902344,47.491268157958984,45.7421989440918,44.00259780883789,42.282535552978516,40.555992126464844,38.8179931640625,37.07004928588867,35.313011169433594,33.548500061035156,31.776641845703125,58.205474853515625,55.91618347167969,53.63174057006836,51.353153228759766,49.085655212402344,46.82917785644531,44.582637786865234,42.36371612548828,40.16326904296875,37.964542388916016,35.75812530517578,33.540077209472656,31.311904907226562,29.07447052001953,26.829368591308594,24.57666778564453,58.205474853515625,55.65635681152344,53.112091064453125,50.57367706298828,48.04635238647461,45.530052185058594,43.03076934814453,40.563629150390625,38.106075286865234,35.65020751953125,33.18659210205078,30.71125030517578,28.225692749023438,25.73077392578125,23.22808074951172,20.717674255371094,58.205474853515625,55.11621856689453,52.03181457519531,48.95326614379883,45.88580322265625,42.83766174316406,39.823150634765625,36.82150650024414,33.8294677734375,30.83905029296875,27.84075927734375,24.830543518066406,21.809906005859375,18.77972412109375,15.741554260253906,12.695388793945312,1005
SSF,17,123159024,56789447,123159024,86.69060516357422,17,126528932,58321977,126528932,85.63557434082031,17,130017851,59929514,130017851,84.57630920410156,17,133576484,61586844,133576484,83.51509094238281,17,137130200,63260000,137130200,82.4559097290039,17,140587400,64902000,140587400,81.40106201171875,17,143980500,66532000,143980500,80.3519058227539,17,147325600,68158000,147325600,79.308837890625,17,150620600,69775000,150620600,78.2722396850586,17,153830800,71364000,153830800,77.241180419921875,17,156898800,72890000,156898800,76.21607971191406,17,159815800,74365000,159815800,75.19618225097656,17,162662800,75802000,162662800,74.181793212890625,17,165439800,77204000,165439800,73.17362976074219,17,168218800,78584000,168218800,72.167633056640625,17,171013600,79938000,171013600,71.16229248046875,86.69060516357422,85.67728424072266,84.65946960449219,83.6397476196289,82.6219253540039,81.60761260986328,80.5982666015625,79.59346008300781,78.59339904785156,77.59715270996094,76.60511779785156,75.6165771484375,74.63140869140625,73.65013885498047,72.66934967041016,71.68817901611328,86.69060516357422,84.780853271484375,82.866607666015625,80.95045471191406,79.03620147705078,77.125457763671875,75.21968078613281,73.31844329833984,71.42195129394531,69.529266357421875,67.64080810546875,65.75584411621094,63.87423324584961,61.99653625488281,60.11931610107422,58.2417106628418,86.69060516357422,84.50281524658203,82.310791015625,80.11681365966797,77.92488861083984,75.737335205078125,73.555511474609375,71.3798599243164,69.21077728271484,67.04731750488281,64.88990783691406,62.737789154052734,60.59129333496094,58.451148986816406,56.313255310058594,54.17607879638672,86.69060516357422,84.03306579589844,81.37102508544922,78.70707702636719,76.04503631591797,73.386505126953125,70.7329330444336,68.08390808105469,65.43962097167969,62.79914855957031,60.16290283203125,57.5301399230957,54.90073776245117,52.27525329589844,49.65024185180664,47.024845123291016,86.69060516357422,83.229766845703125,79.7644271850586,76.29718017578125,72.83183288574219,69.37000274658203,65.91313171386719,62.46080780029297,59.013221740722656,55.56945037841797,52.12990188598633,48.69384002685547,45.261138916015625,41.83235168457031,38.40449905395508,34.987518310546875,86.69060516357422,82.805450439453125,78.915802001953125,75.02423858642578,71.13458251953125,67.248443603515625,63.36725616455078,59.49061584472656,55.618717193603516,51.750633239746094,47.88677215576172,44.02639389038086,40.16938781738281,36.32396697998047,32.48460388183594,28.64440155029297,86.69060516357422,82.805450439453125,78.915802001953125,75.02423858642578,71.13458251953125,67.248443603515625,63.36725616455078,59.49061584472656,55.618717193603516,51.750633239746094,47.88677215576172,44.02639389038086,40.16938781738281,36.32396697998047,32.48460388183594,28.64440155029297,1005
Global,NA,NA,NA,NA,52.70353698730469,NA,NA,NA,NA,52.105525970458984,NA,NA,NA,NA,51.47286605834961,NA,NA,NA,NA,50.823970794677734,NA,NA,NA,NA,50.17112731933594,NA,NA,NA,NA,49.50953674316406,NA,NA,NA,NA,48.847286224365234,NA,NA,NA,NA,48.18718719482422,NA,NA,NA,NA,47.53089141845703,NA,NA,NA,NA,46.88409423828125,NA,NA,NA,NA,46.252296447753906,NA,NA,NA,NA,45.62955093383789,NA,NA,NA,NA,45.031036376953125,NA,NA,NA,NA,44.45079803466797,NA,NA,NA,NA,43.89128494262695,NA,NA,NA,NA,43.39875411987305,52.70353698730469,52.08083724975586,51.42499542236328,50.75904846191406,50.088287353515625,49.410709381103516,48.72673797607422,48.05280685424805,47.38445281982422,46.72745895385742,46.08747863769531,45.45891189575195,44.85580825805664,44.27231216430664,43.706722259521484,43.15949249267578,52.70353698730469,51.678993225097656,50.62283706665039,49.550384521484375,48.468658447265625,47.38427734375,46.291683197021484,45.198299407958984,44.10658645629883,43.024593353271484,41.956024169921875,40.89446258544922,39.85170364379883,38.826942443847656,37.81424331665039,36.81253433227539,52.70353698730469,51.1788215637207,49.63606643676758,48.09381103515625,46.55241775512695,45.000579833984375,43.434871673583984,41.87171936035156,40.31081771850586,38.759700775146484,37.2283935546875,35.7218017578125,34.28382873535156,33.031982421875,31.9810791015625,30.9466552734375,52.70353698730469,50.83979034423828,48.963783264160156,47.08604431152344,45.209259033203125,43.322113037109375,41.427791595458984,39.53435516357422,37.65073776245117,35.779144287109375,33.94612121582031,32.40308380126953,30.919143676757813,29.446029663085938,28.108779907226563,26.781997680664062,52.70353698730469,50.34431076049805,47.97052001953125,45.59649658203125,43.21615982055664,40.827980041503906,38.43086242675781,36.041866302490234,33.71272277832031,31.708229064941406,29.709091186523438,27.734603881835938,25.814178466796875,23.894508361816406,22.094894409179687,20.29998016357422,52.70353698730469,50.089988708496094,47.4598388671875,44.827491760253906,42.18696594238281,39.53702163696289,36.886470794677734,34.23591613769531,31.98242950439453,29.751708984375,27.541717529296875,25.33997344970703,23.18639373779297,21.031639099121094,18.904190063476562,16.857505798339844,52.70353698730469,49.64040756225586,46.59395217895508,43.550899505615234,40.51200485229492,37.482852935791016,34.540374755859375,32.028221130371094,29.52820587158203,27.043907165527344,24.57935333251953,22.14776611328125,19.866531372070313,17.634071350097656,15.452987670898438,13.310089111328125,
