region,country_count_2015,pop_total_2015,pop_with_data_2015,pop_sim_2015,learning_poverty2015own,country_count_2016,pop_total_2016,pop_with_data_2016,pop_sim_2016,learning_poverty2016own,country_count_2017,pop_total_2017,pop_with_data_2017,pop_sim_2017,learning_poverty2017own,country_count_2018,pop_total_2018,pop_with_data_2018,pop_sim_2018,learning_poverty2018own,country_count_2019,pop_total_2019,pop_with_data_2019,pop_sim_2019,learning_poverty2019own,country_count_2020,pop_total_2020,pop_with_data_2020,pop_sim_2020,learning_poverty2020own,country_count_2021,pop_total_2021,pop_with_data_2021,pop_sim_2021,learning_poverty2021own,country_count_2022,pop_total_2022,pop_with_data_2022,pop_sim_2022,learning_poverty2022own,country_count_2023,pop_total_2023,pop_with_data_2023,pop_sim_2023,learning_poverty2023own,country_count_2024,pop_total_2024,pop_with_data_2024,pop_sim_2024,learning_poverty2024own,country_count_2025,pop_total_2025,pop_with_data_2025,pop_sim_2025,learning_poverty2025own,country_count_2026,pop_total_2026,pop_with_data_2026,pop_sim_2026,learning_poverty2026own,country_count_2027,pop_total_2027,pop_with_data_2027,pop_sim_2027,learning_poverty2027own,country_count_2028,pop_total_2028,pop_with_data_2028,pop_sim_2028,learning_poverty2028own,country_count_2029,pop_total_2029,pop_with_data_2029,pop_sim_2029,learning_poverty2029own,country_count_2030,pop_total_2030,pop_with_data_2030,pop_sim_2030,learning_poverty2030own,learning_poverty2015r10,learning_poverty2016r10,learning_poverty2017r10,learning_poverty2018r10,learning_poverty2019r10,learning_poverty2020r10,learning_poverty2021r10,learning_poverty2022r10,learning_poverty2023r10,learning_poverty2024r10,learning_poverty2025r10,learning_poverty2026r10,learning_poverty2027r10,learning_poverty2028r10,learning_poverty2029r10,learning_poverty2030r10,learning_poverty2015r20,learning_poverty2016r20,learning_poverty2017r20,learning_poverty2018r20,learning_poverty2019r20,learning_poverty2020r20,learning_poverty2021r20,learning_poverty2022r20,learning_poverty2023r20,learning_poverty2024r20,learning_poverty2025r20,learning_poverty2026r20,learning_poverty2027r20,learning_poverty2028r20,learning_poverty2029r20,learning_poverty2030r20,learning_poverty2015r30,learning_poverty2016r30,learning_poverty2017r30,learning_poverty2018r30,learning_poverty2019r30,learning_poverty2020r30,learning_poverty2021r30,learning_poverty2022r30,learning_poverty2023r30,learning_poverty2024r30,learning_poverty2025r30,learning_poverty2026r30,learning_poverty2027r30,learning_poverty2028r30,learning_poverty2029r30,learning_poverty2030r30,learning_poverty2015r40,learning_poverty2016r40,learning_poverty2017r40,learning_poverty2018r40,learning_poverty2019r40,learning_poverty2020r40,learning_poverty2021r40,learning_poverty2022r40,learning_poverty2023r40,learning_poverty2024r40,learning_poverty2025r40,learning_poverty2026r40,learning_poverty2027r40,learning_poverty2028r40,learning_poverty2029r40,learning_poverty2030r40,learning_poverty2015r50,learning_poverty2016r50,learning_poverty2017r50,learning_poverty2018r50,learning_poverty2019r50,learning_poverty2020r50,learning_poverty2021r50,learning_poverty2022r50,learning_poverty2023r50,learning_poverty2024r50,learning_poverty2025r50,learning_poverty2026r50,learning_poverty2027r50,learning_poverty2028r50,learning_poverty2029r50,learning_poverty2030r50,learning_poverty2015r60,learning_poverty2016r60,learning_poverty2017r60,learning_poverty2018r60,learning_poverty2019r60,learning_poverty2020r60,learning_poverty2021r60,learning_poverty2022r60,learning_poverty2023r60,learning_poverty2024r60,learning_poverty2025r60,learning_poverty2026r60,learning_poverty2027r60,learning_poverty2028r60,learning_poverty2029r60,learning_poverty2030r60,learning_poverty2015r70,learning_poverty2016r70,learning_poverty2017r70,learning_poverty2018r70,learning_poverty2019r70,learning_poverty2020r70,learning_poverty2021r70,learning_poverty2022r70,learning_poverty2023r70,learning_poverty2024r70,learning_poverty2025r70,learning_poverty2026r70,learning_poverty2027r70,learning_poverty2028r70,learning_poverty2029r70,learning_poverty2030r70,learning_poverty2015r80,learning_poverty2016r80,learning_poverty2017r80,learning_poverty2018r80,learning_poverty2019r80,learning_poverty2020r80,learning_poverty2021r80,learning_poverty2022r80,learning_poverty2023r80,learning_poverty2024r80,learning_poverty2025r80,learning_poverty2026r80,learning_poverty2027r80,learning_poverty2028r80,learning_poverty2029r80,learning_poverty2030r80,learning_poverty2015r90,learning_poverty2016r90,learning_poverty2017r90,learning_poverty2018r90,learning_poverty2019r90,learning_poverty2020r90,learning_poverty2021r90,learning_poverty2022r90,learning_poverty2023r90,learning_poverty2024r90,learning_poverty2025r90,learning_poverty2026r90,learning_poverty2027r90,learning_poverty2028r90,learning_poverty2029r90,learning_poverty2030r90,preference
EAS,6,149394031,119064332,137060551,21.164703,6,149077719,118834295,136859941,20.452629,6,149194897,118974717,137035063,19.72715,6,149550605,119310987,137409419,19.015831,6,150019000,119749000,137891600,18.327591,6,150628600,120324000,138522300,17.653458,6,151525800,121126000,139400600,16.995079,6,152505100,122012000,140362900,16.349701,6,153467300,122892000,141321100,15.713181,6,154176900,123576000,142048000,15.075317,6,154377900,123869000,142317300,14.427063,6,154150700,123833000,142169200,13.766235,6,153406800,123380000,141555400,13.099327,6,152239200,122572000,140546600,12.431091,6,150797500,121481000,139277700,11.769409,6,149187800,120142000,137827900,11.123192,21.164703,21.546959,21.915558,22.277107,22.642479,23.021111,23.415344,23.822929,24.239906,24.65535,25.058739,25.447052,25.826874,26.203484,26.586182,26.986061,21.164703,21.1493,21.120247,21.084137,21.051857,21.032829,21.029404,21.039345,21.058662,21.076447,21.082191,21.072838,21.055008,21.033958,21.018997,21.021233,21.164703,20.961395,20.744423,20.520393,20.300201,20.093262,19.901924,19.723946,19.555351,19.386093,19.215324,19.029716,18.835991,18.639412,18.449211,18.276253,21.164703,20.609314,20.04026,19.464157,18.920174,18.393333,17.882568,17.38533,16.897514,16.408493,15.908432,15.394806,14.874252,14.351761,13.835953,13.336823,21.164703,20.381737,19.585114,18.81749,18.062904,17.322578,16.598389,15.887657,15.186272,14.483833,13.770958,13.045303,12.313499,11.580353,10.854088,10.144119,21.164703,20.233971,19.298447,18.399605,17.506256,16.627327,15.764542,14.915192,14.075142,13.234138,12.383057,11.519722,10.650757,9.7808228,8.9179001,8.0883942,21.164703,19.44986,17.793915,16.151093,14.518074,12.898994,11.291039,9.6893692,8.0893402,6.4876862,4.9083557,3.3268661,1.7478867,.60334015,.54146576,.48083496,21.164703,19.084,17.086594,15.088852,13.100548,11.126991,9.1665649,7.2252655,5.3164291,3.4056168,2.1779633,1.5611572,.94429016,.37561798,.35024261,.3254776,21.164703,18.608009,16.133904,13.658134,11.191277,8.7402725,6.3537292,3.9818344,3.1572495,2.5286484,1.9568634,1.3909836,.82331848,.25694275,.22129822,.18601227,1005
ECS,12,50506526,20018286,27044897,13.286224,12,51161440,20368622,27500412,12.560402,12,51999312,20796720,28116485,11.842209,12,52970060,21270042,28835805,11.133286,12,53885500,21744000,29559000,10.466141,12,54676500,22192000,30238000,9.8233032,12,55346600,22587000,30861000,9.3947983,12,55868600,22933000,31418000,9.0220337,12,56237800,23210000,31884000,8.6597748,12,56462900,23423000,32250000,8.3122025,12,56537000,23548000,32476000,8.0066605,12,56500000,23610000,32582000,7.7208633,12,56300000,23583000,32538000,7.4418411,12,55951000,23486000,32376000,7.1812592,12,55498000,23319000,32115000,6.9477997,12,54950900,23082000,31761000,6.7269135,13.286224,13.759514,14.240211,14.729851,15.225105,15.733917,16.245949,16.778679,17.317299,17.865463,18.411797,18.960739,19.514832,20.082069,20.668694,21.274651,13.286224,13.320099,13.361374,13.411598,13.467438,13.536827,13.609444,13.702759,13.801964,13.910706,14.017624,14.127151,14.241821,14.369644,14.516853,14.683388,13.286224,12.983849,12.688873,12.402847,12.122437,11.855576,11.591942,11.349007,11.111961,10.88446,10.655121,10.428398,10.216675,10.023933,9.8504105,9.6959915,13.286224,12.601456,11.924088,11.255669,10.600777,9.9931183,9.4499664,9.0879517,8.7457123,8.4198532,8.0957794,7.7752686,7.5021973,7.2373428,6.9870682,6.7580032,13.286224,12.49675,11.714668,10.941551,10.21077,9.5462418,9.1011276,8.6927032,8.3006897,7.9257278,7.5908813,7.2731476,6.9573288,6.6575928,6.3709412,6.0965576,13.286224,12.317009,11.355194,10.428093,9.5943985,9.0419998,8.5110703,8.0142059,7.5835495,7.1929626,6.8090439,6.4306488,6.052063,5.678215,5.3192368,4.976799,13.286224,11.834908,10.39389,9.3635178,8.5320282,7.7395782,6.9754715,6.3601913,5.7754822,5.2191467,4.6629333,4.1029205,3.5499649,2.9933777,2.437439,2.1412735,13.286224,11.775154,10.293144,9.2183914,8.3455658,7.5071716,6.8009949,6.167923,5.5692139,4.9871826,4.4170456,3.8491287,3.2750549,2.6968079,2.1193848,1.8019257,13.286224,10.93483,9.1590347,7.840744,6.7321167,5.6888962,4.7082825,3.7959671,2.9117889,2.0549011,1.4869156,1.3778229,1.284668,1.1844559,1.0856094,.98950958,1005
LCN,16,54320207,47141204,53347001,50.779083,16,53874523,46769142,52924235,50.157719,16,53419696,46387233,52487704,49.539051,16,52972224,46009003,52056859,48.92337,16,52585700,45658000,51674100,48.308193,16,52293900,45361000,51382800,47.688183,16,52140500,45197000,51234000,47.063858,16,52070700,45089000,51167900,46.43829,16,52046300,45020000,51154200,45.80862,16,52035600,44980000,51155200,45.183914,16,51986100,44949000,51122500,44.569077,16,51910700,44944000,51070600,43.960712,16,51808600,44948000,50997200,43.363785,16,51674300,44948000,50895100,42.773369,16,51508700,44904000,50758900,42.179558,16,51308300,44792000,50581800,41.585373,50.779083,50.911449,51.046192,51.183327,51.320255,51.451801,51.578213,51.702736,51.822975,51.948284,52.084019,52.226994,52.378792,52.538311,52.69508,52.850136,50.779083,50.594711,50.412716,50.233112,50.053303,49.868111,49.677788,49.485569,49.28907,49.097641,48.916637,48.742878,48.57793,48.420715,48.260746,48.099064,50.779083,50.445374,50.114037,49.785095,49.455944,49.121414,48.78175,48.440193,48.094357,47.753586,47.423244,47.100143,46.785862,46.479305,46.169994,45.858974,50.779083,50.288334,49.799953,49.313972,48.827778,48.336208,47.8395,47.340904,46.838024,46.340214,45.852829,45.372688,44.901363,44.437763,43.971413,43.503349,50.779083,50.178604,49.580494,48.984783,48.388859,47.78756,47.181122,46.572796,45.96019,45.352646,44.755535,44.165661,43.584606,43.01128,42.4352,41.85741,50.779083,50.152138,49.527569,48.905392,48.283005,47.655243,47.022346,46.387554,45.748482,45.114479,44.490902,43.874565,43.267052,42.667255,42.064716,41.460461,50.779083,49.41177,48.04583,46.680885,45.314621,43.943008,42.564178,41.190453,39.815033,38.444202,37.080704,35.720589,34.365158,33.013023,31.65596,30.296875,50.779083,48.968456,47.159821,45.353226,43.546169,41.733414,39.91523,38.100815,36.283306,34.470627,32.668159,30.872704,29.085831,27.306175,25.523621,23.738907,50.779083,48.771843,46.766773,44.763908,42.760708,40.751972,38.73798,36.727951,34.715012,32.707085,30.709518,28.719063,26.737236,24.762856,22.785721,20.806557,1005
MEA,6,37219229,22375764,32533278,63.299294,6,37709998,22649117,32944277,62.029327,6,38364182,23003601,33506663,60.742737,6,39183069,23427353,34198154,59.443451,6,40154000,23939000,35018000,58.153446,6,41268000,24571000,35973000,56.905239,6,42549000,25348000,37076000,55.735367,6,43918000,26215000,38301000,54.607525,6,45327000,27120000,39581000,53.503357,6,46661000,27960000,40792000,52.367805,6,47753000,28617000,41789000,51.142464,6,48604000,29086000,42574000,49.803829,6,49178000,29370000,43122000,48.387348,6,49529000,29504000,43471000,46.910076,6,49727000,29537000,43673000,45.482651,6,49793000,29506000,43753000,44.800266,63.299294,63.71402,64.117508,64.514763,64.924522,65.370514,65.87606,66.408058,66.95079,67.466835,67.923218,68.310272,68.657745,68.919876,69.206352,69.562004,63.299294,63.439491,63.568443,63.691177,63.826408,63.997871,64.228889,64.486359,64.754562,64.996078,65.177933,65.290466,65.363914,65.411072,65.483154,65.625336,63.299294,63.439491,63.568443,63.691177,63.826408,63.997871,64.228889,64.486359,64.754562,64.996078,65.177933,65.290466,65.363914,65.411072,65.483154,65.625336,63.299294,63.439491,63.568443,63.691177,63.826408,63.997871,64.228889,64.486359,64.754562,64.996078,65.177933,65.290466,65.363914,65.411072,65.483154,65.625336,63.299294,62.387047,61.463551,60.533833,59.616615,58.735634,57.9142,57.119221,56.33498,55.524048,54.65345,53.713531,52.734535,51.729244,50.748878,49.838612,63.299294,62.110779,60.911018,59.705036,58.511551,57.354301,56.256603,55.18536,54.124851,53.037651,51.890789,50.674603,49.419342,48.137783,46.881149,45.694618,63.299294,61.072136,58.830158,56.57761,54.336136,52.137157,50.015648,47.935696,45.878906,43.792667,41.621647,39.503151,37.973415,36.419319,34.913216,33.509048,63.299294,60.352932,57.394093,54.427525,51.472969,48.556805,45.706379,42.887615,40.083878,37.252495,34.352783,31.529739,29.316956,27.098854,24.929268,22.838745,63.299294,60.26025,57.20903,54.150448,51.104,48.095417,45.151054,42.237083,39.33709,36.409683,33.416069,30.502228,28.201424,25.897758,23.64267,21.463692,1005
NAC,0,22578317,0,0,,0,22737231,0,0,,0,22894988,0,0,,0,23045167,0,0,,0,23143000,0,0,,0,23127000,0,0,,0,23120000,0,0,,0,22992000,0,0,,0,22774000,0,0,,0,22527000,0,0,,0,22316000,0,0,,0,22261000,0,0,,0,22223000,0,0,,0,22193000,0,0,,0,22171000,0,0,,0,22167000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005
SAS,5,174647837,171290911,174647837,58.205475,5,175077905,171816252,175077905,57.557613,5,175352123,172166136,175352123,56.9146,5,175469465,172344232,175469465,56.277451,5,175307000,172233000,175307000,55.651382,5,174676000,171645000,174676000,55.036339,5,173463000,170479000,173463000,54.431229,5,171907000,168958000,171907000,53.838818,5,170127000,167209000,170127000,53.255871,5,168476000,165585000,168476000,52.674652,5,167302000,164441000,167302000,52.085926,5,166688000,163852000,166688000,51.485973,5,166557000,163740000,166557000,50.876431,5,166771000,163973000,166771000,50.25819,5,167057000,164274000,167057000,49.632977,5,167187000,164410000,167187000,49.001053,58.205475,58.634602,59.068577,59.508419,59.959339,60.421284,60.893162,61.377739,61.871784,62.367558,62.85582,63.332851,63.800301,64.259048,64.710823,65.155884,58.205475,58.236942,58.273266,58.315449,58.368713,58.433002,58.507229,58.594147,58.690536,58.788654,58.879261,58.958637,59.028431,59.089523,59.143642,59.191055,58.205475,58.04903,57.897442,57.751709,57.617062,57.493431,57.379745,57.278751,57.187225,57.097431,57.000118,56.891582,56.773464,56.646641,56.512848,56.372345,58.205475,57.696949,57.193283,56.695465,56.20874,55.733032,55.267265,54.81419,54.370586,53.928707,53.479317,53.018703,52.5485,52.069599,51.583721,51.091141,58.205475,57.469379,56.738132,56.012745,55.298435,54.595158,53.901814,53.221165,52.549988,51.880535,51.203571,50.515381,49.817604,49.111126,48.397678,47.677517,58.205475,57.321609,56.442596,55.569435,54.707367,53.856316,53.015202,52.186787,51.36784,50.550617,49.725883,48.889927,48.04438,47.190136,46.328918,45.460991,58.205475,56.787678,55.374733,53.967644,52.57164,51.186657,49.811615,48.449268,47.096386,45.745239,44.386574,43.028423,41.663586,40.28978,38.908657,37.520386,58.205475,56.315132,54.429646,52.550007,50.681461,48.823933,46.976353,45.141457,43.322014,41.518108,39.706612,37.883629,36.050678,34.208588,32.358994,30.502014,58.205475,55.678661,53.1567,50.640594,48.135574,45.641579,43.163227,40.718159,38.282677,35.848892,33.407356,30.954102,28.490631,26.017815,23.537247,21.048958,1005
SSF,17,123159024,56789447,123159024,86.667374,17,126528932,58321977,126528932,85.691284,17,130017851,59929514,130017851,84.710999,17,133576484,61586844,133576484,83.72876,17,137130200,63260000,137130200,82.748619,17,140587400,64902000,140587400,81.773033,17,143980500,66532000,143980500,80.803352,17,147325600,68158000,147325600,79.840096,17,150620600,69775000,150620600,78.883636,17,153830800,71364000,153830800,77.933029,17,156898800,72890000,156898800,76.988647,17,159815800,74365000,159815800,76.049805,17,162662800,75802000,162662800,75.116814,17,165439800,77204000,165439800,74.19043,17,168218800,78584000,168218800,73.266495,17,171013600,79938000,171013600,72.343399,86.667374,87.25296,87.834061,88.389557,88.941116,89.475731,90.0019,90.51474,91.031654,91.551651,92.074646,92.599823,93.126678,93.642838,94.155785,94.666618,86.667374,86.715164,86.758469,86.799858,86.843201,86.890121,86.942093,86.998665,87.059998,87.125153,87.194489,87.267342,87.343529,87.423584,87.504112,87.584244,86.667374,86.55294,86.434021,86.313187,86.194305,86.079002,85.96875,85.863098,85.762207,85.665138,85.572258,85.48288,85.396843,85.314674,85.232979,85.150887,86.667374,85.809837,84.947807,84.083878,83.221878,82.363472,81.510117,80.661362,79.817368,78.977188,78.141205,77.308723,76.479584,75.654305,74.829506,74.004311,86.667374,85.740395,84.808922,83.875549,82.944107,82.016258,81.09346,80.175262,79.261826,78.352203,77.446777,76.544853,75.646271,74.751556,73.857307,72.962669,86.667374,85.567139,84.462418,83.355789,82.251106,81.150009,80.053955,78.962502,77.875816,76.792946,75.714264,74.639091,73.567253,72.49929,71.431793,70.363907,86.667374,84.674141,82.676788,80.677475,78.680305,76.687943,74.701714,72.722382,70.750404,68.784805,66.825974,64.873215,62.926991,60.988083,59.052158,57.117393,86.667374,84.157265,81.642746,79.126312,76.611862,74.101265,71.595963,69.095772,66.600922,64.110458,61.624748,59.143124,56.665543,54.192604,51.720692,49.24873,86.667374,83.206245,79.740623,76.273102,72.807518,69.34552,65.888573,62.436222,58.98864,55.544872,52.105289,48.66922,45.236488,41.807625,38.379688,34.962624,1005
Global,,,,,52.698315,,,,,52.120811,,,,,51.50938,,,,,50.882389,,,,,50.253639,,,,,49.616104,,,,,48.979069,,,,,48.345615,,,,,47.7169,,,,,47.09861,,,,,46.497997,,,,,45.907238,,,,,45.33894,,,,,44.789845,,,,,44.262215,,,,,43.802238,52.698315,53.3246,53.923065,54.501728,55.076973,55.643085,56.199371,56.756973,57.322891,57.902847,58.50198,59.113861,59.751316,60.403294,61.076321,61.772018,52.698315,52.907837,53.088139,53.252953,53.414814,53.571926,53.722305,53.878456,54.043129,54.221916,54.419804,54.630398,54.866379,55.124489,55.404041,55.706081,52.698315,52.733341,52.739235,52.729752,52.717606,52.70121,52.678825,52.663094,52.656815,52.665573,52.696312,52.739967,52.809731,52.902054,53.016018,53.152729,52.698315,52.329819,51.928486,51.508366,51.08989,50.667542,50.240921,49.82827,49.424454,49.033924,48.660213,48.296593,47.956566,47.633884,47.327148,47.037014,52.698315,52.106682,51.482544,50.848312,50.211796,49.570374,48.931091,48.295795,47.666946,47.050343,46.453457,45.868858,45.307949,44.767517,44.245544,43.742226,52.698315,51.955441,51.181461,50.399696,49.615597,48.837257,48.050034,47.265877,46.49012,45.727303,44.98204,44.248245,43.537876,42.847183,42.174706,41.524593,52.698315,51.229786,49.743744,48.260525,46.77906,45.288136,43.784309,42.285698,40.788963,39.301689,37.836845,36.397446,35.03022,33.785049,32.80471,31.84333,52.698315,50.782185,48.855087,46.92717,45.000618,43.063366,41.117702,39.174019,37.239033,35.314674,33.571068,31.993881,30.479774,28.988319,27.628197,26.280045,52.698315,50.177883,47.66951,45.159481,42.648834,40.128189,37.609486,35.097305,32.957184,30.868996,28.817993,26.804077,24.842278,22.879471,21.033188,19.176765,
