region,country_count_2015,pop_total_2015,pop_with_data_2015,pop_sim_2015,learning_poverty2015own,country_count_2016,pop_total_2016,pop_with_data_2016,pop_sim_2016,learning_poverty2016own,country_count_2017,pop_total_2017,pop_with_data_2017,pop_sim_2017,learning_poverty2017own,country_count_2018,pop_total_2018,pop_with_data_2018,pop_sim_2018,learning_poverty2018own,country_count_2019,pop_total_2019,pop_with_data_2019,pop_sim_2019,learning_poverty2019own,country_count_2020,pop_total_2020,pop_with_data_2020,pop_sim_2020,learning_poverty2020own,country_count_2021,pop_total_2021,pop_with_data_2021,pop_sim_2021,learning_poverty2021own,country_count_2022,pop_total_2022,pop_with_data_2022,pop_sim_2022,learning_poverty2022own,country_count_2023,pop_total_2023,pop_with_data_2023,pop_sim_2023,learning_poverty2023own,country_count_2024,pop_total_2024,pop_with_data_2024,pop_sim_2024,learning_poverty2024own,country_count_2025,pop_total_2025,pop_with_data_2025,pop_sim_2025,learning_poverty2025own,country_count_2026,pop_total_2026,pop_with_data_2026,pop_sim_2026,learning_poverty2026own,country_count_2027,pop_total_2027,pop_with_data_2027,pop_sim_2027,learning_poverty2027own,country_count_2028,pop_total_2028,pop_with_data_2028,pop_sim_2028,learning_poverty2028own,country_count_2029,pop_total_2029,pop_with_data_2029,pop_sim_2029,learning_poverty2029own,country_count_2030,pop_total_2030,pop_with_data_2030,pop_sim_2030,learning_poverty2030own,learning_poverty2015r50,learning_poverty2016r50,learning_poverty2017r50,learning_poverty2018r50,learning_poverty2019r50,learning_poverty2020r50,learning_poverty2021r50,learning_poverty2022r50,learning_poverty2023r50,learning_poverty2024r50,learning_poverty2025r50,learning_poverty2026r50,learning_poverty2027r50,learning_poverty2028r50,learning_poverty2029r50,learning_poverty2030r50,learning_poverty2015r60,learning_poverty2016r60,learning_poverty2017r60,learning_poverty2018r60,learning_poverty2019r60,learning_poverty2020r60,learning_poverty2021r60,learning_poverty2022r60,learning_poverty2023r60,learning_poverty2024r60,learning_poverty2025r60,learning_poverty2026r60,learning_poverty2027r60,learning_poverty2028r60,learning_poverty2029r60,learning_poverty2030r60,learning_poverty2015r70,learning_poverty2016r70,learning_poverty2017r70,learning_poverty2018r70,learning_poverty2019r70,learning_poverty2020r70,learning_poverty2021r70,learning_poverty2022r70,learning_poverty2023r70,learning_poverty2024r70,learning_poverty2025r70,learning_poverty2026r70,learning_poverty2027r70,learning_poverty2028r70,learning_poverty2029r70,learning_poverty2030r70,learning_poverty2015r80,learning_poverty2016r80,learning_poverty2017r80,learning_poverty2018r80,learning_poverty2019r80,learning_poverty2020r80,learning_poverty2021r80,learning_poverty2022r80,learning_poverty2023r80,learning_poverty2024r80,learning_poverty2025r80,learning_poverty2026r80,learning_poverty2027r80,learning_poverty2028r80,learning_poverty2029r80,learning_poverty2030r80,learning_poverty2015r90,learning_poverty2016r90,learning_poverty2017r90,learning_poverty2018r90,learning_poverty2019r90,learning_poverty2020r90,learning_poverty2021r90,learning_poverty2022r90,learning_poverty2023r90,learning_poverty2024r90,learning_poverty2025r90,learning_poverty2026r90,learning_poverty2027r90,learning_poverty2028r90,learning_poverty2029r90,learning_poverty2030r90,preference
EAS,6,149394031,119064332,137060551,21.164703,6,149077719,118834295,136859941,20.250305,6,149194897,118974717,137035063,19.358109,6,149550605,119310987,137409419,18.490356,6,150019000,119749000,137891600,17.628609,6,150628600,120324000,138522300,16.780815,6,151525800,121126000,139400600,15.947769,6,152505100,122012000,140362900,15.126328,6,153467300,122892000,141321100,14.312218,6,154176900,123576000,142048000,13.496216,6,154377900,123869000,142317300,12.670784,6,154150700,123833000,142169200,11.834633,6,153406800,123380000,141555400,10.993782,6,152239200,122572000,140546600,10.152512,6,150797500,121481000,139277700,9.3170395,6,149187800,120142000,137827900,8.4938583,21.164703,20.250305,19.358109,18.490356,17.628609,16.780815,15.947769,15.126328,14.312218,13.496216,12.670784,11.834633,10.993782,10.152512,9.3170395,8.4938583,21.164703,20.035408,18.934433,17.854614,16.780846,15.721512,14.677856,13.646904,12.624451,11.600838,10.567902,9.5240173,8.4760056,7.4501953,6.4319763,5.4288864,21.164703,19.279274,17.477394,15.675667,13.883537,12.105675,10.339836,8.5813904,6.8325195,5.1072083,3.3773422,1.6764069,1.0693283,.46511078,.39247131,.36327362,21.164703,18.918312,16.754898,14.590576,12.43541,10.295326,8.1693192,6.0943069,4.0266571,2.6776733,2.0549698,1.4287033,.86475372,.30223083,.27050781,.23923492,21.164703,18.488419,15.895775,13.303032,10.720131,8.1525574,5.6495743,3.1568909,2.3010941,1.5590973,.88044739,.22067261,.17639923,.1317215,.086235046,.03994751,1005
ECS,12,50506526,20018286,27044897,13.286224,12,51161440,20368622,27500412,12.505257,12,51999312,20796720,28116485,11.732651,12,52970060,21270042,28835805,10.985771,12,53885500,21744000,29559000,10.284943,12,54676500,22192000,30238000,9.5987549,12,55346600,22587000,30861000,9.1253052,12,55868600,22933000,31418000,8.7001038,12,56237800,23210000,31884000,8.2863235,12,56462900,23423000,32250000,7.8891449,12,56537000,23548000,32476000,7.4969177,12,56500000,23610000,32582000,7.1221085,12,56300000,23583000,32538000,6.7608109,12,55951000,23486000,32376000,6.445015,12,55498000,23319000,32115000,6.1549301,12,54950900,23082000,31761000,5.8753281,13.286224,12.386368,11.493866,10.626373,9.8048859,9.2728653,8.7743301,8.3058014,7.8554611,7.4244385,6.9962616,6.5824585,6.1769485,5.8140564,5.4625473,5.1266632,13.286224,12.13903,10.999352,9.938797,9.2645645,8.6326447,8.0183716,7.4399948,6.8927383,6.3716507,5.8528366,5.363266,4.9066544,4.4541779,4.018692,3.5889359,13.286224,11.605812,10.014008,9.0594177,8.129158,7.2340088,6.3905945,5.6102524,4.8817062,4.1727753,3.4861755,2.828949,2.1656189,1.5615463,1.3815842,1.3029327,13.286224,11.042885,9.2905807,7.9987259,6.8991241,5.8941498,4.9397049,4.0609131,3.2091522,2.3738785,1.5984116,1.3631744,1.2686615,1.1672363,1.0671692,.96984863,13.286224,10.527481,8.6462708,7.3166428,6.0641174,4.8801956,3.7718964,2.7145157,1.7098846,1.2181091,1.1136932,.99713135,.86956024,.73760986,.61644745,.51130676,1005
LCN,16,54320207,47141204,53347001,50.779083,16,53874523,46769142,52924235,49.979618,16,53419696,46387233,52487704,49.182705,16,52972224,46009003,52056859,48.38858,16,52585700,45658000,51674100,47.594696,16,52293900,45361000,51382800,46.795712,16,52140500,45197000,51234000,45.99247,16,52070700,45089000,51167900,45.187618,16,52046300,45020000,51154200,44.378468,16,52035600,44980000,51155200,43.574356,16,51986100,44949000,51122500,42.779675,16,51910700,44944000,51070600,41.991302,16,51808600,44948000,50997200,41.214027,16,51674300,44948000,50895100,40.442768,16,51508700,44904000,50758900,39.66827,16,51308300,44792000,50581800,38.893116,50.779083,49.985977,49.19532,48.407249,47.619114,46.825737,46.027798,45.227943,44.423782,43.624752,42.835312,42.052338,41.277195,40.508736,39.737583,38.964966,50.779083,49.729637,48.682941,47.639202,46.595722,45.547165,44.494015,43.438889,42.379192,41.324661,40.27932,39.239979,38.208096,37.182743,36.154549,35.125549,50.779083,49.133606,47.490768,45.850853,44.211285,42.566715,40.91713,39.271633,37.622749,35.978867,34.342049,32.708633,31.080276,29.455795,27.827324,26.19915,50.779083,48.650883,46.524967,44.401409,42.277649,40.148472,38.014389,35.884361,33.75145,31.623657,29.505913,27.394943,25.29216,23.196419,21.097946,18.997612,50.779083,48.162674,45.54752,42.933365,40.31778,37.69619,35.069344,32.44754,29.823051,27.203468,24.595802,22.01413,19.517113,17.045494,14.585548,12.119545,1005
MEA,6,37219229,22375764,32533278,63.299294,6,37709998,22649117,32944277,62.047298,6,38364182,23003601,33506663,60.779324,6,39183069,23427353,34198154,59.498032,6,40154000,23939000,35018000,58.22308,6,41268000,24571000,35973000,56.982819,6,42549000,25348000,37076000,55.809124,6,43918000,26215000,38301000,54.666466,6,45327000,27120000,39581000,53.53767,6,46661000,27960000,40792000,52.374786,6,47753000,28617000,41789000,51.127762,6,48604000,29086000,42574000,49.774689,6,49178000,29370000,43122000,48.353603,6,49529000,29504000,43471000,46.880638,6,49727000,29537000,43673000,45.463608,6,49793000,29506000,43753000,44.793076,63.299294,62.380547,61.452263,60.518246,59.5947,58.700726,57.854267,57.023018,56.192715,55.333912,54.423786,53.455162,52.460426,51.451225,50.473488,49.564442,63.299294,62.279049,61.248619,60.211857,59.185497,58.189907,57.244858,56.317753,55.393978,54.44178,53.435452,52.365944,51.266521,50.149036,49.063404,48.05154,63.299294,61.380772,59.448158,57.504078,55.568085,53.668507,51.837696,50.039963,48.257915,46.443813,44.548195,42.707066,41.461506,40.197678,38.991131,37.897518,63.299294,60.910267,58.508423,56.096889,53.694427,51.326946,49.022835,46.747349,44.483917,42.189693,39.822422,37.522804,35.829445,34.12738,32.481041,30.93264,63.299294,60.250568,57.191647,54.125557,51.068626,48.041164,45.063526,42.10252,39.143345,36.153656,33.105385,30.146713,27.813896,25.490234,23.223251,21.034164,1005
NAC,0,22578317,0,0,,0,22737231,0,0,,0,22894988,0,0,,0,23045167,0,0,,0,23143000,0,0,,0,23127000,0,0,,0,23120000,0,0,,0,22992000,0,0,,0,22774000,0,0,,0,22527000,0,0,,0,22316000,0,0,,0,22261000,0,0,,0,22223000,0,0,,0,22193000,0,0,,0,22171000,0,0,,0,22167000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005
SAS,5,174647837,171290911,174647837,58.205475,5,175077905,171816252,175077905,57.118088,5,175352123,172166136,175352123,56.036781,5,175469465,172344232,175469465,54.962498,5,175307000,172233000,175307000,53.90041,5,174676000,171645000,174676000,52.850521,5,173463000,170479000,173463000,51.811489,5,171907000,168958000,171907000,50.7864,5,170127000,167209000,170127000,49.771942,5,168476000,165585000,168476000,48.760094,5,167302000,164441000,167302000,47.741081,5,166688000,163852000,166688000,46.709991,5,166557000,163740000,166557000,45.669071,5,166771000,163973000,166771000,44.619389,5,167057000,164274000,167057000,43.562824,5,167187000,164410000,167187000,42.500225,58.205475,57.118088,56.036781,54.962498,53.900406,52.850521,51.811489,50.7864,49.771942,48.760094,47.741081,46.709988,45.669067,44.619389,43.562824,42.500225,58.205475,57.063931,55.92857,54.800335,53.684464,52.58091,51.488316,50.409782,49.34201,48.276985,47.204899,46.120724,45.026798,43.924183,42.818035,41.713417,58.205475,56.534515,54.870216,53.213509,51.569645,49.93858,48.318844,46.713669,45.119728,43.530365,41.949741,40.356579,38.753349,37.141125,35.521812,33.896507,58.205475,55.959675,53.720173,51.487911,49.268112,47.060749,44.864429,42.684242,40.535015,38.388641,36.235085,34.069023,31.892708,29.707191,27.51429,25.314819,58.205475,55.054966,51.910839,48.774014,45.649586,42.53764,39.443501,36.383316,33.334129,30.287689,27.233864,24.167191,21.089928,18.003136,14.908607,11.80706,1005
SSF,17,123159024,56789447,123159024,86.690605,17,126528932,58321977,126528932,86.326431,17,130017851,59929514,130017851,85.959007,17,133576484,61586844,133576484,85.590034,17,137130200,63260000,137130200,85.223747,17,140587400,64902000,140587400,84.863129,17,143980500,66532000,143980500,84.509628,17,147325600,68158000,147325600,84.16481,17,150620600,69775000,150620600,83.829704,17,153830800,71364000,153830800,83.503296,17,156898800,72890000,156898800,83.187248,17,159815800,74365000,159815800,82.880501,17,162662800,75802000,162662800,82.58448,17,165439800,77204000,165439800,82.299843,17,168218800,78584000,168218800,82.020905,17,171013600,79938000,171013600,81.7444,86.690605,86.385582,86.076942,85.766823,85.459183,85.156059,84.859016,84.568459,84.285164,84.008125,83.738991,83.476707,83.222122,82.975624,82.732437,82.490211,86.690605,86.407684,86.121414,85.833694,85.548622,85.268616,84.995239,84.729378,84.472,84.222153,83.981552,83.749176,83.526146,83.313019,83.104462,82.897583,86.690605,86.117218,85.541451,84.96434,84.39045,83.82402,83.266464,82.720963,82.189163,81.670128,81.166046,80.675774,80.20182,79.745178,79.298355,78.856308,86.690605,85.337509,83.981392,82.623825,81.269104,79.920387,78.579147,77.247208,75.925751,74.613823,73.313271,72.023026,70.744736,69.479118,68.220062,66.963882,86.690605,84.508514,82.322906,80.135902,77.951447,75.771477,73.597565,71.430099,69.269882,67.11586,64.969978,62.831104,60.70018,58.577442,56.45808,54.339622,1005
Global,,,,,52.703537,,,,,52.058064,,,,,51.396545,,,,,50.731838,,,,,50.070583,,,,,49.409378,,,,,48.758125,,,,,48.119667,,,,,47.495544,,,,,46.890244,,,,,46.307186,,,,,45.738491,,,,,45.19849,,,,,44.685177,,,,,44.201111,,,,,43.793785,52.703537,52.086205,51.453739,50.819294,50.189522,49.575066,48.961437,48.359814,47.773083,47.206203,46.663475,46.137733,45.64212,45.174618,44.733089,44.318863,52.703537,51.977825,51.240139,50.503799,49.791214,49.082504,48.374683,47.680298,47.002724,46.346958,45.717331,45.107471,44.531937,43.990574,43.479572,43.000935,52.703537,51.418369,50.141766,48.892128,47.651131,46.415974,45.18486,43.970535,42.777267,41.614479,40.486656,39.400578,38.657494,37.947662,37.411419,36.914867,52.703537,50.865257,49.052803,47.256126,45.474777,43.701023,41.930561,40.186935,38.466164,36.939983,35.616982,34.347679,33.172035,32.015564,30.999405,29.997375,52.703537,50.16964,47.679665,45.21006,42.750126,40.296894,37.863728,35.452003,33.452248,31.525444,29.653885,27.805344,26.169167,24.539558,22.915108,21.294411,
