region,country_count_2015,pop_total_2015,pop_with_data_2015,pop_sim_2015,learning_poverty2015own,country_count_2016,pop_total_2016,pop_with_data_2016,pop_sim_2016,learning_poverty2016own,country_count_2017,pop_total_2017,pop_with_data_2017,pop_sim_2017,learning_poverty2017own,country_count_2018,pop_total_2018,pop_with_data_2018,pop_sim_2018,learning_poverty2018own,country_count_2019,pop_total_2019,pop_with_data_2019,pop_sim_2019,learning_poverty2019own,country_count_2020,pop_total_2020,pop_with_data_2020,pop_sim_2020,learning_poverty2020own,country_count_2021,pop_total_2021,pop_with_data_2021,pop_sim_2021,learning_poverty2021own,country_count_2022,pop_total_2022,pop_with_data_2022,pop_sim_2022,learning_poverty2022own,country_count_2023,pop_total_2023,pop_with_data_2023,pop_sim_2023,learning_poverty2023own,country_count_2024,pop_total_2024,pop_with_data_2024,pop_sim_2024,learning_poverty2024own,country_count_2025,pop_total_2025,pop_with_data_2025,pop_sim_2025,learning_poverty2025own,country_count_2026,pop_total_2026,pop_with_data_2026,pop_sim_2026,learning_poverty2026own,country_count_2027,pop_total_2027,pop_with_data_2027,pop_sim_2027,learning_poverty2027own,country_count_2028,pop_total_2028,pop_with_data_2028,pop_sim_2028,learning_poverty2028own,country_count_2029,pop_total_2029,pop_with_data_2029,pop_sim_2029,learning_poverty2029own,country_count_2030,pop_total_2030,pop_with_data_2030,pop_sim_2030,learning_poverty2030own,learning_poverty2015r50,learning_poverty2016r50,learning_poverty2017r50,learning_poverty2018r50,learning_poverty2019r50,learning_poverty2020r50,learning_poverty2021r50,learning_poverty2022r50,learning_poverty2023r50,learning_poverty2024r50,learning_poverty2025r50,learning_poverty2026r50,learning_poverty2027r50,learning_poverty2028r50,learning_poverty2029r50,learning_poverty2030r50,learning_poverty2015r60,learning_poverty2016r60,learning_poverty2017r60,learning_poverty2018r60,learning_poverty2019r60,learning_poverty2020r60,learning_poverty2021r60,learning_poverty2022r60,learning_poverty2023r60,learning_poverty2024r60,learning_poverty2025r60,learning_poverty2026r60,learning_poverty2027r60,learning_poverty2028r60,learning_poverty2029r60,learning_poverty2030r60,learning_poverty2015r70,learning_poverty2016r70,learning_poverty2017r70,learning_poverty2018r70,learning_poverty2019r70,learning_poverty2020r70,learning_poverty2021r70,learning_poverty2022r70,learning_poverty2023r70,learning_poverty2024r70,learning_poverty2025r70,learning_poverty2026r70,learning_poverty2027r70,learning_poverty2028r70,learning_poverty2029r70,learning_poverty2030r70,learning_poverty2015r80,learning_poverty2016r80,learning_poverty2017r80,learning_poverty2018r80,learning_poverty2019r80,learning_poverty2020r80,learning_poverty2021r80,learning_poverty2022r80,learning_poverty2023r80,learning_poverty2024r80,learning_poverty2025r80,learning_poverty2026r80,learning_poverty2027r80,learning_poverty2028r80,learning_poverty2029r80,learning_poverty2030r80,learning_poverty2015r90,learning_poverty2016r90,learning_poverty2017r90,learning_poverty2018r90,learning_poverty2019r90,learning_poverty2020r90,learning_poverty2021r90,learning_poverty2022r90,learning_poverty2023r90,learning_poverty2024r90,learning_poverty2025r90,learning_poverty2026r90,learning_poverty2027r90,learning_poverty2028r90,learning_poverty2029r90,learning_poverty2030r90,preference
EAS,6,149394031,119064332,137060551,21.164703,6,149077719,118834295,136859941,20.242447,6,149194897,118974717,137035063,19.309631,6,149550605,119310987,137409419,18.395294,6,150019000,119749000,137891600,17.506844,6,150628600,120324000,138522300,16.631668,6,151525800,121126000,139400600,15.767937,6,152505100,122012000,140362900,14.911308,6,153467300,122892000,141321100,14.057259,6,154176900,123576000,142048000,13.199196,6,154377900,123869000,142317300,12.333939,6,154150700,123833000,142169200,11.462364,6,153406800,123380000,141555400,10.589165,6,152239200,122572000,140546600,9.7177734,6,150797500,121481000,139277700,8.8497314,6,149187800,120142000,137827900,7.9853439,21.164703,20.314377,19.444717,18.576233,17.744102,16.924706,16.116333,15.555977,15.001274,14.445633,13.882957,13.311607,12.735809,12.158913,11.586319,11.024155,21.164703,20.154587,19.123947,18.124992,17.142334,16.172661,15.214401,14.487854,13.767151,13.045616,12.317238,11.58049,10.839737,10.09832,9.3615189,8.652359,21.164703,19.242409,17.394402,15.545372,13.70507,11.879059,10.226021,8.5831375,6.9676361,5.3666229,3.7602997,2.8151016,2.3945618,1.9745255,1.5866165,1.2266617,21.164703,19.026054,16.958923,14.891525,12.833427,10.967941,9.1153183,7.2882614,5.4924164,3.6967468,2.8148956,2.3465347,1.8761444,1.465477,1.0572205,.65093994,21.164703,18.005409,14.923164,11.838814,8.7705841,5.7089081,3.8293228,3.0579224,2.3880081,1.7157135,1.0325317,.33838654,.21943665,.17379761,.12733459,.080062866,1005
ECS,12,50506526,20018286,27044897,13.286224,12,51161440,20368622,27500412,12.613205,12,51999312,20796720,28116485,11.947174,12,52970060,21270042,28835805,11.28997,12,53885500,21744000,29559000,10.646881,12,54676500,22192000,30238000,10.045998,12,55346600,22587000,30861000,9.6571732,12,55868600,22933000,31418000,9.3177719,12,56237800,23210000,31884000,8.9924698,12,56462900,23423000,32250000,8.6813049,12,56537000,23548000,32476000,8.3738327,12,56500000,23610000,32582000,8.0779343,12,56300000,23583000,32538000,7.8293686,12,55951000,23486000,32376000,7.5911942,12,55498000,23319000,32115000,7.3816681,12,54950900,23082000,31761000,7.1942368,13.286224,12.569946,11.860718,11.159637,10.472969,9.8309174,9.2659531,8.8804169,8.513504,8.1617508,7.8128052,7.4745407,7.1807327,6.8966904,6.6058884,6.3367844,13.286224,12.395905,11.512718,10.644165,9.8268585,9.2121811,8.7061539,8.2433243,7.7976913,7.4114761,7.0448227,6.6837234,6.3320999,5.9875412,5.6307983,5.2849655,13.286224,11.420486,9.7142639,8.6200943,7.6152496,6.7603912,5.9527893,5.1909561,4.4704208,3.7613983,3.0516586,2.3379669,1.6569672,1.269577,1.1418991,1.039299,13.286224,11.212532,9.4753036,8.2712708,7.2307205,6.3059235,5.4170227,4.5984268,3.8214188,3.0323944,2.2425003,1.5096588,1.2782288,1.159996,1.0433426,.92958069,13.286224,9.9587326,8.0067596,6.4078751,4.9076385,3.5146332,2.1758881,1.4704971,1.4036942,1.327858,1.2331772,1.120842,1.0254288,.92434692,.8246994,.72736359,1005
LCN,16,54320207,47141204,53347001,50.779083,16,53874523,46769142,52924235,49.319782,16,53419696,46387233,52487704,47.866287,16,52972224,46009003,52056859,46.419441,16,52585700,45658000,51674100,44.975777,16,52293900,45361000,51382800,43.52692,16,52140500,45197000,51234000,42.073254,16,52070700,45089000,51167900,40.615234,16,52046300,45020000,51154200,39.149384,16,52035600,44980000,51155200,37.688877,16,51986100,44949000,51122500,36.24218,16,51910700,44944000,51070600,34.804565,16,51808600,44948000,50997200,33.384857,16,51674300,44948000,50895100,31.977081,16,51508700,44904000,50758900,30.568764,16,51308300,44792000,50581800,29.161972,50.779083,49.190697,47.608051,46.032043,44.459637,42.829128,41.163689,39.495773,37.858002,36.227074,34.608879,33.315636,32.029312,30.722069,29.917923,29.11068,50.779083,49.12188,47.470741,45.826645,44.186516,42.49123,40.746571,38.999329,37.279648,35.566956,33.87352,32.477188,31.060654,29.648567,28.704659,27.758041,50.779083,48.441269,46.109097,43.783443,41.373432,38.958889,36.563118,34.1661,31.744843,29.538284,27.337463,25.449852,23.558891,21.713127,19.887962,18.061234,50.779083,48.210793,45.649246,43.095589,40.422508,37.744987,35.089211,32.436981,29.978333,27.527458,25.417099,23.310486,21.244812,19.239166,17.19455,15.148247,50.779083,48.004658,45.234798,42.435669,39.608967,36.767235,33.920433,31.028236,28.017754,24.855171,21.704903,18.570023,15.438805,12.36145,9.4614944,7.1862183,1005
MEA,6,37219229,22375764,32533278,63.299294,6,37709998,22649117,32944277,62.313583,6,38364182,23003601,33506663,61.312016,6,39183069,23427353,34198154,60.297421,6,40154000,23939000,35018000,59.29068,6,41268000,24571000,35973000,58.323048,6,42549000,25348000,37076000,57.430504,6,43918000,26215000,38301000,56.576523,6,45327000,27120000,39581000,55.74324,6,46661000,27960000,40792000,54.877296,6,47753000,28617000,41789000,53.922428,6,48604000,29086000,42574000,52.853226,6,49178000,29370000,43122000,51.708138,6,49529000,29504000,43471000,50.445507,6,49727000,29537000,43673000,49.23867,6,49793000,29506000,43753000,48.786037,63.299294,62.183399,61.055431,59.885918,58.726124,57.601151,56.537781,55.813858,55.093819,54.341072,53.528614,52.649494,51.742199,50.761875,49.819546,48.855373,63.299294,62.153156,60.994759,59.790756,58.596439,57.437435,56.341259,55.564102,54.792427,53.988468,53.123337,52.18877,51.223297,50.18211,49.178535,48.144192,63.299294,61.411709,59.511963,57.570862,55.639782,53.74416,52.121078,50.521915,48.930016,47.308052,45.520386,43.665405,41.514111,39.345779,37.215836,35.166405,63.299294,61.301483,59.290844,57.225292,55.169754,53.387672,51.668468,49.975986,48.29351,46.548374,44.628418,42.639526,40.240406,37.823189,35.445419,33.150391,63.299294,60.873287,58.414619,55.947865,53.491257,50.974674,48.518341,46.089901,43.604141,40.904034,38.136574,35.27562,33.036263,30.955482,28.934731,27.00473,1005
NAC,0,22578317,0,0,,0,22737231,0,0,,0,22894988,0,0,,0,23045167,0,0,,0,23143000,0,0,,0,23127000,0,0,,0,23120000,0,0,,0,22992000,0,0,,0,22774000,0,0,,0,22527000,0,0,,0,22316000,0,0,,0,22261000,0,0,,0,22223000,0,0,,0,22193000,0,0,,0,22171000,0,0,,0,22167000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005
SAS,5,174647837,171290911,174647837,58.205475,5,175077905,171816252,175077905,57.557613,5,175352123,172166136,175352123,56.9146,5,175469465,172344232,175469465,56.277451,5,175307000,172233000,175307000,55.651382,5,174676000,171645000,174676000,55.036339,5,173463000,170479000,173463000,54.431229,5,171907000,168958000,171907000,53.838814,5,170127000,167209000,170127000,53.255871,5,168476000,165585000,168476000,52.674652,5,167302000,164441000,167302000,52.085926,5,166688000,163852000,166688000,51.485973,5,166557000,163740000,166557000,50.876431,5,166771000,163973000,166771000,50.25819,5,167057000,164274000,167057000,49.632977,5,167187000,164410000,167187000,49.001053,58.205475,57.135094,56.071404,55.01532,53.971962,52.941399,51.420742,49.920166,48.377415,46.843861,45.307812,43.762299,42.209183,40.648933,39.083088,37.510464,58.205475,57.121723,56.044647,54.975163,53.918446,52.874519,51.282013,49.710228,48.09005,46.479816,44.867657,43.246441,41.61797,39.982609,38.341877,36.694485,58.205475,56.37925,54.559452,52.747017,50.443943,48.096577,45.765427,43.455051,41.162712,38.888821,36.62067,34.342766,32.05658,29.762512,27.938759,26.176025,58.205475,56.337109,54.475113,52.620434,50.077789,47.468517,44.877426,42.309593,39.77132,37.255936,34.739265,32.21389,29.680954,27.799255,25.832222,23.851921,58.205475,55.764782,53.33041,50.576557,47.797562,45.052456,42.337635,39.641739,36.961773,34.288795,31.611191,28.85273,25.819649,22.744919,19.662994,16.574219,1005
SSF,17,123159024,56789447,123159024,86.690605,17,126528932,58321977,126528932,85.894035,17,130017851,59929514,130017851,85.092567,17,133576484,61586844,133576484,84.288383,17,137130200,63260000,137130200,83.485863,17,140587400,64902000,140587400,82.687996,17,143980500,66532000,143980500,81.896675,17,147325600,68158000,147325600,81.112961,17,150620600,69775000,150620600,80.337334,17,153830800,71364000,153830800,79.568878,17,156898800,72890000,156898800,78.807671,17,159815800,74365000,159815800,78.052773,17,162662800,75802000,162662800,77.305107,17,165439800,77204000,165439800,76.565804,17,168218800,78584000,168218800,75.83046,17,171013600,79938000,171013600,75.097527,86.690605,87.068977,87.442413,87.811363,88.161743,88.514359,88.861252,89.20652,89.543846,89.875031,90.210594,90.55085,90.894844,91.243942,91.597015,91.948341,86.690605,87.068237,87.440933,87.809151,88.158791,88.510666,88.856827,89.20134,89.537933,89.868401,90.203255,90.542839,90.886162,91.23465,91.586823,91.937256,86.690605,86.15271,85.60994,85.064682,84.520821,83.979881,83.371246,82.767029,82.135414,81.508682,80.887543,80.1642,79.45031,78.747482,78.028305,77.313133,86.690605,86.087662,85.479866,84.869614,84.260788,83.583755,82.911583,82.211967,81.517456,80.82785,80.036438,79.254501,78.482094,77.72084,76.934494,76.082283,86.690605,85.599335,84.503143,83.404434,82.231918,81.028587,79.706497,78.391289,77.084717,75.573334,74.07225,72.551102,70.681938,68.822617,66.945267,65.06015,1005
Global,,,,,52.703537,,,,,52.054413,,,,,51.377525,,,,,50.691597,,,,,50.008114,,,,,49.320347,,,,,48.634651,,,,,47.953491,,,,,47.278301,,,,,46.616077,,,,,45.974133,,,,,45.3465,,,,,44.748978,,,,,44.171188,,,,,43.618862,,,,,43.136837,52.703537,52.185291,51.649925,51.111843,50.586891,50.064938,49.393917,48.830349,48.275597,47.748863,47.253708,46.806374,46.392773,45.999866,45.67902,45.38335,52.703537,52.124172,51.527981,50.937042,50.356529,49.787823,49.053017,48.413868,47.782131,47.182098,46.616631,46.097713,45.609974,45.14658,44.753551,44.389935,52.703537,51.294319,49.8978,48.528198,47.009743,45.49152,44.022076,42.576694,41.153519,39.783791,38.438465,37.268776,36.233963,35.238731,34.412994,33.634537,52.703537,51.173328,49.664848,48.179527,46.485538,44.825504,43.18203,41.562984,39.999874,38.468018,37.180538,36.01347,34.87513,33.963577,33.037445,32.110863,52.703537,50.518837,48.408657,46.210686,44.001026,41.795658,39.856422,38.230434,36.6693,35.050278,33.45256,31.835709,30.252991,28.704529,27.174217,25.702881,
