region,country_count_2015,pop_total_2015,pop_with_data_2015,pop_sim_2015,learning_poverty2015own,country_count_2016,pop_total_2016,pop_with_data_2016,pop_sim_2016,learning_poverty2016own,country_count_2017,pop_total_2017,pop_with_data_2017,pop_sim_2017,learning_poverty2017own,country_count_2018,pop_total_2018,pop_with_data_2018,pop_sim_2018,learning_poverty2018own,country_count_2019,pop_total_2019,pop_with_data_2019,pop_sim_2019,learning_poverty2019own,country_count_2020,pop_total_2020,pop_with_data_2020,pop_sim_2020,learning_poverty2020own,country_count_2021,pop_total_2021,pop_with_data_2021,pop_sim_2021,learning_poverty2021own,country_count_2022,pop_total_2022,pop_with_data_2022,pop_sim_2022,learning_poverty2022own,country_count_2023,pop_total_2023,pop_with_data_2023,pop_sim_2023,learning_poverty2023own,country_count_2024,pop_total_2024,pop_with_data_2024,pop_sim_2024,learning_poverty2024own,country_count_2025,pop_total_2025,pop_with_data_2025,pop_sim_2025,learning_poverty2025own,country_count_2026,pop_total_2026,pop_with_data_2026,pop_sim_2026,learning_poverty2026own,country_count_2027,pop_total_2027,pop_with_data_2027,pop_sim_2027,learning_poverty2027own,country_count_2028,pop_total_2028,pop_with_data_2028,pop_sim_2028,learning_poverty2028own,country_count_2029,pop_total_2029,pop_with_data_2029,pop_sim_2029,learning_poverty2029own,country_count_2030,pop_total_2030,pop_with_data_2030,pop_sim_2030,learning_poverty2030own,learning_poverty2015r50,learning_poverty2016r50,learning_poverty2017r50,learning_poverty2018r50,learning_poverty2019r50,learning_poverty2020r50,learning_poverty2021r50,learning_poverty2022r50,learning_poverty2023r50,learning_poverty2024r50,learning_poverty2025r50,learning_poverty2026r50,learning_poverty2027r50,learning_poverty2028r50,learning_poverty2029r50,learning_poverty2030r50,learning_poverty2015r60,learning_poverty2016r60,learning_poverty2017r60,learning_poverty2018r60,learning_poverty2019r60,learning_poverty2020r60,learning_poverty2021r60,learning_poverty2022r60,learning_poverty2023r60,learning_poverty2024r60,learning_poverty2025r60,learning_poverty2026r60,learning_poverty2027r60,learning_poverty2028r60,learning_poverty2029r60,learning_poverty2030r60,learning_poverty2015r70,learning_poverty2016r70,learning_poverty2017r70,learning_poverty2018r70,learning_poverty2019r70,learning_poverty2020r70,learning_poverty2021r70,learning_poverty2022r70,learning_poverty2023r70,learning_poverty2024r70,learning_poverty2025r70,learning_poverty2026r70,learning_poverty2027r70,learning_poverty2028r70,learning_poverty2029r70,learning_poverty2030r70,learning_poverty2015r80,learning_poverty2016r80,learning_poverty2017r80,learning_poverty2018r80,learning_poverty2019r80,learning_poverty2020r80,learning_poverty2021r80,learning_poverty2022r80,learning_poverty2023r80,learning_poverty2024r80,learning_poverty2025r80,learning_poverty2026r80,learning_poverty2027r80,learning_poverty2028r80,learning_poverty2029r80,learning_poverty2030r80,learning_poverty2015r90,learning_poverty2016r90,learning_poverty2017r90,learning_poverty2018r90,learning_poverty2019r90,learning_poverty2020r90,learning_poverty2021r90,learning_poverty2022r90,learning_poverty2023r90,learning_poverty2024r90,learning_poverty2025r90,learning_poverty2026r90,learning_poverty2027r90,learning_poverty2028r90,learning_poverty2029r90,learning_poverty2030r90,preference
EAS,6,149394031,119064332,137060551,21.164703,6,149077719,118834295,136859941,20.449715,6,149194897,118974717,137035063,19.721352,6,149550605,119310987,137409419,19.007217,6,150019000,119749000,137891600,18.316193,6,150628600,120324000,138522300,17.639267,6,151525800,121126000,139400600,16.978035,6,152505100,122012000,140362900,16.329735,6,153467300,122892000,141321100,15.690186,6,154176900,123576000,142048000,15.049271,6,154377900,123869000,142317300,14.397995,6,154150700,123833000,142169200,13.734245,6,153406800,123380000,141555400,13.064468,6,152239200,122572000,140546600,12.393417,6,150797500,121481000,139277700,11.728874,6,149187800,120142000,137827900,11.07962,21.164703,20.366882,19.555412,18.775482,18.006943,17.252693,16.514565,15.789902,15.074577,14.358223,13.631439,12.891945,12.146355,11.399452,10.659454,9.9357147,21.164703,20.055107,18.960915,17.893806,16.832504,15.785797,14.755257,13.738129,12.730232,11.721504,10.70314,9.6731873,8.6421814,7.6299591,6.6257477,5.6381302,21.164703,19.42421,17.74614,16.079338,14.422333,12.779305,11.147545,9.5222244,7.898735,6.2794952,4.6774902,3.0732803,1.4716034,.58487701,.52158356,.45951843,21.164703,19.148186,17.215057,15.281769,13.357986,11.448807,9.5523987,7.6643066,5.8151321,3.9653625,2.2166061,1.6033936,.99017334,.39161682,.36763,.34428406,21.164703,18.785637,16.489433,14.192047,11.903778,9.6309586,7.392868,5.1922226,3.2447815,2.6258469,1.9983063,1.4278641,.8638382,.30123138,.26941681,.23806,1005
ECS,12,50506526,20018286,27044897,13.286224,12,51161440,20368622,27500412,12.616539,12,51999312,20796720,28116485,11.953888,12,52970060,21270042,28835805,11.300186,12,53885500,21744000,29559000,10.660721,12,54676500,22192000,30238000,10.063675,12,55346600,22587000,30861000,9.6789398,12,55868600,22933000,31418000,9.3439865,12,56237800,23210000,31884000,9.0233231,12,56462900,23423000,32250000,8.7169876,12,56537000,23548000,32476000,8.4141922,12,56500000,23610000,32582000,8.1226654,12,56300000,23583000,32538000,7.8781281,12,55951000,23486000,32376000,7.6436844,12,55498000,23319000,32115000,7.4378357,12,54950900,23082000,31761000,7.2541428,13.286224,12.59523,11.911636,11.237,10.577606,9.964241,9.4291916,9.0644608,8.7192688,8.3904877,8.0634842,7.74543,7.4697876,7.2022781,6.9495468,6.7186966,13.286224,12.416229,11.553635,10.706306,9.9108582,9.3191071,8.836792,8.3887482,7.9584579,7.5885849,7.2374496,6.8906174,6.5517883,6.2188568,5.8978729,5.5878906,13.286224,11.852219,10.428886,9.404541,8.5846481,7.8047256,7.0500259,6.4109879,5.8271561,5.2738571,4.7231598,4.1686707,3.6110764,3.0594406,2.5085602,2.2174377,13.286224,11.775154,10.293144,9.2183914,8.3455658,7.5071716,6.8009949,6.167923,5.5692139,4.9871826,4.4170456,3.8491287,3.2750549,2.6968079,2.1193848,1.8019257,13.286224,11.659096,10.090942,9.0307999,8.0981293,7.3087311,6.5853958,5.9280472,5.301178,4.7068863,4.1120453,3.5137863,2.9102554,2.3032608,1.7443466,1.4596863,1005
LCN,16,54320207,47141204,53347001,50.779083,16,53874523,46769142,52924235,50.157719,16,53419696,46387233,52487704,49.539051,16,52972224,46009003,52056859,48.92337,16,52585700,45658000,51674100,48.308193,16,52293900,45361000,51382800,47.688183,16,52140500,45197000,51234000,47.063858,16,52070700,45089000,51167900,46.43829,16,52046300,45020000,51154200,45.80862,16,52035600,44980000,51155200,45.183914,16,51986100,44949000,51122500,44.569077,16,51910700,44944000,51070600,43.960712,16,51808600,44948000,50997200,43.363785,16,51674300,44948000,50895100,42.773369,16,51508700,44904000,50758900,42.179558,16,51308300,44792000,50581800,41.585373,50.779083,50.178604,49.580494,48.984783,48.388859,47.78756,47.181126,46.572796,45.96019,45.352646,44.755535,44.165661,43.58461,43.01128,42.4352,41.85741,50.779083,50.152138,49.527569,48.905392,48.283005,47.655243,47.022343,46.387554,45.748482,45.114479,44.490902,43.874565,43.267048,42.667255,42.064716,41.460461,50.779083,49.41177,48.04583,46.680885,45.314617,43.943008,42.564178,41.190449,39.815029,38.444199,37.080704,35.720581,34.365158,33.013023,31.655952,30.296867,50.779083,48.968456,47.159821,45.353226,43.546169,41.733414,39.91523,38.100811,36.283306,34.470627,32.668159,30.872704,29.085831,27.306175,25.523621,23.738907,50.779083,48.771843,46.766773,44.763908,42.760708,40.751972,38.73798,36.727951,34.715012,32.707077,30.709518,28.719063,26.737236,24.762856,22.785721,20.806557,1005
MEA,6,37219229,22375764,32533278,63.299294,6,37709998,22649117,32944277,61.868618,6,38364182,23003601,33506663,60.421089,6,39183069,23427353,34198154,58.960766,6,40154000,23939000,35018000,57.509121,6,41268000,24571000,35973000,56.097275,6,42549000,25348000,37076000,54.759632,6,43918000,26215000,38301000,53.46056,6,45327000,27120000,39581000,52.182087,6,46661000,27960000,40792000,50.871964,6,47753000,28617000,41789000,49.475426,6,48604000,29086000,42574000,47.970924,6,49178000,29370000,43122000,46.393379,6,49529000,29504000,43471000,44.759144,6,49727000,29537000,43673000,43.174477,6,49793000,29506000,43753000,42.329266,63.299294,62.110779,60.911018,59.705036,58.511551,57.354301,56.256603,55.18536,54.124851,53.037651,51.890789,50.674603,49.419342,48.137783,46.881149,45.694618,63.299294,61.614353,59.918167,58.215755,56.525848,54.872173,53.278046,51.710377,50.153442,48.569817,46.926525,45.213921,43.462231,41.684246,39.931187,38.248234,63.299294,61.072136,58.830158,56.577614,54.33614,52.137157,50.015652,47.935699,45.878914,43.792675,41.621655,39.503162,37.973427,36.419331,34.913231,33.509064,63.299294,60.581017,57.849514,55.109386,52.38097,49.692249,47.072987,44.488525,41.921669,39.326591,36.65797,34.058357,32.062195,30.054672,28.095497,26.222633,63.299294,59.974037,56.637535,53.294807,49.964584,46.670593,43.43615,40.228165,37.030918,33.806976,30.523369,27.329147,24.756516,22.188606,19.669487,17.217361,1005
NAC,0,22578317,0,0,,0,22737231,0,0,,0,22894988,0,0,,0,23045167,0,0,,0,23143000,0,0,,0,23127000,0,0,,0,23120000,0,0,,0,22992000,0,0,,0,22774000,0,0,,0,22527000,0,0,,0,22316000,0,0,,0,22261000,0,0,,0,22223000,0,0,,0,22193000,0,0,,0,22171000,0,0,,0,22167000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005
SAS,5,174647837,171290911,174647837,58.205475,5,175077905,171816252,175077905,57.557613,5,175352123,172166136,175352123,56.9146,5,175469465,172344232,175469465,56.277451,5,175307000,172233000,175307000,55.651382,5,174676000,171645000,174676000,55.036339,5,173463000,170479000,173463000,54.431229,5,171907000,168958000,171907000,53.838818,5,170127000,167209000,170127000,53.255871,5,168476000,165585000,168476000,52.674652,5,167302000,164441000,167302000,52.085926,5,166688000,163852000,166688000,51.485973,5,166557000,163740000,166557000,50.876431,5,166771000,163973000,166771000,50.25819,5,167057000,164274000,167057000,49.632977,5,167187000,164410000,167187000,49.001053,58.205475,57.454525,56.708424,55.968182,55.239021,54.520889,53.812691,53.117188,52.431152,51.746845,51.055027,50.351982,49.639351,48.918022,48.189716,47.454708,58.205475,57.142746,56.084881,55.03286,53.991936,52.962029,51.942062,50.93478,49.936981,48.940899,47.937309,46.922489,45.89809,44.864986,43.83012,42.794041,58.205475,56.75576,55.310898,53.871887,52.443966,51.027065,49.620106,48.225842,46.841042,45.45797,44.067566,42.680912,41.284454,39.879021,38.466255,37.046326,58.205475,56.400955,54.601284,52.807472,51.024742,49.253036,47.491268,45.742199,44.002598,42.282536,40.555992,38.817993,37.070049,35.313011,33.5485,31.776642,58.205475,55.916183,53.631741,51.353153,49.085655,46.829178,44.582638,42.363716,40.163269,37.964542,35.758125,33.540077,31.311905,29.074471,26.829369,24.576668,1005
SSF,17,123159024,56789447,123159024,86.690605,17,126528932,58321977,126528932,85.635574,17,130017851,59929514,130017851,84.576309,17,133576484,61586844,133576484,83.515091,17,137130200,63260000,137130200,82.45591,17,140587400,64902000,140587400,81.401062,17,143980500,66532000,143980500,80.351906,17,147325600,68158000,147325600,79.308838,17,150620600,69775000,150620600,78.27224,17,153830800,71364000,153830800,77.24118,17,156898800,72890000,156898800,76.21608,17,159815800,74365000,159815800,75.196182,17,162662800,75802000,162662800,74.181793,17,165439800,77204000,165439800,73.17363,17,168218800,78584000,168218800,72.167633,17,171013600,79938000,171013600,71.162292,86.690605,85.677284,84.65947,83.639748,82.621925,81.607613,80.598267,79.59346,78.593399,77.597153,76.605118,75.616577,74.631409,73.650139,72.66935,71.688179,86.690605,84.780853,82.866608,80.950455,79.036201,77.125458,75.219681,73.318443,71.421951,69.529266,67.640808,65.755844,63.874233,61.996536,60.119316,58.241711,86.690605,84.502815,82.310791,80.116814,77.924889,75.737335,73.555511,71.37986,69.210777,67.047318,64.889908,62.737789,60.591293,58.451149,56.313255,54.176079,86.690605,84.033066,81.371025,78.707077,76.045036,73.386505,70.732933,68.083908,65.439621,62.799149,60.162903,57.53014,54.900738,52.275253,49.650242,47.024845,86.690605,83.229767,79.764427,76.29718,72.831833,69.370003,65.913132,62.460808,59.013222,55.56945,52.129902,48.69384,45.261139,41.832352,38.404499,34.987518,1005
Global,,,,,52.703537,,,,,52.100521,,,,,51.462761,,,,,50.808632,,,,,50.150349,,,,,49.482994,,,,,48.814518,,,,,48.147701,,,,,47.484222,,,,,46.830002,,,,,46.190887,,,,,45.561108,,,,,44.95594,,,,,44.369419,,,,,43.803783,,,,,43.305069,52.703537,52.072231,51.407639,50.732716,50.05265,49.365334,48.67107,47.986229,47.306389,46.637543,45.985706,45.345436,44.730957,44.136429,43.560101,43.002373,52.703537,51.649357,50.563057,49.459686,48.345932,47.228008,46.099964,44.969017,43.837738,42.714931,41.605545,40.503666,39.421726,38.358982,37.309292,36.271446,52.703537,51.174877,49.628124,48.081787,46.536167,44.979881,43.409401,41.841133,40.274796,38.718079,37.181271,35.669403,34.226456,32.969925,31.914467,30.875458,52.703537,50.810471,48.904739,46.996632,45.088421,43.168186,41.238384,39.306908,37.382851,35.469604,33.59568,32.01342,30.492477,28.98452,27.613434,26.252533,52.703537,50.321693,47.924969,45.527515,43.122932,40.709229,38.284737,35.866394,33.50605,31.469421,29.438728,27.43399,25.485008,23.538452,21.712746,19.891502,
