region,country_count_2015,pop_total_2015,pop_with_data_2015,pop_sim_2015,learning_poverty2015own,country_count_2016,pop_total_2016,pop_with_data_2016,pop_sim_2016,learning_poverty2016own,country_count_2017,pop_total_2017,pop_with_data_2017,pop_sim_2017,learning_poverty2017own,country_count_2018,pop_total_2018,pop_with_data_2018,pop_sim_2018,learning_poverty2018own,country_count_2019,pop_total_2019,pop_with_data_2019,pop_sim_2019,learning_poverty2019own,country_count_2020,pop_total_2020,pop_with_data_2020,pop_sim_2020,learning_poverty2020own,country_count_2021,pop_total_2021,pop_with_data_2021,pop_sim_2021,learning_poverty2021own,country_count_2022,pop_total_2022,pop_with_data_2022,pop_sim_2022,learning_poverty2022own,country_count_2023,pop_total_2023,pop_with_data_2023,pop_sim_2023,learning_poverty2023own,country_count_2024,pop_total_2024,pop_with_data_2024,pop_sim_2024,learning_poverty2024own,country_count_2025,pop_total_2025,pop_with_data_2025,pop_sim_2025,learning_poverty2025own,country_count_2026,pop_total_2026,pop_with_data_2026,pop_sim_2026,learning_poverty2026own,country_count_2027,pop_total_2027,pop_with_data_2027,pop_sim_2027,learning_poverty2027own,country_count_2028,pop_total_2028,pop_with_data_2028,pop_sim_2028,learning_poverty2028own,country_count_2029,pop_total_2029,pop_with_data_2029,pop_sim_2029,learning_poverty2029own,country_count_2030,pop_total_2030,pop_with_data_2030,pop_sim_2030,learning_poverty2030own,learning_poverty2015r50,learning_poverty2016r50,learning_poverty2017r50,learning_poverty2018r50,learning_poverty2019r50,learning_poverty2020r50,learning_poverty2021r50,learning_poverty2022r50,learning_poverty2023r50,learning_poverty2024r50,learning_poverty2025r50,learning_poverty2026r50,learning_poverty2027r50,learning_poverty2028r50,learning_poverty2029r50,learning_poverty2030r50,learning_poverty2015r60,learning_poverty2016r60,learning_poverty2017r60,learning_poverty2018r60,learning_poverty2019r60,learning_poverty2020r60,learning_poverty2021r60,learning_poverty2022r60,learning_poverty2023r60,learning_poverty2024r60,learning_poverty2025r60,learning_poverty2026r60,learning_poverty2027r60,learning_poverty2028r60,learning_poverty2029r60,learning_poverty2030r60,learning_poverty2015r70,learning_poverty2016r70,learning_poverty2017r70,learning_poverty2018r70,learning_poverty2019r70,learning_poverty2020r70,learning_poverty2021r70,learning_poverty2022r70,learning_poverty2023r70,learning_poverty2024r70,learning_poverty2025r70,learning_poverty2026r70,learning_poverty2027r70,learning_poverty2028r70,learning_poverty2029r70,learning_poverty2030r70,learning_poverty2015r80,learning_poverty2016r80,learning_poverty2017r80,learning_poverty2018r80,learning_poverty2019r80,learning_poverty2020r80,learning_poverty2021r80,learning_poverty2022r80,learning_poverty2023r80,learning_poverty2024r80,learning_poverty2025r80,learning_poverty2026r80,learning_poverty2027r80,learning_poverty2028r80,learning_poverty2029r80,learning_poverty2030r80,learning_poverty2015r90,learning_poverty2016r90,learning_poverty2017r90,learning_poverty2018r90,learning_poverty2019r90,learning_poverty2020r90,learning_poverty2021r90,learning_poverty2022r90,learning_poverty2023r90,learning_poverty2024r90,learning_poverty2025r90,learning_poverty2026r90,learning_poverty2027r90,learning_poverty2028r90,learning_poverty2029r90,learning_poverty2030r90,preference
EAS,6,149394031,119064332,137060551,21.164703,6,149077719,118834295,136859941,20.242447,6,149194897,118974717,137035063,19.309631,6,149550605,119310987,137409419,18.395294,6,150019000,119749000,137891600,17.506844,6,150628600,120324000,138522300,16.631668,6,151525800,121126000,139400600,15.767937,6,152505100,122012000,140362900,14.911308,6,153467300,122892000,141321100,14.057259,6,154176900,123576000,142048000,13.199196,6,154377900,123869000,142317300,12.333939,6,154150700,123833000,142169200,11.462364,6,153406800,123380000,141555400,10.589165,6,152239200,122572000,140546600,9.7177734,6,150797500,121481000,139277700,8.8497314,6,149187800,120142000,137827900,7.9853439,21.164703,20.154594,19.133507,18.13855,17.157005,16.188553,15.231911,14.485321,13.744888,13.003616,12.255219,11.498108,10.73687,9.9749756,9.2179489,8.472023,21.164703,20.00592,18.838165,17.708679,16.586754,15.478203,14.381836,13.481888,12.588295,11.693954,10.792671,9.8829727,8.9695663,8.0558701,7.1547089,6.2926407,21.164703,19.212776,17.335114,15.456375,13.586349,11.730682,10.040474,8.3605423,6.7145538,5.0774384,3.4350433,2.7541885,2.3241577,1.8946762,1.5141602,1.1455002,21.164703,18.995842,16.898422,14.800674,12.712219,10.808586,8.917984,7.0588379,5.2260132,3.3934097,2.7538681,2.2757339,1.8106461,1.3914871,.97465515,.55945587,21.164703,18.025368,14.962486,11.897545,8.8465576,5.808754,3.8453598,3.0798111,2.40905,1.7420273,1.0641022,.37549591,.22088623,.17563629,.12957764,.082710266,1005
ECS,12,50506526,20018286,27044897,13.286224,12,51161440,20368622,27500412,12.613205,12,51999312,20796720,28116485,11.947174,12,52970060,21270042,28835805,11.28997,12,53885500,21744000,29559000,10.646881,12,54676500,22192000,30238000,10.045998,12,55346600,22587000,30861000,9.6571732,12,55868600,22933000,31418000,9.3177719,12,56237800,23210000,31884000,8.9924698,12,56462900,23423000,32250000,8.6813049,12,56537000,23548000,32476000,8.3738327,12,56500000,23610000,32582000,8.0779343,12,56300000,23583000,32538000,7.8293686,12,55951000,23486000,32376000,7.5911942,12,55498000,23319000,32115000,7.3816681,12,54950900,23082000,31761000,7.1942368,13.286224,12.375275,11.471504,10.587166,9.7513885,9.1620178,8.6488953,8.177536,7.7239456,7.3475571,6.9747314,6.6109085,6.2525558,5.9007492,5.5607605,5.2084045,13.286224,12.214821,11.150665,10.138458,9.3380356,8.7276535,8.1369629,7.6182327,7.1704102,6.7433853,6.3239899,5.9046326,5.4850998,5.0782318,4.6849747,4.2775421,13.286224,11.381554,9.6701279,8.555748,7.5448456,6.6769028,5.8539429,5.0816803,4.3506699,3.6282959,2.9052429,2.1779709,1.5022202,1.2473068,1.1383209,1.0353851,13.286224,11.172867,9.4304199,8.2058487,7.1592178,6.2211838,5.320755,4.4890213,3.7000656,2.897438,2.0943375,1.4363327,1.2762909,1.1576996,1.0407028,.92658234,13.286224,9.974556,8.0329742,6.4452438,4.9551468,3.5722275,2.2444305,1.4859848,1.4136353,1.3383484,1.2441254,1.1321259,1.0350494,.93389893,.83419037,.73681641,1005
LCN,16,54320207,47141204,53347001,50.779083,16,53874523,46769142,52924235,49.319786,16,53419696,46387233,52487704,47.866291,16,52972224,46009003,52056859,46.419449,16,52585700,45658000,51674100,44.975784,16,52293900,45361000,51382800,43.526932,16,52140500,45197000,51234000,42.073265,16,52070700,45089000,51167900,40.615246,16,52046300,45020000,51154200,39.149395,16,52035600,44980000,51155200,37.688889,16,51986100,44949000,51122500,36.242191,16,51910700,44944000,51070600,34.804573,16,51808600,44948000,50997200,33.384872,16,51674300,44948000,50895100,31.977097,16,51508700,44904000,50758900,30.568771,16,51308300,44792000,50581800,29.16198,50.779083,49.204494,47.635834,46.074039,44.51606,42.895809,41.280064,39.617359,37.978691,36.347027,34.728905,33.385223,32.049782,30.69297,29.757729,28.819786,50.779083,49.135811,47.498791,45.869049,44.243484,42.557087,40.867111,39.125244,37.405186,35.692291,33.998512,32.555916,31.122131,29.664787,28.599724,27.53228,50.779083,48.441189,46.108936,43.783195,41.372784,38.957829,36.560528,34.161957,31.738945,29.520599,27.308037,25.392494,23.474815,21.598289,19.740021,17.880196,50.779083,48.211773,45.651222,43.098572,40.425648,37.748272,35.091499,32.438042,29.967796,27.505287,25.366463,23.232552,21.135544,19.096329,17.018044,14.939415,50.779083,48.018005,45.261681,42.472458,39.65303,36.819302,33.980591,31.095543,28.117737,24.983841,21.855225,18.749184,15.635506,12.580887,9.657486,7.3995285,1005
MEA,6,37219229,22375764,32533278,63.299294,6,37709998,22649117,32944277,62.313583,6,38364182,23003601,33506663,61.312016,6,39183069,23427353,34198154,60.297421,6,40154000,23939000,35018000,59.29068,6,41268000,24571000,35973000,58.323048,6,42549000,25348000,37076000,57.430504,6,43918000,26215000,38301000,56.576523,6,45327000,27120000,39581000,55.74324,6,46661000,27960000,40792000,54.877296,6,47753000,28617000,41789000,53.922428,6,48604000,29086000,42574000,52.853226,6,49178000,29370000,43122000,51.708138,6,49529000,29504000,43471000,50.445507,6,49727000,29537000,43673000,49.23867,6,49793000,29506000,43753000,48.786037,63.299294,62.215466,61.119408,59.979134,58.84866,57.753563,56.721226,55.97916,55.243309,54.47567,53.646587,52.747208,51.815575,50.806801,49.834801,48.918835,63.299294,62.185467,61.059219,59.884678,58.719906,57.591,56.526093,55.734516,54.950665,54.135403,53.257275,52.306232,51.320377,50.254883,49.225845,48.252674,63.299294,61.411709,59.511963,57.570862,55.639782,53.74416,52.110973,50.501949,48.900467,47.269043,45.471668,43.606434,41.442905,39.261837,37.119091,35.057411,63.299294,61.303886,59.295635,57.232273,55.178928,53.388668,51.661552,49.961533,48.271889,46.519535,44.591476,42.593742,40.181889,37.75132,35.360153,33.05246,63.299294,60.90332,58.472172,56.032803,53.60368,51.121777,48.701122,46.309216,43.852867,41.161251,38.401333,35.548141,33.263954,31.182579,29.161194,27.23114,1005
NAC,0,22578317,0,0,,0,22737231,0,0,,0,22894988,0,0,,0,23045167,0,0,,0,23143000,0,0,,0,23127000,0,0,,0,23120000,0,0,,0,22992000,0,0,,0,22774000,0,0,,0,22527000,0,0,,0,22316000,0,0,,0,22261000,0,0,,0,22223000,0,0,,0,22193000,0,0,,0,22171000,0,0,,0,22167000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005
SAS,5,174647837,171290911,174647837,58.205475,5,175077905,171816252,175077905,57.557613,5,175352123,172166136,175352123,56.9146,5,175469465,172344232,175469465,56.277451,5,175307000,172233000,175307000,55.651382,5,174676000,171645000,174676000,55.036339,5,173463000,170479000,173463000,54.431229,5,171907000,168958000,171907000,53.838814,5,170127000,167209000,170127000,53.255871,5,168476000,165585000,168476000,52.674652,5,167302000,164441000,167302000,52.085926,5,166688000,163852000,166688000,51.485973,5,166557000,163740000,166557000,50.876431,5,166771000,163973000,166771000,50.25819,5,167057000,164274000,167057000,49.632977,5,167187000,164410000,167187000,49.001053,58.205475,57.184071,56.169254,55.161957,54.167366,53.185482,51.674644,50.184219,48.647427,47.120293,45.591049,44.052708,42.507053,40.954475,39.396492,37.831837,58.205475,57.171227,56.143551,55.123386,54.115959,53.121246,51.538788,49.977394,48.363377,46.759769,45.154625,43.540787,41.919968,40.29248,38.659798,37.020565,58.205475,56.378841,54.558632,52.745785,50.442299,48.094517,45.762951,43.452152,41.159393,38.888821,36.62067,34.342766,32.05658,29.762512,27.910385,26.115898,58.205475,56.340515,54.481911,52.630615,50.088428,47.479275,44.888329,42.320667,39.785988,37.271278,34.755295,32.230644,29.698433,27.788406,25.788971,23.776375,58.205475,55.812832,53.426449,50.683834,47.91177,45.17252,42.464981,39.77681,37.105042,34.440681,31.771965,29.014793,26.001457,22.948509,19.888123,16.820633,1005
SSF,17,123159024,56789447,123159024,86.690605,17,126528932,58321977,126528932,85.894035,17,130017851,59929514,130017851,85.092567,17,133576484,61586844,133576484,84.288383,17,137130200,63260000,137130200,83.485863,17,140587400,64902000,140587400,82.687996,17,143980500,66532000,143980500,81.896675,17,147325600,68158000,147325600,81.112961,17,150620600,69775000,150620600,80.337334,17,153830800,71364000,153830800,79.568878,17,156898800,72890000,156898800,78.807671,17,159815800,74365000,159815800,78.052773,17,162662800,75802000,162662800,77.305107,17,165439800,77204000,165439800,76.565804,17,168218800,78584000,168218800,75.83046,17,171013600,79938000,171013600,75.097527,86.690605,87.070641,87.44577,87.816437,88.168556,88.522942,88.871613,89.218674,89.5578,89.89077,90.228096,90.570061,90.91571,91.266411,91.620384,91.972633,86.690605,87.069916,87.444313,87.814262,88.165657,88.51931,88.867264,89.213585,89.551987,89.884262,90.220886,90.562187,90.907188,91.257286,91.610413,91.961838,86.690605,86.15271,85.60994,85.064682,84.520821,83.979881,83.371246,82.767029,82.135414,81.508682,80.887543,80.164063,79.45002,78.747055,78.027748,77.312447,86.690605,86.087784,85.480118,84.869995,84.261292,83.584602,82.912766,82.213577,81.519493,80.830315,80.03949,79.258118,78.486282,77.725578,76.939636,76.088028,86.690605,85.600891,84.506287,83.409187,82.240845,81.042839,79.730278,78.424507,77.127251,75.632301,74.147438,72.641197,70.798843,68.966179,67.1129,65.250641,1005
Global,,,,,52.703537,,,,,52.054413,,,,,51.377529,,,,,50.691597,,,,,50.008114,,,,,49.320351,,,,,48.634651,,,,,47.953495,,,,,47.278301,,,,,46.616081,,,,,45.974133,,,,,45.3465,,,,,44.748978,,,,,44.171188,,,,,43.618862,,,,,43.136837,52.703537,52.155121,51.591721,51.031944,50.48119,49.94339,49.248028,48.636326,48.031708,47.459213,46.919746,46.425179,45.964359,45.526062,45.155643,44.815948,52.703537,52.097633,51.477798,50.866386,50.271416,49.686962,48.923584,48.24136,47.567837,46.924622,46.316555,45.752209,45.2229,44.717743,44.281227,43.883087,52.703537,51.284893,49.880695,48.502708,46.976608,45.450405,43.970249,42.514412,41.082336,39.702461,38.346245,37.236271,36.196461,35.20285,34.368446,33.575737,52.703537,51.165207,49.65036,48.157909,46.456577,44.78624,43.13245,41.504414,39.931274,38.388519,37.156094,35.988235,34.851959,33.927055,32.986488,32.045761,52.703537,50.543251,48.456657,46.27021,44.070457,41.877068,39.925385,38.305401,36.753155,35.145103,33.5578,31.949692,30.369598,28.836823,27.317726,25.860886,
