region,country_count_2015,pop_total_2015,pop_with_data_2015,pop_sim_2015,learning_poverty2015own,country_count_2016,pop_total_2016,pop_with_data_2016,pop_sim_2016,learning_poverty2016own,country_count_2017,pop_total_2017,pop_with_data_2017,pop_sim_2017,learning_poverty2017own,country_count_2018,pop_total_2018,pop_with_data_2018,pop_sim_2018,learning_poverty2018own,country_count_2019,pop_total_2019,pop_with_data_2019,pop_sim_2019,learning_poverty2019own,country_count_2020,pop_total_2020,pop_with_data_2020,pop_sim_2020,learning_poverty2020own,country_count_2021,pop_total_2021,pop_with_data_2021,pop_sim_2021,learning_poverty2021own,country_count_2022,pop_total_2022,pop_with_data_2022,pop_sim_2022,learning_poverty2022own,country_count_2023,pop_total_2023,pop_with_data_2023,pop_sim_2023,learning_poverty2023own,country_count_2024,pop_total_2024,pop_with_data_2024,pop_sim_2024,learning_poverty2024own,country_count_2025,pop_total_2025,pop_with_data_2025,pop_sim_2025,learning_poverty2025own,country_count_2026,pop_total_2026,pop_with_data_2026,pop_sim_2026,learning_poverty2026own,country_count_2027,pop_total_2027,pop_with_data_2027,pop_sim_2027,learning_poverty2027own,country_count_2028,pop_total_2028,pop_with_data_2028,pop_sim_2028,learning_poverty2028own,country_count_2029,pop_total_2029,pop_with_data_2029,pop_sim_2029,learning_poverty2029own,country_count_2030,pop_total_2030,pop_with_data_2030,pop_sim_2030,learning_poverty2030own,learning_poverty2015r50,learning_poverty2016r50,learning_poverty2017r50,learning_poverty2018r50,learning_poverty2019r50,learning_poverty2020r50,learning_poverty2021r50,learning_poverty2022r50,learning_poverty2023r50,learning_poverty2024r50,learning_poverty2025r50,learning_poverty2026r50,learning_poverty2027r50,learning_poverty2028r50,learning_poverty2029r50,learning_poverty2030r50,learning_poverty2015r60,learning_poverty2016r60,learning_poverty2017r60,learning_poverty2018r60,learning_poverty2019r60,learning_poverty2020r60,learning_poverty2021r60,learning_poverty2022r60,learning_poverty2023r60,learning_poverty2024r60,learning_poverty2025r60,learning_poverty2026r60,learning_poverty2027r60,learning_poverty2028r60,learning_poverty2029r60,learning_poverty2030r60,learning_poverty2015r70,learning_poverty2016r70,learning_poverty2017r70,learning_poverty2018r70,learning_poverty2019r70,learning_poverty2020r70,learning_poverty2021r70,learning_poverty2022r70,learning_poverty2023r70,learning_poverty2024r70,learning_poverty2025r70,learning_poverty2026r70,learning_poverty2027r70,learning_poverty2028r70,learning_poverty2029r70,learning_poverty2030r70,learning_poverty2015r80,learning_poverty2016r80,learning_poverty2017r80,learning_poverty2018r80,learning_poverty2019r80,learning_poverty2020r80,learning_poverty2021r80,learning_poverty2022r80,learning_poverty2023r80,learning_poverty2024r80,learning_poverty2025r80,learning_poverty2026r80,learning_poverty2027r80,learning_poverty2028r80,learning_poverty2029r80,learning_poverty2030r80,learning_poverty2015r90,learning_poverty2016r90,learning_poverty2017r90,learning_poverty2018r90,learning_poverty2019r90,learning_poverty2020r90,learning_poverty2021r90,learning_poverty2022r90,learning_poverty2023r90,learning_poverty2024r90,learning_poverty2025r90,learning_poverty2026r90,learning_poverty2027r90,learning_poverty2028r90,learning_poverty2029r90,learning_poverty2030r90,preference
EAS,6,149394031,119064332,137060551,21.164703,6,149077719,118834295,136859941,20.285553,6,149194897,118974717,137035063,19.428627,6,149550605,119310987,137409419,18.59623,6,150019000,119749000,137891600,17.769844,6,150628600,120324000,138522300,16.957314,6,151525800,121126000,139400600,16.159332,6,152505100,122012000,140362900,15.372704,6,153467300,122892000,141321100,14.593147,6,154176900,123576000,142048000,13.811554,6,154377900,123869000,142317300,13.020515,6,154150700,123833000,142169200,12.218872,6,153406800,123380000,141555400,11.412544,6,152239200,122572000,140546600,10.605789,6,150797500,121481000,139277700,9.8046188,6,149187800,120142000,137827900,9.0152817,21.164703,20.285553,19.428627,18.59623,17.769844,16.957314,16.159332,15.372704,14.593147,13.811554,13.020515,12.218872,11.412544,10.605789,9.8046188,9.0152817,21.164703,20.110207,19.079147,18.07164,17.070122,16.082901,15.111183,14.151947,13.201004,12.248726,11.287025,10.314316,9.3368683,8.3590622,7.4088821,6.473793,21.164703,19.41153,17.742012,16.072914,14.413467,12.767921,11.133644,9.5058289,7.8798599,6.257782,4.6531448,3.0462265,1.4417419,.53562164,.4680481,.40161133,21.164703,18.924019,16.766571,14.608559,12.460052,10.326767,8.2075348,6.1395264,4.0786209,2.7482376,2.1337967,1.5165939,.9613266,.40778351,.38519287,.36327362,21.164703,18.534073,15.985909,13.435814,10.894524,8.3762512,5.9206543,3.7423782,3.1138229,2.4940033,1.933815,1.3654785,.79529572,.22631836,.18801117,.15001678,1005
ECS,12,50506526,20018286,27044897,13.286224,12,51161440,20368622,27500412,12.526718,12,51999312,20796720,28116485,11.775246,12,52970060,21270042,28835805,11.039787,12,53885500,21744000,29559000,10.35569,12,54676500,22192000,30238000,9.6857452,12,55346600,22587000,30861000,9.2280502,12,55868600,22933000,31418000,8.818306,12,56237800,23210000,31884000,8.4197311,12,56462900,23423000,32250000,8.0376282,12,56537000,23548000,32476000,7.6603546,12,56500000,23610000,32582000,7.2930069,12,56300000,23583000,32538000,6.9466171,12,55951000,23486000,32376000,6.6462097,12,55498000,23319000,32115000,6.3720779,12,54950900,23082000,31761000,6.1091614,13.286224,12.428444,11.577972,10.742958,9.9594879,9.3780746,8.898468,8.4482498,8.0156555,7.6021118,7.1913681,6.7876663,6.399826,6.0552826,5.7228088,5.401207,13.286224,12.212837,11.146912,10.142899,9.4110565,8.8130722,8.2315369,7.6870575,7.1630936,6.6698074,6.1823349,5.7446747,5.3095932,4.8883438,4.4763794,4.0815201,13.286224,11.749901,10.269333,9.2630157,8.3964386,7.5595779,6.7602997,6.0347214,5.3375092,4.6791611,4.0614853,3.4571381,2.8483505,2.2367325,1.6562729,1.3656387,13.286224,10.926285,9.1166,8.0151215,6.9553528,5.9664307,5.0297699,4.170639,3.3398972,2.5264053,1.7728577,1.5639572,1.4876556,1.4029541,1.3194351,1.2388763,13.286224,10.468178,8.5976334,7.2459259,5.9787292,4.7843628,3.667923,2.600708,1.6164017,1.3487854,1.2668152,1.1674576,1.0553741,.93759918,.84053802,.75026703,1005
LCN,16,54320207,47141204,53347001,50.779083,16,53874523,46769142,52924235,50.019657,16,53419696,46387233,52487704,49.262764,16,52972224,46009003,52056859,48.50864,16,52585700,45658000,51674100,47.754768,16,52293900,45361000,51382800,46.99585,16,52140500,45197000,51234000,46.232796,16,52070700,45089000,51167900,45.468239,16,52046300,45020000,51154200,44.699501,16,52035600,44980000,51155200,43.935799,16,51986100,44949000,51122500,43.181564,16,51910700,44944000,51070600,42.433655,16,51808600,44948000,50997200,41.696819,16,51674300,44948000,50895100,40.965946,16,51508700,44904000,50758900,40.231857,16,51308300,44792000,50581800,39.497051,50.779083,50.030239,49.283791,48.539825,47.795727,47.046349,46.292408,45.536572,44.776485,44.021523,43.276249,42.537548,41.806782,41.082726,40.356022,39.627689,50.779083,49.809475,48.842495,47.878288,46.9142,45.944946,44.971043,43.99519,43.014877,42.039707,41.073986,40.114559,39.162861,38.217888,37.270123,36.321262,50.779083,49.274719,47.772537,46.272594,44.772438,43.267273,41.756466,40.250263,38.741421,37.237461,35.739967,34.245018,32.754158,31.265945,29.773254,28.280205,50.779083,48.617565,46.457481,44.298447,42.138035,39.971512,37.79842,35.62944,33.458275,31.291924,29.138893,26.996063,24.954254,22.929161,20.907043,18.879425,50.779083,48.103603,45.429691,42.757107,40.083385,37.403748,34.718468,32.038765,29.355446,26.677017,24.010704,21.388496,18.834541,16.318909,13.803261,11.282249,1005
MEA,6,37219229,22375764,32533278,63.299294,6,37709998,22649117,32944277,62.074249,6,38364182,23003601,33506663,60.833351,6,39183069,23427353,34198154,59.57906,6,40154000,23939000,35018000,58.330742,6,41268000,24571000,35973000,57.116318,6,42549000,25348000,37076000,55.967251,6,43918000,26215000,38301000,54.84803,6,45327000,27120000,39581000,53.741623,6,46661000,27960000,40792000,52.600754,6,47753000,28617000,41789000,51.376148,6,48604000,29086000,42574000,50.045853,6,49178000,29370000,43122000,48.648384,6,49529000,29504000,43471000,47.199829,6,49727000,29537000,43673000,45.808216,6,49793000,29506000,43753000,45.164158,63.299294,62.419472,61.530357,60.635574,59.750946,58.894878,58.084534,57.28772,56.490395,55.664288,54.788082,53.854935,52.897602,51.927551,50.989986,50.121029,63.299294,62.328865,61.348362,60.361656,59.385399,58.439743,57.544136,56.666046,55.790901,54.887348,53.930153,52.910648,51.861874,50.795658,49.761112,48.799236,63.299294,61.389278,59.465324,57.529839,55.602139,53.710232,51.886189,50.094234,48.317024,46.50721,44.615448,42.777809,41.535439,40.274712,39.071442,37.981735,63.299294,61.225651,59.13702,57.037445,54.948288,52.900612,50.929317,48.998692,47.090595,45.153103,43.132488,41.164925,39.788788,38.390228,37.043362,35.802971,63.299294,60.526699,57.741928,54.948895,52.166355,49.419315,46.734051,44.076538,41.430565,38.755558,36.013222,33.347679,31.294975,29.239288,27.236618,25.319145,1005
NAC,0,22578317,0,0,,0,22737231,0,0,,0,22894988,0,0,,0,23045167,0,0,,0,23143000,0,0,,0,23127000,0,0,,0,23120000,0,0,,0,22992000,0,0,,0,22774000,0,0,,0,22527000,0,0,,0,22316000,0,0,,0,22261000,0,0,,0,22223000,0,0,,0,22193000,0,0,,0,22171000,0,0,,0,22167000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005
SAS,5,174647837,171290911,174647837,58.205475,5,175077905,171816252,175077905,57.123333,5,175352123,172166136,175352123,56.047462,5,175469465,172344232,175469465,54.978802,5,175307000,172233000,175307000,53.922508,5,174676000,171645000,174676000,52.878609,5,173463000,170479000,173463000,51.845711,5,171907000,168958000,171907000,50.826946,5,170127000,167209000,170127000,49.819,5,168476000,165585000,168476000,48.813808,5,167302000,164441000,167302000,47.801506,5,166688000,163852000,166688000,46.776993,5,166557000,163740000,166557000,45.742615,5,166771000,163973000,166771000,44.699471,5,167057000,164274000,167057000,43.649456,5,167187000,164410000,167187000,42.593521,58.205475,57.123333,56.047462,54.978802,53.922508,52.878609,51.845711,50.826946,49.819,48.813808,47.801506,46.776989,45.742615,44.699471,43.649456,42.593521,58.205475,57.10664,56.013947,54.928337,53.855038,52.794018,51.743919,50.707836,49.682468,48.659809,47.630054,46.588226,45.536633,44.476337,43.409248,42.337395,58.205475,56.536324,54.873867,53.219021,51.576992,49.947781,48.329903,46.726604,45.134548,43.545616,41.949757,40.356579,38.753349,37.141125,35.521812,33.896507,58.205475,56.504139,54.808392,53.119213,51.441959,49.776485,48.121555,46.482193,44.873047,43.266331,41.652344,40.026432,38.390549,36.745625,35.093422,33.434494,58.205475,55.537338,52.874935,50.219231,47.575455,44.943569,42.334019,39.753662,37.183754,34.616211,32.041199,29.453873,26.856186,24.24913,21.634422,19.01255,1005
SSF,17,123159024,56789447,123159024,86.690605,17,126528932,58321977,126528932,86.456551,17,130017851,59929514,130017851,86.219414,17,133576484,61586844,133576484,85.980789,17,137130200,63260000,137130200,85.744957,17,140587400,64902000,140587400,85.515053,17,143980500,66532000,143980500,85.292519,17,147325600,68158000,147325600,85.079155,17,150620600,69775000,150620600,84.876091,17,153830800,71364000,153830800,84.68232,17,156898800,72890000,156898800,84.499672,17,159815800,74365000,159815800,84.327065,17,162662800,75802000,162662800,84.166115,17,165439800,77204000,165439800,84.017464,17,168218800,78584000,168218800,83.87516,17,171013600,79938000,171013600,83.735619,86.690605,86.519798,86.34552,86.16983,85.996712,85.828278,85.666122,85.510773,85.363113,85.222122,85.089645,84.964584,84.847931,84.740074,84.636002,84.533112,86.690605,86.421646,86.149269,85.875427,85.604187,85.337875,85.078056,84.825508,84.581123,84.343956,84.115692,83.895294,83.683823,83.481796,83.284019,83.087746,86.690605,86.11792,85.542854,84.966415,84.393204,83.827446,83.270538,82.725693,82.19455,81.676117,81.172638,80.68293,80.209534,79.753387,79.307045,78.865448,86.690605,85.419029,84.144196,82.867683,81.593834,80.326103,79.065872,77.815102,76.57486,75.344299,74.124542,72.914719,71.716248,70.530212,69.350586,68.173981,86.690605,84.580551,82.466766,80.351387,78.238411,76.130005,74.027702,71.931976,69.843544,67.761459,65.687012,63.619255,61.558926,59.506592,57.457508,55.409454,1005
Global,,,,,52.703537,,,,,52.104824,,,,,51.49107,,,,,50.874626,,,,,50.26289,,,,,49.652168,,,,,49.052383,,,,,48.466423,,,,,47.895866,,,,,47.345104,,,,,46.817455,,,,,46.30444,,,,,45.821453,,,,,45.366146,,,,,44.941307,,,,,44.594616,52.703537,52.136051,51.554512,50.971584,50.394665,49.829468,49.269691,48.722935,48.192108,47.68211,47.197174,46.729542,46.293404,45.886379,45.506508,45.154938,52.703537,52.027435,51.337688,50.648598,49.976887,49.313354,48.650341,48.000469,47.366482,46.75412,46.167606,45.601536,45.067394,44.562038,44.089832,43.64814,52.703537,51.473129,50.248913,49.042671,47.850269,46.663036,45.478897,44.311916,43.162842,42.039639,40.952209,39.901222,38.933235,38.162182,37.616192,37.110489,52.703537,51.067924,49.45929,47.87685,46.299683,44.725681,43.150658,41.598759,40.06612,38.729118,37.593731,36.514866,35.539818,34.587494,33.777573,32.982147,52.703537,50.358383,48.058807,45.775574,43.499924,41.230251,38.978054,36.807121,35.025421,33.300629,31.619179,29.956657,28.360298,26.776649,25.325119,23.877785,
