region,adminregion,cmu,countrycode,countryname
SSF,SSA,AFCE3,ERI,Eritrea
SSF,SSA,AFCE3,ETH,Ethiopia
SSF,SSA,AFCE3,SSD,South Sudan
SSF,SSA,AFCE3,SDN,Sudan
SSF,SSA,AFCF1,CPV,Cabo Verde
SSF,SSA,AFCF1,GMB,Gambia The
SSF,SSA,AFCF1,GNB,Guinea Bissau
SSF,SSA,AFCF1,MRT,Mauritania
SSF,SSA,AFCF1,SEN,Senegal
SSF,SSA,AFCF2,BEN,Benin
SSF,SSA,AFCF2,CIV,Cote d Ivoire
SSF,SSA,AFCF2,GIN,Guinea
SSF,SSA,AFCF2,TGO,Togo
SSF,SSA,AFCS1,BWA,Botswana
SSF,SSA,AFCS1,SWZ,eSwatini
SSF,SSA,AFCS1,LSO,Lesotho
SSF,SSA,AFCS1,NAM,Namibia
SSF,SSA,AFCS1,ZAF,South Africa
SSF,SSA,AFCS2,COM,Comoros
SSF,SSA,AFCS2,MDG,Madagascar
SSF,SSA,AFCS2,MUS,Mauritius
SSF,SSA,AFCS2,MOZ,Mozambique
SSF,SSA,AFCS2,SYC,Seychelles
SSF,SSA,AFCW1,GHA,Ghana
SSF,SSA,AFCW1,LBR,Liberia
SSF,SSA,AFCW1,SLE,Sierra Leone
SSF,SSA,AFCW2,NGA,Nigeria
SSF,SSA,AFCW3,BFA,Burkina Faso
SSF,SSA,AFCW3,TCD,Chad
SSF,SSA,AFCW3,MLI,Mali
SSF,SSA,AFCW3,NER,Niger
