assessment,subject,r_country,r_county,r_school,r_student
TIMSS 4th grade,math,.92334658,,,
TIMSS 4th grade,science,.96485674,,,
LLECE 6th grade,math,.90384388,,.86728644,.56070709
LLECE 6th grade,science,.94213599,,.86888194,.58704674
PISA-D 15 years-old,math,.93854898,,.9359315,.81826109
PISA-D 15 years-old,science,.97394478,,.95782238,.86789417
PISA 15 years-old,math,.9489674,,.93901527,.85091311
PISA 15 years-old,science,.97826397,,.97076571,.89462024
BRAZIL 5th grade,math,,.96247345,.94291705,.72504085
BRAZIL 9th grade,math,,.93655533,.90722901,.6715849
