countrycode,year,uis_ceage_1,se_prm_durs
ABW,1990,,6
ABW,1991,,6
ABW,1992,,6
ABW,1993,,6
ABW,1994,,6
ABW,1995,,6
ABW,1996,,6
ABW,1997,,6
ABW,1998,,6
ABW,1999,,6
ABW,2000,,6
ABW,2001,,6
ABW,2002,,6
ABW,2003,,6
ABW,2004,,6
ABW,2005,,6
ABW,2006,,6
ABW,2007,,6
ABW,2008,,6
ABW,2009,,6
ABW,2010,,6
ABW,2011,4,6
ABW,2012,4,6
ABW,2013,4,6
ABW,2014,4,6
ABW,2015,4,6
ABW,2016,4,6
ABW,2017,4,6
ABW,2018,4,6
ABW,2019,4,6
ABW,2020,,6
ABW,2021,,6
ABW,2022,,6
ABW,2023,,
ABW,2024,,
ABW,2025,,
ABW,2026,,
ABW,2027,,
ABW,2028,,
ABW,2029,,
ABW,2030,,
ABW,2031,,
ABW,2032,,
ABW,2033,,
ABW,2034,,
ABW,2035,,
ABW,2036,,
ABW,2037,,
ABW,2038,,
ABW,2039,,
ABW,2040,,
ABW,2041,,
ABW,2042,,
ABW,2043,,
ABW,2044,,
ABW,2045,,
ABW,2046,,
ABW,2047,,
ABW,2048,,
ABW,2049,,
ABW,2050,,
ABW,2055,,
ABW,2060,,
ABW,2065,,
ABW,2070,,
ABW,2075,,
ABW,2080,,
ABW,2085,,
ABW,2090,,
ABW,2095,,
ABW,2100,,
AFG,1990,,6
AFG,1991,,6
AFG,1992,,6
AFG,1993,,6
AFG,1994,,6
AFG,1995,,6
AFG,1996,,6
AFG,1997,,6
AFG,1998,7,6
AFG,1999,7,6
AFG,2000,7,6
AFG,2001,7,6
AFG,2002,7,6
AFG,2003,7,6
AFG,2004,7,6
AFG,2005,7,6
AFG,2006,7,6
AFG,2007,7,6
AFG,2008,7,6
AFG,2009,7,6
AFG,2010,7,6
AFG,2011,7,6
AFG,2012,7,6
AFG,2013,7,6
AFG,2014,7,6
AFG,2015,7,6
AFG,2016,7,6
AFG,2017,7,6
AFG,2018,7,6
AFG,2019,7,6
AFG,2020,,6
AFG,2021,,6
AFG,2022,,6
AFG,2023,,
AFG,2024,,
AFG,2025,,
AFG,2026,,
AFG,2027,,
AFG,2028,,
AFG,2029,,
AFG,2030,,
AFG,2031,,
AFG,2032,,
AFG,2033,,
AFG,2034,,
AFG,2035,,
AFG,2036,,
AFG,2037,,
AFG,2038,,
AFG,2039,,
AFG,2040,,
AFG,2041,,
AFG,2042,,
AFG,2043,,
AFG,2044,,
AFG,2045,,
AFG,2046,,
AFG,2047,,
AFG,2048,,
AFG,2049,,
AFG,2050,,
AFG,2055,,
AFG,2060,,
AFG,2065,,
AFG,2070,,
AFG,2075,,
AFG,2080,,
AFG,2085,,
AFG,2090,,
AFG,2095,,
AFG,2100,,
AGO,1990,,4
AGO,1991,,4
AGO,1992,,4
AGO,1993,,4
AGO,1994,,4
AGO,1995,,4
AGO,1996,,4
AGO,1997,,4
AGO,1998,6,4
AGO,1999,6,4
AGO,2000,6,4
AGO,2001,6,4
AGO,2002,6,4
AGO,2003,6,4
AGO,2004,6,4
AGO,2005,6,4
AGO,2006,6,4
AGO,2007,6,6
AGO,2008,6,6
AGO,2009,6,6
AGO,2010,6,6
AGO,2011,6,6
AGO,2012,6,6
AGO,2013,6,6
AGO,2014,6,6
AGO,2015,6,6
AGO,2016,6,6
AGO,2017,6,6
AGO,2018,6,6
AGO,2019,6,6
AGO,2020,,6
AGO,2021,,6
AGO,2022,,6
AGO,2023,,
AGO,2024,,
AGO,2025,,
AGO,2026,,
AGO,2027,,
AGO,2028,,
AGO,2029,,
AGO,2030,,
AGO,2031,,
AGO,2032,,
AGO,2033,,
AGO,2034,,
AGO,2035,,
AGO,2036,,
AGO,2037,,
AGO,2038,,
AGO,2039,,
AGO,2040,,
AGO,2041,,
AGO,2042,,
AGO,2043,,
AGO,2044,,
AGO,2045,,
AGO,2046,,
AGO,2047,,
AGO,2048,,
AGO,2049,,
AGO,2050,,
AGO,2055,,
AGO,2060,,
AGO,2065,,
AGO,2070,,
AGO,2075,,
AGO,2080,,
AGO,2085,,
AGO,2090,,
AGO,2095,,
AGO,2100,,
AIA,1990,,
AIA,1991,,
AIA,1992,,
AIA,1993,,
AIA,1994,,
AIA,1995,,
AIA,1996,,
AIA,1997,,
AIA,1998,,
AIA,1999,,
AIA,2000,,
AIA,2001,,
AIA,2002,,
AIA,2003,,
AIA,2004,,
AIA,2005,,
AIA,2006,,
AIA,2007,,
AIA,2008,,
AIA,2009,,
AIA,2010,,
AIA,2011,,
AIA,2012,,
AIA,2013,,
AIA,2014,,
AIA,2015,,
AIA,2016,,
AIA,2017,,
AIA,2018,,
AIA,2019,,
AIA,2020,,
AIA,2021,,
AIA,2022,,
AIA,2023,,
AIA,2024,,
AIA,2025,,
AIA,2026,,
AIA,2027,,
AIA,2028,,
AIA,2029,,
AIA,2030,,
AIA,2031,,
AIA,2032,,
AIA,2033,,
AIA,2034,,
AIA,2035,,
AIA,2036,,
AIA,2037,,
AIA,2038,,
AIA,2039,,
AIA,2040,,
AIA,2041,,
AIA,2042,,
AIA,2043,,
AIA,2044,,
AIA,2045,,
AIA,2046,,
AIA,2047,,
AIA,2048,,
AIA,2049,,
AIA,2050,,
AIA,2055,,
AIA,2060,,
AIA,2065,,
AIA,2070,,
AIA,2075,,
AIA,2080,,
AIA,2085,,
AIA,2090,,
AIA,2095,,
AIA,2100,,
ALB,1990,,4
ALB,1991,,4
ALB,1992,,4
ALB,1993,,4
ALB,1994,,4
ALB,1995,,4
ALB,1996,,4
ALB,1997,,4
ALB,1998,6,4
ALB,1999,6,4
ALB,2000,6,4
ALB,2001,6,4
ALB,2002,6,4
ALB,2003,6,4
ALB,2004,6,4
ALB,2005,6,4
ALB,2006,6,4
ALB,2007,6,4
ALB,2008,6,4
ALB,2009,6,5
ALB,2010,6,5
ALB,2011,6,5
ALB,2012,6,5
ALB,2013,6,5
ALB,2014,6,5
ALB,2015,6,5
ALB,2016,6,5
ALB,2017,6,5
ALB,2018,6,5
ALB,2019,6,5
ALB,2020,,5
ALB,2021,,5
ALB,2022,,5
ALB,2023,,
ALB,2024,,
ALB,2025,,
ALB,2026,,
ALB,2027,,
ALB,2028,,
ALB,2029,,
ALB,2030,,
ALB,2031,,
ALB,2032,,
ALB,2033,,
ALB,2034,,
ALB,2035,,
ALB,2036,,
ALB,2037,,
ALB,2038,,
ALB,2039,,
ALB,2040,,
ALB,2041,,
ALB,2042,,
ALB,2043,,
ALB,2044,,
ALB,2045,,
ALB,2046,,
ALB,2047,,
ALB,2048,,
ALB,2049,,
ALB,2050,,
ALB,2055,,
ALB,2060,,
ALB,2065,,
ALB,2070,,
ALB,2075,,
ALB,2080,,
ALB,2085,,
ALB,2090,,
ALB,2095,,
ALB,2100,,
AND,1990,,5
AND,1991,,5
AND,1992,,5
AND,1993,,5
AND,1994,,5
AND,1995,,5
AND,1996,,5
AND,1997,,6
AND,1998,6,6
AND,1999,6,6
AND,2000,6,6
AND,2001,6,6
AND,2002,6,6
AND,2003,6,6
AND,2004,6,6
AND,2005,6,6
AND,2006,6,6
AND,2007,6,6
AND,2008,6,6
AND,2009,6,6
AND,2010,6,6
AND,2011,6,6
AND,2012,6,6
AND,2013,6,6
AND,2014,6,6
AND,2015,6,6
AND,2016,6,6
AND,2017,6,6
AND,2018,6,6
AND,2019,6,6
AND,2020,,6
AND,2021,,6
AND,2022,,6
AND,2023,,
AND,2024,,
AND,2025,,
AND,2026,,
AND,2027,,
AND,2028,,
AND,2029,,
AND,2030,,
AND,2031,,
AND,2032,,
AND,2033,,
AND,2034,,
AND,2035,,
AND,2036,,
AND,2037,,
AND,2038,,
AND,2039,,
AND,2040,,
AND,2041,,
AND,2042,,
AND,2043,,
AND,2044,,
AND,2045,,
AND,2046,,
AND,2047,,
AND,2048,,
AND,2049,,
AND,2050,,
AND,2055,,
AND,2060,,
AND,2065,,
AND,2070,,
AND,2075,,
AND,2080,,
AND,2085,,
AND,2090,,
AND,2095,,
AND,2100,,
ANT,1990,,
ANT,1991,,
ANT,1992,,
ANT,1993,,
ANT,1994,,
ANT,1995,,
ANT,1996,,
ANT,1997,,
ANT,1998,,
ANT,1999,5,
ANT,2000,5,
ANT,2001,5,
ANT,2002,5,
ANT,2003,5,
ANT,2004,5,
ANT,2005,5,
ANT,2006,5,
ANT,2007,4,
ANT,2008,4,
ANT,2009,4,
ANT,2010,5,
ANT,2011,5,
ANT,2012,5,
ANT,2013,5,
ANT,2014,5,
ANT,2015,5,
ANT,2016,5,
ANT,2017,5,
ANT,2018,5,
ANT,2019,,
ANT,2020,,
ANT,2021,,
ANT,2022,,
ANT,2023,,
ANT,2024,,
ANT,2025,,
ANT,2026,,
ANT,2027,,
ANT,2028,,
ANT,2029,,
ANT,2030,,
ANT,2031,,
ANT,2032,,
ANT,2033,,
ANT,2034,,
ANT,2035,,
ANT,2036,,
ANT,2037,,
ANT,2038,,
ANT,2039,,
ANT,2040,,
ANT,2041,,
ANT,2042,,
ANT,2043,,
ANT,2044,,
ANT,2045,,
ANT,2046,,
ANT,2047,,
ANT,2048,,
ANT,2049,,
ANT,2050,,
ANT,2055,,
ANT,2060,,
ANT,2065,,
ANT,2070,,
ANT,2075,,
ANT,2080,,
ANT,2085,,
ANT,2090,,
ANT,2095,,
ANT,2100,,
ARE,1990,,6
ARE,1991,,6
ARE,1992,,6
ARE,1993,,6
ARE,1994,,6
ARE,1995,,6
ARE,1996,,6
ARE,1997,,6
ARE,1998,,6
ARE,1999,6,6
ARE,2000,6,6
ARE,2001,6,6
ARE,2002,6,6
ARE,2003,6,5
ARE,2004,6,5
ARE,2005,6,5
ARE,2006,6,5
ARE,2007,6,5
ARE,2008,6,5
ARE,2009,6,5
ARE,2010,6,5
ARE,2011,6,5
ARE,2012,6,5
ARE,2013,6,5
ARE,2014,6,5
ARE,2015,6,5
ARE,2016,6,5
ARE,2017,6,5
ARE,2018,6,5
ARE,2019,6,5
ARE,2020,,4
ARE,2021,,4
ARE,2022,,4
ARE,2023,,
ARE,2024,,
ARE,2025,,
ARE,2026,,
ARE,2027,,
ARE,2028,,
ARE,2029,,
ARE,2030,,
ARE,2031,,
ARE,2032,,
ARE,2033,,
ARE,2034,,
ARE,2035,,
ARE,2036,,
ARE,2037,,
ARE,2038,,
ARE,2039,,
ARE,2040,,
ARE,2041,,
ARE,2042,,
