countrycode,region,incomelevel,year,uis_xunit_pppconst_1,uis_x_pppconst_1_fsg,se_prm_enrr,sp_prm_totl_in
ABW,LCN,HIC,1960,,,,
ABW,LCN,HIC,1961,,,,
ABW,LCN,HIC,1962,,,,
ABW,LCN,HIC,1963,,,,
ABW,LCN,HIC,1964,,,,
ABW,LCN,HIC,1965,,,,
ABW,LCN,HIC,1966,,,,
ABW,LCN,HIC,1967,,,,
ABW,LCN,HIC,1968,,,,
ABW,LCN,HIC,1969,,,,
ABW,LCN,HIC,1970,,,,9212
ABW,LCN,HIC,1971,,,,9192
ABW,LCN,HIC,1972,,,,9106
ABW,LCN,HIC,1973,,,,8913
ABW,LCN,HIC,1974,,,,8601
ABW,LCN,HIC,1975,,,,8161
ABW,LCN,HIC,1976,,,,7624
ABW,LCN,HIC,1977,,,,7281
ABW,LCN,HIC,1978,,,,6972
ABW,LCN,HIC,1979,,,,6682
ABW,LCN,HIC,1980,,,,6384
ABW,LCN,HIC,1981,,,,6044
ABW,LCN,HIC,1982,,,,5732
ABW,LCN,HIC,1983,,,,5512
ABW,LCN,HIC,1984,,,,5374
ABW,LCN,HIC,1985,,,,5313
ABW,LCN,HIC,1986,,,,5310
ABW,LCN,HIC,1987,,,,5453
ABW,LCN,HIC,1988,,,,5584
ABW,LCN,HIC,1989,,,,5724
ABW,LCN,HIC,1990,,,,5890
ABW,LCN,HIC,1991,,,,6075
ABW,LCN,HIC,1992,,,,6284
ABW,LCN,HIC,1993,,,,6574
ABW,LCN,HIC,1994,,,,6886
ABW,LCN,HIC,1995,,,,7156
ABW,LCN,HIC,1996,,,,7357
ABW,LCN,HIC,1997,,,,7616
ABW,LCN,HIC,1998,,37.591991,,7863
ABW,LCN,HIC,1999,4510.1167,41.024021,112.21318,8106
ABW,LCN,HIC,2000,5358.6714,49.637371,110.78818,8361
ABW,LCN,HIC,2001,4747.2104,44.794682,109.44096,8622
ABW,LCN,HIC,2002,5075.3672,49.941608,111.01083,8864
ABW,LCN,HIC,2003,,,109.2143,9062
ABW,LCN,HIC,2004,4449.1343,45.31443,110.83905,9189
ABW,LCN,HIC,2005,4756.5273,48.75441,111.37672,9203
ABW,LCN,HIC,2006,,,114.25115,9094
ABW,LCN,HIC,2007,,,115.21158,8980
ABW,LCN,HIC,2008,,,113.09161,8853
ABW,LCN,HIC,2009,,,113.80179,8738
ABW,LCN,HIC,2010,,,113.7943,8663
ABW,LCN,HIC,2011,,,105.25586,8657
ABW,LCN,HIC,2012,6177.9487,56.095119,104.08713,8539
ABW,LCN,HIC,2013,5867.1885,57.845409,116.0393,8448
ABW,LCN,HIC,2014,5612.0806,56.966862,117.10809,8382
ABW,LCN,HIC,2015,,55.411518,,8328
ABW,LCN,HIC,2016,,60.383469,,8256
ABW,LCN,HIC,2017,,,,8164
ABW,LCN,HIC,2018,,,,8003
ABW,LCN,HIC,2019,,,,7773
AFG,SAS,LIC,1960,,,,
AFG,SAS,LIC,1961,,,,
AFG,SAS,LIC,1962,,,,
AFG,SAS,LIC,1963,,,,
AFG,SAS,LIC,1964,,,,
AFG,SAS,LIC,1965,,,,
AFG,SAS,LIC,1966,,,,
AFG,SAS,LIC,1967,,,,
AFG,SAS,LIC,1968,,,,
AFG,SAS,LIC,1969,,,,
AFG,SAS,LIC,1970,,,31.17659,1734266
AFG,SAS,LIC,1971,,,32.00761,1789990
AFG,SAS,LIC,1972,,,32.26189,1852058
AFG,SAS,LIC,1973,,,32.584221,1916185
AFG,SAS,LIC,1974,,,33.108299,1975967
AFG,SAS,LIC,1975,,,34.1852,2025268
AFG,SAS,LIC,1976,,,35.232052,2071032
AFG,SAS,LIC,1977,,,36.111488,2116155
AFG,SAS,LIC,1978,,,37.63702,2153882
AFG,SAS,LIC,1979,,,,2175354
AFG,SAS,LIC,1980,,,44.133369,2174280
AFG,SAS,LIC,1981,,,47.7117,2147777
