countrycode,year,test,idgrade,subject,nonprof_all,se_nonprof_all,nonprof_ma,se_nonprof_ma,nonprof_fe,se_nonprof_fe,fgt1_all,fgt1_fe,fgt1_ma,fgt2_all,fgt2_fe,fgt2_ma
GEO,2007,TIMSS,4,science,41.13419,2.1309404,43.994606,2.3279946,37.896175,2.6196201,.15787637,.14986739,.16401824,.040535185,.037339512,.042983234
GEO,2011,PIRLS,4,read,13.514507,1.3965394,16.62833,1.8377519,10.119456,1.2017524,.10654946,.097586796,.11156309,.019286949,.0162195,.021001155
GEO,2011,TIMSS,4,math,27.561497,1.6763797,29.468065,2.1748691,25.482105,1.5623674,.15550636,.13873816,.168823,.040164277,.0323129,.046393011
GEO,2011,TIMSS,4,science,24.815351,1.629626,27.436054,2.0011513,21.957088,1.6807076,.15420984,.13961837,.16498822,.039725959,.032936465,.044742879
GEO,2015,TIMSS,4,math,22.444117,1.6044514,23.787224,1.9790554,21.022106,1.6370276,.14576541,.14035678,.15028934,.035826396,.033637952,.037658658
GEO,2015,TIMSS,4,science,25.956266,1.705677,27.183891,2.1140785,24.656523,1.820312,.15233631,.14592883,.15785265,.039988812,.036496151,.042977907
GEO,2016,PIRLS,4,read,13.523626,1.1186023,16.703939,1.5544558,10.262484,1.1079484,.12177207,.11641107,.12513974,.025609041,.023223279,.02707928
GRC,2001,PIRLS,4,read,5.4929552,.79732865,7.9868793,1.170063,2.9588342,.78165799,.097709097,.084463336,.10270094,.015844801,.01239346,.017143838
GTM,2006,LLECE,6,read,79.278381,1.2555716,78.503471,1.6055156,79.42202,1.3106089,.18080404,.1809203,.1800587,.047443058,.048492689,.046270967
GTM,2013,LLECE,6,read,63.624409,1.2237771,62.725727,1.6993407,64.502678,1.5770224,.13571273,.13313982,.13843732,.027225466,.026290804,.02820915
HKG,2001,PIRLS,4,read,3.3758163,.57945341,4.9082699,.75971305,1.9502997,.52472961,.084814467,.085694879,.084538862,.012535024,.012763349,.012442579
HKG,2003,TIMSS,4,math,.66483617,.16452169,.89374781,.25530091,.40778518,.19416614,.055820119,.062529348,.053060122,.0053776852,.0059170048,.0051689241
HKG,2003,TIMSS,4,science,1.7436624,.34731057,2.3034096,.54554147,1.1150837,.26708075,.070502996,.051096406,.078764051,.0088692866,.0054281726,.010306542
HKG,2006,PIRLS,4,read,.85384846,.20422356,1.239711,.32898948,.44769645,.18673775,.060124509,.049672097,.064088307,.0062018349,.0043012048,.006914184
HKG,2007,TIMSS,4,math,.35209656,.12221086,.56432486,.21239167,.12845993,.11419583,.058484703,.054517206,.059838414,.0057440195,.0051821568,.0059627034
HKG,2007,TIMSS,4,science,2.0100832,.44967598,2.5168836,.73908144,1.4760435,.38289437,.082116142,.074684262,.086050726,.011295803,.0089746695,.012529839
HKG,2011,PIRLS,4,read,.81492066,.23085384,1.1474907,.40415788,.42148232,.24261542,.060902968,.064717792,.058522735,.0061408659,.0077799791,.0053895209
HKG,2011,TIMSS,4,math,.78421235,.51869822,.99044442,.65486211,.54018497,.39097211,.099071339,.12033075,.089470044,.017031446,.023111572,.01427574
HKG,2011,TIMSS,4,science,4.4680176,1.1965348,4.9677191,1.2873528,3.8767278,1.2207974,.13824858,.1213324,.14953835,.036210287,.028631659,.041276641
HKG,2015,TIMSS,4,math,.22522211,.16069579,.15869737,.12874813,.30409694,.28263846,.039392762,.047192141,.029822767,.0024449811,.0030006834,.0017091299
HKG,2015,TIMSS,4,science,1.9124806,.37958372,1.7026484,.41940165,2.1612942,.59044009,.086725488,.086149454,.087944932,.014017047,.013997646,.014158856
HKG,2016,PIRLS,4,read,1.403904,.33834988,1.9835949,.51649725,.79624653,.42281413,.08747229,.066894442,.096327789,.013517578,.008129607,.015853178
HND,2011,PIRLS,6,read,26.488459,2.3071525,29.584616,2.6048069,23.556482,2.6182482,.12608218,.12627162,.12591895,.026002338,.026738629,.025354439
HND,2011,TIMSS,6,math,50.886734,2.4892027,48.291428,2.5380442,53.337173,2.9660141,.17360641,.17824669,.16821668,.046695508,.048968177,.044055551
HND,2011,TIMSS,6,science,34.583271,2.6925623,33.395542,2.9110322,35.704697,3.0184546,.14928539,.14831544,.15039599,.035899099,.036125086,.035643551
