countrycode,year,test,idgrade,subject,nonprof_all,se_nonprof_all,nonprof_ma,se_nonprof_ma,nonprof_fe,se_nonprof_fe,fgt1_all,fgt1_fe,fgt1_ma,fgt2_all,fgt2_fe,fgt2_ma
BHR,2015,TIMSS,4,science,27.540611,.90811568,34.597439,1.1267681,20.4247,1.3096881,.18612844,.15226483,.20594063,.056460079,.041041639,.065477371
BHR,2016,PIRLS,4,read,30.631668,.98524719,40.202724,1.5092248,21.005774,1.3251656,.17651618,.13220257,.1995486,.049848352,.029137664,.060612001
BLZ,2001,PIRLS,4,read,74.782043,1.7576765,78.244598,2.0710907,71.481773,2.1557472,.29921785,.28210923,.31561545,.12350644,.11192094,.13460973
BRA,2006,LLECE,6,read,50.068455,2.5418036,53.803219,2.5651712,46.076412,2.7900939,.1369978,.12692811,.14551672,.028228493,.024284313,.031600937
BRA,2013,LLECE,6,read,46.947468,2.1246393,48.479885,2.6009874,46.273785,2.718329,.11848766,.11155602,.12543209,.02156169,.019020665,.024172937
BWA,2000,SACMEQ,6,read,49.164425,1.4749095,56.657349,1.7596599,41.977085,1.6553879,.11577741,.098256916,.12931013,.019943373,.014847638,.023879286
BWA,2007,SACMEQ,6,read,43.381287,1.8001981,51.312801,2.1272695,35.522545,1.8076525,.12693746,.10937613,.13920732,.02438749,.018924145,.028204652
BWA,2011,PIRLS,6,read,44.298088,1.8335704,51.519245,2.2553372,37.47427,1.9268957,.15824291,.13816929,.1737061,.038171954,.029922837,.044525869
BWA,2011,TIMSS,6,math,40.451683,1.5643973,44.93045,1.9583348,36.23864,1.7187052,.17332965,.15874115,.18583889,.045789789,.039588831,.051103968
BWA,2011,TIMSS,6,science,56.856773,1.7763624,59.099503,2.1224904,54.747108,2.0927551,.31342021,.29318845,.33333942,.14298864,.1289385,.15682143
CAN,2001,PIRLS,4,read,3.0926406,.37246317,4.0687504,.59999943,2.0981908,.30955848,.073505968,.070175521,.075003915,.0096581681,.0087717734,.010063933
CAN,2011,PIRLS,4,read,2.249223,.24820776,2.6927412,.32694203,1.7935097,.31558815,.069490157,.06706991,.0713965,.008471936,.0077462643,.0090203425
CAN,2015,TIMSS,4,math,7.6147079,.8156932,7.0920048,.88968605,8.1537428,.89808011,.096261695,.093694285,.099152096,.016680345,.015978698,.017464513
CAN,2015,TIMSS,4,science,5.2902937,.73528934,5.8126631,.89109612,4.751605,.72419763,.098368764,.094997488,.10113583,.016630426,.015719086,.017377306
CAN,2016,PIRLS,4,read,4.2596102,.44186455,4.766655,.42275438,3.7394226,.69026643,.10227221,.10225271,.10238662,.018333051,.017532496,.018992916
CHL,2006,LLECE,6,read,38.378082,1.6942242,39.026855,1.7867807,36.865036,1.8799086,.11743622,.10917422,.12323646,.021394091,.01892223,.02323721
CHL,2011,TIMSS,4,math,22.530819,1.1781337,21.851391,1.5425469,23.185932,1.4111376,.11893192,.11633239,.12187314,.023134047,.022418059,.023963289
CHL,2011,TIMSS,4,science,15.499735,1.0757316,14.471835,1.2033263,16.490847,1.4112489,.11096439,.10822265,.11426821,.020310109,.019686859,.02105213
CHL,2013,LLECE,6,read,30.258625,1.3063232,33.001137,1.8549571,26.937771,1.4067798,.10762522,.10448512,.1112997,.019003356,.017806074,.020359611
CHL,2015,TIMSS,4,math,21.834099,1.5301539,22.742128,1.6907545,20.883167,1.7912123,.10331382,.10176653,.10471349,.017501961,.016996872,.017951028
CHL,2015,TIMSS,4,science,14.934683,1.169933,15.774846,1.6789583,14.054829,1.3638445,.098959409,.095977597,.10162353,.016044907,.015266391,.016746176
CHL,2016,PIRLS,4,read,12.797934,1.1272485,14.895308,1.313558,10.502249,1.4023873,.10398354,.099547766,.1070139,.018165296,.016342456,.019383788
CIV,2014,PASEC,6,read,77.626785,1.5555022,79.196213,1.7940787,75.768341,2.0104423,.19602422,.19802679,.19441532,.052249517,.053502031,.051240496
CMR,2014,PASEC,6,read,75.911171,1.850337,78.431297,2.0220363,72.914833,2.1565452,.20427157,.19610168,.21066204,.056998197,.053812999,.059488542
COG,2014,PASEC,6,read,82.860397,1.6526347,83.598534,1.9381231,82.115288,1.9923455,.20446008,.19782414,.21091963,.054342479,.051133849,.057465382
COL,2001,PIRLS,4,read,38.857155,2.2092042,41.438911,2.428839,36.324429,2.5581574,.14500111,.14324312,.14658988,.033781599,.032684084,.034767106
COL,2006,LLECE,6,read,51.808834,2.7835374,50.889313,3.1360667,52.607445,2.840189,.12556671,.12528971,.12573157,.024135754,.024118837,.024095576
COL,2007,TIMSS,4,math,69.067848,1.9607726,65.716522,2.1335354,72.475189,2.1219513,.22644863,.23224698,.22017565,.07538154,.078931816,.0715416
COL,2007,TIMSS,4,science,48.652565,2.4360614,46.902466,2.6799462,50.431911,2.5950515,.19932209,.20411061,.19429086,.062026422,.065069459,.058813334
COL,2011,PIRLS,4,read,27.671469,1.9101365,27.32144,2.3198891,28.03303,2.2799928,.12397204,.12132736,.12671974,.024360279,.023587082,.025167473
COL,2013,LLECE,6,read,44.726212,2.3301458,45.863224,2.5155795,43.220036,2.8386304,.11720332,.1121153,.12047871,.021099534,.019856369,.021844784
CRI,2006,LLECE,6,read,28.672039,1.4389473,28.781986,1.7038709,28.723234,1.6409693,.10339833,.098726787,.10236461,.01907203,.017400831,.018344197
CRI,2013,LLECE,6,read,31.704283,1.4710922,32.839745,1.9246956,30.255014,1.7878337,.10114531,.096795931,.10469101,.016157664,.014433882,.017621281
CUB,2006,LLECE,6,read,25.118423,1.7325429,27.900679,1.8781039,22.114069,1.7935988,.11597817,.1084071,.12151588,.02261976,.020419139,.024229361
CYP,2001,PIRLS,4,read,13.243156,1.090377,16.42359,1.7285188,9.8692417,1.0867338,.11465846,.10401925,.12095588,.022775881,.020226894,.024299743
CYP,2003,TIMSS,4,math,10.586166,.67498398,10.381079,.9444046,10.798759,1.0454682,.12053551,.11787715,.12335144,.024357831,.02406458,.024702288
CYP,2003,TIMSS,4,science,14.203816,.84376985,13.778448,.99025518,14.644754,1.1847069,.10664263,.10565249,.1076939,.020410739,.020548662,.020288227
CYP,2015,TIMSS,4,math,7.3704062,.56788665,7.6465845,.83370304,7.0849538,.60470319,.099585265,.095806137,.10302479,.017081222,.015938342,.018125921
CYP,2015,TIMSS,4,science,14.299422,.97925293,14.928842,1.2124311,13.648886,1.1900815,.11428249,.10997876,.11822926,.022563716,.021775939,.02331195
CZE,2001,PIRLS,4,read,2.7299762,.41122153,3.4188688,.58553869,2.0016611,.47992378,.06989029,.070401482,.069596715,.0086921463,.0093790237,.0083229765
CZE,2007,TIMSS,4,math,11.803579,1.0981083,11.774164,1.3874139,11.836231,1.3501325,.10097963,.097431317,.10440774,.017622076,.015468291,.019615946
CZE,2007,TIMSS,4,science,6.9840431,.8040784,7.0513129,.81939697,6.9093647,1.1016068,.097176664,.093447857,.10071226,.016571485,.014924721,.018085526
CZE,2011,PIRLS,4,read,1.7492115,.52261341,2.0508945,.65494835,1.433599,.513933,.066395126,.070655659,.064116128,.0078063528,.0089939432,.0071375035
CZE,2011,TIMSS,4,math,6.8130198,.77075428,6.6422224,1.1736082,6.99473,1.0172029,.093170732,.096648701,.090488978,.016291136,.016916191,.01598106
CZE,2011,TIMSS,4,science,3.4956813,.69423389,3.1730354,.70201933,3.8389504,.96562833,.0902576,.092986941,.087792039,.015425439,.016517553,.014407401
CZE,2015,TIMSS,4,math,3.9297938,.50348359,3.669703,.58743566,4.1967154,.63682699,.078775488,.087270588,.069303751,.010863241,.013056758,.0084255645
CZE,2015,TIMSS,4,science,3.5195827,.55463016,3.3158779,.56616122,3.7286401,.70636302,.082367264,.088562921,.075612344,.011829077,.013971563,.0095149549
CZE,2016,PIRLS,4,read,2.9605269,.50483227,3.8604975,.65036011,2.0282984,.48253885,.10151888,.095297962,.10482999,.018673943,.017681668,.019218698
DEU,2001,PIRLS,4,read,2.9658079,.37882036,3.3596516,.56419307,2.5685549,.44243276,.07448528,.071688645,.076795086,.010159798,.0091939233,.010891474
DEU,2006,PIRLS,4,read,2.5919139,.2625764,2.9349208,.51142031,2.234751,.34206986,.11468406,.103321,.12328701,.022090001,.01753748,.025397014
DEU,2007,TIMSS,4,math,4.0521383,.51094162,3.4668982,.59163702,4.6600876,.67551112,.10910191,.10108158,.1196509,.023538431,.019527318,.028764553
DEU,2007,TIMSS,4,science,5.810338,.6103791,5.2439156,.63834727,6.3987436,.85763633,.12492304,.11522529,.13651384,.029817715,.026822003,.033423796
DEU,2011,PIRLS,4,read,2.3894072,.34824276,2.7957559,.56306565,1.971364,.45972824,.073934644,.080780841,.069019966,.0096208351,.011281683,.008424487
DEU,2011,TIMSS,4,math,2.7480364,.57721359,2.4097562,.56267267,3.0964017,.82968211,.062988974,.06743747,.057418309,.0068002287,.0075338027,.0059073926
DEU,2011,TIMSS,4,science,4.2903662,.65727168,3.8845062,.69966996,4.7083259,.98896784,.083176352,.084414698,.081668772,.012056304,.012896918,.011063016
DEU,2015,TIMSS,4,math,3.6922097,.56661826,3.8428843,.60793751,3.5295963,.87308884,.069098629,.0639911,.073324598,.0087523675,.0074984287,.0097984234
