countrycode,countryname,region,region_iso2,regionname,adminregion,adminregion_iso2,adminregionname,incomelevel,incomelevel_iso2,incomelevelname,lendingtype,lendingtype_iso2,lendingtypename,cmu
SWZ,Eswatini,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,AFCS1
SXM,Sint Maarten (Dutch part),LCN,ZJ,Latin America and Caribbean,,,,HIC,XD,High income,LNX,XX,Not classified,LCC3C
SYC,Seychelles,SSF,ZG,Sub-Saharan Africa,,,,HIC,XD,High income,IBD,XF,IBRD,AFCS2
SYR,Syrian Arab Republic,MEA,ZQ,Middle East and North Africa,MNA,XQ,Middle East and North Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,MNC02
TCA,Turks and Caicos Islands,LCN,ZJ,Latin America and Caribbean,,,,HIC,XD,High income,LNX,XX,Not classified,
TCD,Chad,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCW3
TGO,Togo,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCF2
THA,Thailand,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,EACPF
TJK,Tajikistan,ECS,Z7,Europe and Central Asia,ECA,7E,Europe and Central Asia (excluding high income),LIC,XM,Low income,IDX,XI,IDA,ECCCA
TKM,Turkmenistan,ECS,Z7,Europe and Central Asia,ECA,7E,Europe and Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,
TLS,Timor-Leste,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,EACDF
TON,Tonga,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),UMC,XT,Upper middle income,IDX,XI,IDA,EACNF
TTO,Trinidad and Tobago,LCN,ZJ,Latin America and Caribbean,,,,HIC,XD,High income,IBD,XF,IBRD,LCC3C
TUN,Tunisia,MEA,ZQ,Middle East and North Africa,MNA,XQ,Middle East and North Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,MNC01
TUR,Turkey,ECS,Z7,Europe and Central Asia,ECA,7E,Europe and Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,ECCTR
TUV,Tuvalu,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),UMC,XT,Upper middle income,IDX,XI,IDA,EACNF
TZA,Tanzania,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCE1
UGA,Uganda,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCE2
UKR,Ukraine,ECS,Z7,Europe and Central Asia,ECA,7E,Europe and Central Asia (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,ECCEE
URY,Uruguay,LCN,ZJ,Latin America and Caribbean,,,,HIC,XD,High income,IBD,XF,IBRD,LCC7C
USA,United States,NAC,XU,North America,,,,HIC,XD,High income,LNX,XX,Not classified,
UZB,Uzbekistan,ECS,Z7,Europe and Central Asia,ECA,7E,Europe and Central Asia (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,ECCCA
VCT,St. Vincent and the Grenadines,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,IDB,XH,Blend,LCC3C
VEN,"Venezuela, RB",LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,LCC4C
VGB,British Virgin Islands,LCN,ZJ,Latin America and Caribbean,,,,HIC,XD,High income,LNX,XX,Not classified,
VIR,Virgin Islands (U.S.),LCN,ZJ,Latin America and Caribbean,,,,HIC,XD,High income,LNX,XX,Not classified,
VNM,Vietnam,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,EACVF
VUT,Vanuatu,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,EACNF
WSM,Samoa,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),UMC,XT,Upper middle income,IDX,XI,IDA,EACNF
XKX,Kosovo,ECS,Z7,Europe and Central Asia,ECA,7E,Europe and Central Asia (excluding high income),UMC,XT,Upper middle income,IDX,XI,IDA,ECCWB
YEM,"Yemen, Rep.",MEA,ZQ,Middle East and North Africa,MNA,XQ,Middle East and North Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,MNC03
ZAF,South Africa,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,AFCS1
ZMB,Zambia,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,AFCE1
ZWE,Zimbabwe,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,AFCE1
Country Code,Country Name,Region Code,Region Code (ISO 2 digits),Region Name,Administrative Region Code,Administrative Region Code (ISO 2 digits),Administrative Region Name,Income Level Code,Income Level Code (ISO 2 digits),Income Level Name,Lending Type Code,Lending Type Code (ISO 2 digits),Lending Type Name,WB Country Management Unit
