countrycode,countryname,region,region_iso2,regionname,adminregion,adminregion_iso2,adminregionname,incomelevel,incomelevel_iso2,incomelevelname,lendingtype,lendingtype_iso2,lendingtypename,cmu
BRA,Brazil,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,LCC5C
BRB,Barbados,LCN,ZJ,Latin America and Caribbean,,,,HIC,XD,High income,LNX,XX,Not classified,LCC3C
BRN,Brunei Darussalam,EAS,Z4,East Asia and Pacific,,,,HIC,XD,High income,LNX,XX,Not classified,EACPF
BTN,Bhutan,SAS,8S,South Asia,SAS,8S,South Asia (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,SACBB
BWA,Botswana,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,AFCS1
CAF,Central African Republic,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCC2
CAN,Canada,NAC,XU,North America,,,,HIC,XD,High income,LNX,XX,Not classified,
CHE,Switzerland,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
CHI,Channel Islands,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
CHL,Chile,LCN,ZJ,Latin America and Caribbean,,,,HIC,XD,High income,IBD,XF,IBRD,LCC6C
CHN,China,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,EACCF
CIV,Cote d'Ivoire,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,AFCF2
CMR,Cameroon,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,AFCC1
COD,"Congo, Dem. Rep.",SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCC2
COG,"Congo, Rep.",SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,AFCC2
COL,Colombia,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,LCC4C
COM,Comoros,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,AFCS2
CPV,Cabo Verde,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,AFCF1
CRI,Costa Rica,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,LCC2C
CUB,Cuba,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,LNX,XX,Not classified,
CUW,Curacao,LCN,ZJ,Latin America and Caribbean,,,,HIC,XD,High income,LNX,XX,Not classified,
CYM,Cayman Islands,LCN,ZJ,Latin America and Caribbean,,,,HIC,XD,High income,LNX,XX,Not classified,
CYP,Cyprus,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
CZE,Czech Republic,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,ECCEU
DEU,Germany,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
DJI,Djibouti,MEA,ZQ,Middle East and North Africa,MNA,XQ,Middle East and North Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,MNC03
DMA,Dominica,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,IDB,XH,Blend,LCC3C
DNK,Denmark,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
DOM,Dominican Republic,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,LCC3C
