countrycode,year,se_prm_tenr,se_prm_tenr_fe,se_prm_tenr_ma
ABW,1990,,,
ABW,1991,,,
ABW,1992,,,
ABW,1993,,,
ABW,1994,,,
ABW,1995,,,
ABW,1996,,,
ABW,1997,,,
ABW,1998,,,
ABW,1999,98.013817,98.724358,97.322304
ABW,2000,98.241837,97.992264,98.485924
ABW,2001,96.626648,96.86702,96.391792
ABW,2002,95.408386,94.721268,96.084137
ABW,2003,93.974838,92.792191,95.146057
ABW,2004,94.77636,93.10495,96.43943
ABW,2005,97.97892,96.73629,99.218582
ABW,2006,98.660202,97.841248,99.477348
ABW,2007,98.915787,98.256332,99.567657
ABW,2008,99.103333,98.734932,99.464882
ABW,2009,96.017403,97.821053,94.258591
ABW,2010,98.919746,,
ABW,2011,,,
ABW,2012,,,
ABW,2013,,,
ABW,2014,99.291992,99.396301,99.191917
ABW,2015,,,
ABW,2016,,,
ABW,2017,,,
ABW,2018,,,
AFG,1990,,,
AFG,1991,,,
AFG,1992,,,
AFG,1993,28.171209,14.38843,40.90593
AFG,1994,,,
AFG,1995,,,
AFG,1996,,,
AFG,1997,,,
AFG,1998,,,
AFG,1999,,,
AFG,2000,,,
AFG,2001,,,
AFG,2002,,,
AFG,2003,,,
AFG,2004,,,
AFG,2005,,,
AFG,2006,,,
AFG,2007,,,
AFG,2008,,,
AFG,2009,,,
AFG,2010,,,
AFG,2011,,,
AFG,2012,,,
AFG,2013,,,
AFG,2014,,,
AFG,2015,,,
AFG,2016,,,
AFG,2017,,,
AFG,2018,,,
AGO,1990,,,
AGO,1991,,,
AGO,1992,,,
AGO,1993,,,
AGO,1994,,,
AGO,1995,,,
AGO,1996,,,
AGO,1997,,,
AGO,1998,45.048538,41.30159,48.91116
AGO,1999,,,
AGO,2000,,,
AGO,2001,,,
AGO,2002,,,
AGO,2003,,,
AGO,2004,,,
AGO,2005,,,
AGO,2006,,,
AGO,2007,,,
AGO,2008,74.893661,69.387787,80.552887
AGO,2009,74.148811,68.311302,80.142479
AGO,2010,75.281837,67.712029,83.048653
AGO,2011,77.450577,66.387497,88.78511
AGO,2012,,,
AGO,2013,,,
AGO,2014,,,
AGO,2015,,,
AGO,2016,,,
AGO,2017,,,
AGO,2018,,,
ALB,1990,,,
ALB,1991,,,
ALB,1992,,,
ALB,1993,,,
ALB,1994,,,
ALB,1995,,,
ALB,1996,,,
ALB,1997,,,
ALB,1998,,,
ALB,1999,97.282028,95.90654,98.598099
ALB,2000,95.859749,95.17524,96.509048
ALB,2001,94.326988,94.160912,94.483948
ALB,2002,,,
ALB,2003,92.118828,91.824829,92.393478
ALB,2004,91.317879,91.580208,91.072868
ALB,2005,,,
ALB,2006,,,
ALB,2007,,,
ALB,2008,87.151161,86.959778,87.329323
ALB,2009,85.709587,85.243683,86.142242
ALB,2010,86.273308,86.046707,86.482536
ALB,2011,87.18679,87.033752,87.32692
ALB,2012,90.465103,90.038544,90.855728
ALB,2013,94.36618,93.925789,94.768913
ALB,2014,96.159302,95.927094,96.371513
ALB,2015,95.596611,94.856621,96.274002
ALB,2016,95.658546,95.068932,96.200089
ALB,2017,97.061752,96.453148,97.619583
ALB,2018,,,
AND,1990,,,
AND,1991,,,
AND,1992,,,
AND,1993,,,
AND,1994,,,
AND,1995,,,
AND,1996,,,
AND,1997,,,
AND,1998,,,
AND,1999,,,
AND,2000,,,
AND,2001,,,
AND,2002,,,
AND,2003,,,
AND,2004,,,
AND,2005,,,
AND,2006,,,
AND,2007,,,
AND,2008,,,
AND,2009,,,
AND,2010,,,
AND,2011,,,
AND,2012,,,
AND,2013,,,
AND,2014,,,
AND,2015,,,
AND,2016,,,
AND,2017,,,
AND,2018,,,
ARE,1990,95.561852,93.763641,97.32402
ARE,1991,96.168167,94.611702,97.672546
ARE,1992,92.803131,90.778122,94.733688
ARE,1993,89.321381,89.039871,89.586937
ARE,1994,87.358398,87.49572,87.229652
ARE,1995,87.859482,87.786179,87.928177
ARE,1996,85.09288,85.135811,85.052528
ARE,1997,81.59346,81.622101,81.56646
