countrycode,year,se_prm_tenr,se_prm_tenr_fe,se_prm_tenr_ma
ARE,1998,82.274559,82.681129,81.89296
ARE,1999,,,
ARE,2000,,,
ARE,2001,,,
ARE,2002,,,
ARE,2003,,,
ARE,2004,,,
ARE,2005,,,
ARE,2006,,,
ARE,2007,93.6493,93.780121,93.526031
ARE,2008,,,
ARE,2009,,,
ARE,2010,,,
ARE,2011,,,
ARE,2012,94.646057,95.491669,93.85331
ARE,2013,94.11702,95.596367,92.743698
ARE,2014,95.260841,96.392014,94.206833
ARE,2015,95.970901,96.682762,95.297997
ARE,2016,97.17865,96.351181,97.973412
ARE,2017,,,
ARE,2018,,,
ARG,1990,,,
ARG,1991,96.254837,96.335564,96.176201
ARG,1992,,,
ARG,1993,,,
ARG,1994,,,
ARG,1995,,,
ARG,1996,,,
ARG,1997,100,,
ARG,1998,99.938187,,
ARG,1999,99.751923,99.79026,99.714737
ARG,2000,99.54847,,
ARG,2001,,,
ARG,2002,,,
ARG,2003,99.543854,99.316238,99.764008
ARG,2004,99.197327,98.59771,99.77726
ARG,2005,99.345833,98.885139,99.79142
ARG,2006,99.47065,99.141548,99.789017
ARG,2007,99.575981,99.362328,99.782654
ARG,2008,99.439102,99.160721,99.708313
ARG,2009,99.435318,99.138741,99.722008
ARG,2010,99.066162,98.372414,99.736488
ARG,2011,99.143021,98.481117,99.782654
ARG,2012,99.186996,98.510513,99.84079
ARG,2013,99.355392,98.838997,99.8545
ARG,2014,99.674469,99.470482,99.871643
ARG,2015,99.734299,99.569283,99.893784
ARG,2016,99.341522,98.769287,99.894569
ARG,2017,,,
ARG,2018,,,
ARM,1990,,,
ARM,1991,,,
ARM,1992,,,
ARM,1993,,,
ARM,1994,,,
ARM,1995,,,
ARM,1996,,,
ARM,1997,,,
ARM,1998,,,
ARM,1999,,,
ARM,2000,,,
ARM,2001,,,
ARM,2002,87.132271,87.730293,86.565376
ARM,2003,85.531548,85.778107,85.299103
ARM,2004,,,
ARM,2005,88.613327,89.697922,87.622581
ARM,2006,92.217651,93.351959,91.203468
ARM,2007,97.076981,98.391953,95.926117
ARM,2008,,,
ARM,2009,,,
ARM,2010,,,
ARM,2011,95.153862,95.761673,94.63208
ARM,2012,96.42691,96.890182,96.02684
ARM,2013,96.546867,96.892227,96.247322
ARM,2014,93.981239,94.321198,93.685791
ARM,2015,92.809334,93.396851,92.298264
ARM,2016,92.327591,92.592644,92.096558
ARM,2017,92.397636,92.348106,92.440941
ARM,2018,,,
ASM,1990,,,
ASM,1991,,,
ASM,1992,,,
ASM,1993,,,
ASM,1994,,,
ASM,1995,,,
ASM,1996,,,
ASM,1997,,,
ASM,1998,,,
ASM,1999,,,
ASM,2000,,,
ASM,2001,,,
ASM,2002,,,
ASM,2003,,,
ASM,2004,,,
ASM,2005,,,
ASM,2006,,,
ASM,2007,,,
ASM,2008,,,
ASM,2009,,,
ASM,2010,,,
ASM,2011,,,
ASM,2012,,,
ASM,2013,,,
ASM,2014,,,
ASM,2015,,,
ASM,2016,,,
ASM,2017,,,
ASM,2018,,,
ATG,1990,,,
ATG,1991,,,
ATG,1992,,,
ATG,1993,,,
ATG,1994,,,
ATG,1995,,,
ATG,1996,,,
ATG,1997,,,
ATG,1998,,,
ATG,1999,,,
ATG,2000,,,
ATG,2001,,,
ATG,2002,,,
ATG,2003,,,
ATG,2004,,,
ATG,2005,,,
ATG,2006,,,
ATG,2007,84.359207,83.976608,84.735458
ATG,2008,84.916763,84.848991,84.982819
ATG,2009,84.172478,82.80619,85.505577
ATG,2010,81.373779,78.222,84.467628
ATG,2011,79.493011,77.751442,81.216492
ATG,2012,77.922081,77.356239,78.485519
ATG,2013,,,
ATG,2014,77.562111,76.668388,78.456757
ATG,2015,81.472794,81.165222,81.780251
ATG,2016,,,
ATG,2017,82.472679,82.624046,82.321899
ATG,2018,,,
AUS,1990,97.506721,97.809578,97.219566
AUS,1991,96.922081,97.217651,96.641487
AUS,1992,96.692108,96.985863,96.412888
AUS,1993,96.281998,96.551659,96.025414
AUS,1994,95.985924,96.269096,95.71637
AUS,1995,94.564621,94.83876,94.30381
AUS,1996,94.987343,95.37764,94.617058
AUS,1997,94.599831,95.160667,94.070183
AUS,1998,94.562721,95.48053,93.700974
AUS,1999,94.229607,95.452698,93.088608
AUS,2000,94.195053,95.67675,92.821709
AUS,2001,93.995102,95.591469,92.518204
AUS,2002,94.068329,95.627419,92.626259
AUS,2003,94.761574,96.28717,93.348808
AUS,2004,95.143539,96.563042,93.825912
AUS,2005,95.626938,96.908859,94.43338
AUS,2006,95.80677,96.95121,94.737289
AUS,2007,96.57579,97.553162,95.659492
AUS,2008,96.695557,97.595581,95.849182
AUS,2009,96.822777,97.513809,96.170769
AUS,2010,97.10527,97.629608,96.608749
AUS,2011,97.765762,98.186317,97.366997
AUS,2012,97.655258,98.018463,97.310883
AUS,2013,97.49263,97.8302,97.172783
AUS,2014,97.145683,97.527252,96.784523
AUS,2015,97.120102,97.553207,96.710541
AUS,2016,96.782997,97.182442,96.404556
AUS,2017,96.796333,97.165001,96.446602
AUS,2018,,,
AUT,1990,,,
AUT,1991,,,
AUT,1992,,,
AUT,1993,,,
AUT,1994,,,
AUT,1995,,,
AUT,1996,,,
AUT,1997,,,
AUT,1998,,,
AUT,1999,,,
AUT,2000,,,
AUT,2001,,,
AUT,2002,,,
AUT,2003,,,
AUT,2004,,,
AUT,2005,,,
AUT,2006,,,
AUT,2007,,,
AUT,2008,,,
AUT,2009,,,
AUT,2010,,,
AUT,2011,,,
AUT,2012,,,
AUT,2013,,,
AUT,2014,,,
AUT,2015,,,
AUT,2016,,,
AUT,2017,,,
AUT,2018,,,
AZE,1990,,,
AZE,1991,96.171417,94.780838,97.502502
AZE,1992,96.149384,95.446739,96.822502
AZE,1993,91.320053,93.769379,88.973541
AZE,1994,83.264954,81.448868,85.00676
AZE,1995,84.663017,90.409767,79.140572
AZE,1996,93.508362,97.36618,89.797081
AZE,1997,90.126938,89.18087,91.03595
AZE,1998,88.726013,87.86644,89.550362
AZE,1999,92.141098,92.181374,92.102928
AZE,2000,88.239616,88.010437,88.462959
AZE,2001,85.463402,84.798759,86.091682
AZE,2002,84.910339,83.882507,85.888199
AZE,2003,83.346298,80.869881,85.744461
AZE,2004,84.283257,82.681824,85.806511
AZE,2005,83.953537,81.515846,86.304153
AZE,2006,83.772011,80.846764,86.558609
AZE,2007,83.458412,83.126869,83.756073
AZE,2008,83.987511,83.640213,84.295464
AZE,2009,85.518898,84.699287,86.239212
AZE,2010,84.726051,84.093971,85.279961
AZE,2011,87.268082,85.965431,88.405739
AZE,2012,89.290031,88.106812,90.325256
AZE,2013,93.670677,91.826538,95.285332
AZE,2014,94.812103,93.942932,95.572563
AZE,2015,94.262749,92.962929,95.396111
AZE,2016,94.965286,94.029243,95.775261
AZE,2017,94.054459,94.977829,93.259972
AZE,2018,,,
BDI,1990,,,
BDI,1991,,,
BDI,1992,,,
BDI,1993,50.194771,46.061932,54.348591
BDI,1994,,,
BDI,1995,,,
BDI,1996,,,
BDI,1997,,,
BDI,1998,,,
BDI,1999,,,
BDI,2000,42.301682,38.24498,46.40736
BDI,2001,51.234268,46.12878,56.413231
BDI,2002,50.581242,45.09827,56.157162
BDI,2003,54.11079,48.929081,59.389759
BDI,2004,55.727589,52.127918,59.399551
BDI,2005,58.911461,55.556171,62.336899
BDI,2006,75.699387,73.651642,77.790779
BDI,2007,82.756813,80.950378,84.60173
BDI,2008,93.35183,91.855171,94.880402
BDI,2009,91.646469,91.325317,91.97448
BDI,2010,97.013519,96.959396,97.06881
BDI,2011,,,
BDI,2012,,,
BDI,2013,,,
BDI,2014,,,
BDI,2015,,,
BDI,2016,,,
BDI,2017,97.31768,98.268288,96.360168
BDI,2018,,,
BEL,1990,,,
BEL,1991,96.53405,97.928383,95.216743
BEL,1992,95.093979,96.349716,93.907051
BEL,1993,97.666367,97.974152,97.375282
BEL,1994,97.041672,97.273819,96.821983
BEL,1995,97.078278,97.218658,96.945351
BEL,1996,97.539703,97.663429,97.422417
BEL,1997,,,
BEL,1998,,,
BEL,1999,99.13221,99.2267,99.042343
BEL,2000,99.191994,99.36219,99.029907
BEL,2001,99.181198,99.309471,99.058922
BEL,2002,98.945328,99.07209,98.82431
BEL,2003,97.966972,98.031342,97.905441
BEL,2004,96.359177,96.613693,96.115639
BEL,2005,95.990921,96.212097,95.779037
BEL,2006,96.307602,96.425888,96.194138
BEL,2007,97.244598,97.46183,97.036102
BEL,2008,97.84037,98.060493,97.629089
BEL,2009,97.771111,97.946411,97.602982
BEL,2010,97.526703,97.73288,97.329224
BEL,2011,97.651398,97.868782,97.44352
BEL,2012,97.995407,98.13269,97.864182
BEL,2013,98.033501,98.164253,97.908447
BEL,2014,97.97332,97.987381,97.959862
BEL,2015,98.380753,98.338966,98.420753
BEL,2016,98.662193,98.62326,98.699448
BEL,2017,,,
BEL,2018,,,
BEN,1990,39.506069,27.083349,51.82703
BEN,1991,,,
BEN,1992,49.212978,32.998039,65.245773
BEN,1993,53.213551,36.29644,69.913269
BEN,1994,54.480412,38.667809,70.064034
BEN,1995,56.891899,41.25013,72.284538
BEN,1996,59.11845,43.909069,74.06768
BEN,1997,62.478859,47.593391,77.093781
BEN,1998,,,
BEN,1999,,,
BEN,2000,,,
BEN,2001,,,
BEN,2002,,,
BEN,2003,84.530663,,
BEN,2004,87.648888,,
BEN,2005,83.65506,,
BEN,2006,86.814491,78.425522,94.993813
BEN,2007,,,
BEN,2008,90.135696,83.581322,96.517838
BEN,2009,94.232101,,
BEN,2010,94.922783,,
BEN,2011,94.809097,89.616562,99.862617
BEN,2012,95.506149,,
BEN,2013,,,
BEN,2014,96.360367,,
BEN,2015,,,
BEN,2016,,,
BEN,2017,97.033661,,
BEN,2018,,,
BFA,1990,,,
BFA,1991,27.18227,21.366739,32.82164
BFA,1992,27.70352,21.834101,33.396271
BFA,1993,28.687059,22.70059,34.492538
BFA,1994,29.913031,23.67345,35.96207
BFA,1995,31.535151,24.942419,37.924648
BFA,1996,,,
BFA,1997,,,
BFA,1998,34.980339,28.29705,41.462639
BFA,1999,35.514568,29.024731,41.810471
BFA,2000,36.7463,30.368259,42.933979
BFA,2001,37.771858,31.553699,43.803909
BFA,2002,36.72142,31.05662,42.218201
BFA,2003,39.04855,33.403679,44.525162
BFA,2004,41.148918,35.847481,46.289982
BFA,2005,45.972858,40.674301,51.108028
BFA,2006,49.623428,44.519131,54.56736
BFA,2007,54.953609,49.943699,59.804958
BFA,2008,61.00304,56.461571,65.397652
BFA,2009,63.89452,59.933971,67.723167
BFA,2010,60.210079,57.687599,62.645512
BFA,2011,64.89106,62.77919,66.92852
BFA,2012,66.074188,64.395279,67.693047
BFA,2013,66.972214,65.704437,68.194283
BFA,2014,68.303932,67.006409,69.554771
BFA,2015,69.960083,68.751381,71.125801
BFA,2016,75.852928,74.752632,76.914833
BFA,2017,77.004929,76.073677,77.90419
BFA,2018,,,
BGD,1990,72.324211,66.497299,77.930717
BGD,1991,,,
BGD,1992,,,
BGD,1993,,,
BGD,1994,,,
BGD,1995,,,
BGD,1996,,,
BGD,1997,,,
BGD,1998,,,
BGD,1999,,,
BGD,2000,,,
BGD,2001,,,
BGD,2002,,,
BGD,2003,,,
BGD,2004,,,
BGD,2005,95.189133,97.934059,92.553146
BGD,2006,95.644958,98.9133,92.508308
BGD,2007,,,
BGD,2008,92.580872,93.806053,91.404381
BGD,2009,93.499741,97.553337,89.606781
BGD,2010,94.932053,99.983231,90.083321
BGD,2011,,,
BGD,2012,,,
BGD,2013,,,
BGD,2014,,,
BGD,2015,,,
BGD,2016,,,
BGD,2017,95.149223,98.281059,92.148102
BGD,2018,,,
BGR,1990,,,
BGR,1991,,,
BGR,1992,,,
BGR,1993,,,
BGR,1994,,,
BGR,1995,,,
BGR,1996,93.943916,92.723267,95.104362
BGR,1997,95.011551,94.196312,95.788971
BGR,1998,97.467018,96.005363,98.863472
BGR,1999,97.585312,96.734512,98.398148
BGR,2000,97.091537,96.278229,97.866898
BGR,2001,97.106651,96.316238,97.857468
BGR,2002,96.027748,95.737373,96.30291
BGR,2003,96.271523,96.19986,96.339317
BGR,2004,96.933922,96.910881,96.955704
BGR,2005,95.739883,95.719437,95.759209
BGR,2006,96.696281,96.4627,96.917389
BGR,2007,99.52626,99.310966,99.730148
BGR,2008,99.67028,99.767982,99.577797
BGR,2009,99.310432,99.728577,98.915108
BGR,2010,99.520157,99.735939,99.316467
BGR,2011,99.510437,99.744308,99.289886
BGR,2012,97.768791,97.839439,97.702217
BGR,2013,96.383339,96.394051,96.373238
BGR,2014,95.835838,96.030434,95.652298
BGR,2015,94.792267,94.724907,94.855881
BGR,2016,93.15892,92.960632,93.346443
BGR,2017,,,
BGR,2018,,,
BHR,1990,,,
BHR,1991,99.412758,,
BHR,1992,97.008476,97.961227,96.114532
BHR,1993,98.02282,98.806259,97.286652
BHR,1994,97.932281,99.015808,96.909653
BHR,1995,99.109581,99.9328,98.326653
BHR,1996,99.858002,,
BHR,1997,99.603378,,
BHR,1998,99.943649,,
BHR,1999,99.531319,99.821861,99.253128
BHR,2000,97.888657,99.814453,96.074303
BHR,2001,94.855087,97.594414,92.335777
BHR,2002,94.42836,96.472588,92.534241
BHR,2003,93.386391,95.796829,91.149033
BHR,2004,92.87957,95.105469,90.821053
BHR,2005,90.197701,92.291801,88.27729
BHR,2006,91.892632,94.961693,89.112801
BHR,2007,,,
BHR,2008,,,
BHR,2009,,,
BHR,2010,,,
BHR,2011,91.899658,92.988724,90.872162
BHR,2012,92.740807,93.572311,91.955208
BHR,2013,93.738312,94.311401,93.194229
BHR,2014,95.723862,96.320679,95.153687
BHR,2015,97.995438,98.476357,97.53466
BHR,2016,97.900261,98.75164,97.088799
BHR,2017,98.862007,98.727173,98.993393
BHR,2018,,,
BHS,1990,,,
BHS,1991,,,
BHS,1992,88.536011,88.84671,88.23497
BHS,1993,88.876701,89.777603,88.004433
BHS,1994,92.610878,,
BHS,1995,,,
BHS,1996,,,
BHS,1997,,,
BHS,1998,,,
BHS,1999,91.286636,90.554138,92.00705
BHS,2000,,,
BHS,2001,,,
BHS,2002,,,
BHS,2003,,,
BHS,2004,94.394592,95.073196,93.729347
BHS,2005,98.582748,99.642281,97.547478
BHS,2006,97.129822,98.387192,95.90567
BHS,2007,98.660828,,
BHS,2008,98.607712,99.637878,97.609703
BHS,2009,96.194107,98.960098,93.520264
BHS,2010,97.799301,,
BHS,2011,,,
BHS,2012,,,
BHS,2013,,,
BHS,2014,,,
BHS,2015,,,
BHS,2016,88.367752,91.717598,85.167839
BHS,2017,,,
BHS,2018,,,
BIH,1990,,,
BIH,1991,,,
BIH,1992,,,
BIH,1993,,,
BIH,1994,,,
BIH,1995,,,
BIH,1996,,,
BIH,1997,,,
BIH,1998,,,
BIH,1999,,,
BIH,2000,,,
BIH,2001,,,
BIH,2002,,,
BIH,2003,,,
BIH,2004,,,
BIH,2005,,,
BIH,2006,,,
BIH,2007,,,
BIH,2008,,,
BIH,2009,,,
BIH,2010,,,
BIH,2011,,,
BIH,2012,,,
BIH,2013,,,
BIH,2014,,,
BIH,2015,,,
BIH,2016,,,
BIH,2017,,,
BIH,2018,,,
BLR,1990,,,
BLR,1991,,,
BLR,1992,,,
BLR,1993,,,
BLR,1994,,,
BLR,1995,87.580994,85.713303,89.378983
BLR,1996,,,
BLR,1997,,,
BLR,1998,,,
BLR,1999,,,
BLR,2000,,,
BLR,2001,96.540138,,
BLR,2002,93.533943,,
BLR,2003,93.660851,,
BLR,2004,92.136032,,
BLR,2005,90.161697,,
BLR,2006,90.17469,,
BLR,2007,90.030098,,
BLR,2008,,,
BLR,2009,91.944054,91.631859,92.239929
BLR,2010,91.393219,91.30191,91.479759
BLR,2011,91.017563,90.970299,91.062332
BLR,2012,94.278847,94.314323,94.245216
BLR,2013,93.202599,94.090431,92.361214
BLR,2014,93.420418,93.580879,93.268509
BLR,2015,94.636063,95.514427,93.805687
BLR,2016,96.425552,96.551758,96.306389
BLR,2017,96.0131,95.825462,96.190102
BLR,2018,,,
BLZ,1990,,,
BLZ,1991,,,
BLZ,1992,,,
BLZ,1993,,,
BLZ,1994,,,
BLZ,1995,,,
BLZ,1996,,,
BLZ,1997,,,
BLZ,1998,,,
BLZ,1999,99.194351,98.899841,99.482719
BLZ,2000,96.333389,95.849228,96.807907
BLZ,2001,93.528427,93.343033,93.71032
BLZ,2002,,,
BLZ,2003,93.867653,94.636139,93.114388
BLZ,2004,95.472351,96.178368,94.780312
BLZ,2005,95.072166,95.107063,95.037956
BLZ,2006,95.715553,96.102219,95.33622
BLZ,2007,95.301018,95.921692,94.691109
BLZ,2008,96.285408,96.08432,96.483398
BLZ,2009,97.133102,96.93811,97.325432
BLZ,2010,98.014107,98.14106,97.888786
BLZ,2011,97.676552,97.052017,98.292549
BLZ,2012,99.566811,99.807449,99.330063
BLZ,2013,98.887627,98.652489,99.118111
BLZ,2014,99.151779,98.494957,99.792442
BLZ,2015,99.219421,98.735748,99.688751
BLZ,2016,99.176239,98.60778,99.725571
BLZ,2017,99.273804,98.892982,99.640831
BLZ,2018,,,
BMU,1990,,,
BMU,1991,,,
BMU,1992,,,
BMU,1993,,,
BMU,1994,,,
BMU,1995,,,
BMU,1996,,,
BMU,1997,,,
BMU,1998,,,
BMU,1999,,,
BMU,2000,,,
BMU,2001,,,
BMU,2002,,,
BMU,2003,,,
BMU,2004,,,
BMU,2005,97.58036,,
BMU,2006,,,
BMU,2007,,,
BMU,2008,,,
BMU,2009,,,
BMU,2010,,,
BMU,2011,87.910728,88.356453,87.479668
BMU,2012,83.45787,81.50338,85.346939
BMU,2013,,,
BMU,2014,,,
BMU,2015,,,
BMU,2016,,,
BMU,2017,,,
BMU,2018,,,
BOL,1990,,,
BOL,1991,,,
BOL,1992,,,
BOL,1993,,,
BOL,1994,,,
BOL,1995,,,
BOL,1996,,,
BOL,1997,,,
BOL,1998,95.268982,94.471642,96.046883
BOL,1999,95.422913,94.798149,96.031982
BOL,2000,96.088959,95.646309,96.520309
BOL,2001,96.332153,96.073486,96.583977
BOL,2002,96.570869,96.311142,96.823502
BOL,2003,97.083572,97.037338,97.128502
BOL,2004,96.923943,97.082642,96.769814
BOL,2005,96.966469,97.041786,96.893349
BOL,2006,96.94355,97.0121,96.877052
BOL,2007,96.673752,96.692131,96.655922
BOL,2008,94.9655,94.852318,95.07515
BOL,2009,97.976112,97.761177,98.184219
BOL,2010,95.550591,95.37001,95.72538
BOL,2011,93.279602,93.138268,93.416328
BOL,2012,89.874229,89.567574,90.170753
BOL,2013,89.463203,88.84539,90.060257
BOL,2014,89.254646,88.550491,89.93486
BOL,2015,89.885811,89.197441,90.550583
BOL,2016,90.879951,90.346283,91.395103
BOL,2017,92.501068,91.975632,93.008057
BOL,2018,,,
BRA,1990,,,
BRA,1991,,,
BRA,1992,,,
BRA,1993,,,
BRA,1994,,,
BRA,1995,,,
BRA,1996,,,
BRA,1997,,,
BRA,1998,,,
BRA,1999,98.072723,,
BRA,2000,,,
BRA,2001,98.854927,,
BRA,2002,96.727409,,
BRA,2003,94.295059,,
BRA,2004,95.585312,93.513977,97.569519
BRA,2005,96.079933,97.259842,94.941628
BRA,2006,,,
BRA,2007,92.474113,93.705711,91.316261
BRA,2008,98.538307,97.900703,99.14933
BRA,2009,96.585083,97.533012,95.6996
BRA,2010,,,
BRA,2011,95.697182,95.402107,95.98259
BRA,2012,98.549927,99.274818,97.86306
BRA,2013,97.323891,97.844788,96.827179
BRA,2014,97.436203,97.61097,97.268402
BRA,2015,96.85231,97.042053,96.670311
BRA,2016,97.202019,98.092979,96.360184
BRA,2017,,,
BRA,2018,,,
BRB,1990,97.60318,96.656342,98.521271
BRB,1991,,,
BRB,1992,89.733673,89.235489,90.218758
BRB,1993,,,
BRB,1994,,,
BRB,1995,,,
BRB,1996,,,
BRB,1997,,,
BRB,1998,,,
BRB,1999,97.190598,96.93148,97.44297
BRB,2000,95.558296,95.577209,95.539848
BRB,2001,94.615196,94.508957,94.718941
BRB,2002,91.93795,91.810959,92.062187
BRB,2003,91.696693,91.408241,91.97879
BRB,2004,90.497658,89.831238,91.148293
BRB,2005,90.281738,90.246246,90.316261
BRB,2006,92.078209,91.881561,92.268623
BRB,2007,94.813278,95.67485,93.982491
BRB,2008,96.814499,97.07798,96.5616
BRB,2009,93.837372,94.65773,93.053627
BRB,2010,95.080521,95.864929,94.334763
BRB,2011,93.616371,94.039383,93.215874
BRB,2012,,,
BRB,2013,,,
BRB,2014,91.490868,92.474289,90.560997
BRB,2015,92.526688,93.451622,91.650787
BRB,2016,92.975166,94.348106,91.673187
BRB,2017,90.426872,90.51445,90.343559
BRB,2018,,,
BRN,1990,,,
BRN,1991,89.871582,89.078743,90.621361
BRN,1992,91.677177,91.821861,91.541183
BRN,1993,94.314011,95.470123,93.234093
BRN,1994,94.434334,95.223877,93.698853
BRN,1995,98.000961,98.154289,97.857727
BRN,1996,,,
BRN,1997,,,
BRN,1998,,,
BRN,1999,,,
BRN,2000,,,
BRN,2001,,,
BRN,2002,,,
BRN,2003,,,
BRN,2004,,,
BRN,2005,,,
BRN,2006,,,
BRN,2007,,,
BRN,2008,,,
BRN,2009,97.296783,97.076439,97.503479
BRN,2010,,,
BRN,2011,,,
BRN,2012,96.653038,96.306702,96.981277
BRN,2013,97.404419,97.718147,97.106232
BRN,2014,96.367462,96.100517,96.621307
BRN,2015,96.261528,95.282211,97.191116
BRN,2016,96.61512,96.445648,96.775726
BRN,2017,96.414467,96.218163,96.600372
BRN,2018,,,
BTN,1990,,,
BTN,1991,,,
BTN,1992,,,
BTN,1993,,,
BTN,1994,,,
BTN,1995,,,
BTN,1996,,,
BTN,1997,,,
BTN,1998,53.19627,49.496639,56.839859
BTN,1999,54.162281,50.86517,57.402168
BTN,2000,57.017288,54.2047,59.763908
BTN,2001,60.28479,57.657452,62.86517
BTN,2002,,,
BTN,2003,,,
BTN,2004,,,
BTN,2005,70.276039,70.47477,70.082771
BTN,2006,74.109329,74.62281,73.611641
BTN,2007,,,
BTN,2008,79.598068,80.823067,78.411659
BTN,2009,84.078712,85.535751,82.666191
BTN,2010,86.174179,87.906639,84.49247
BTN,2011,86.94101,88.612877,85.31897
BTN,2012,88.692543,90.184158,87.246094
BTN,2013,87.357231,88.703293,86.052513
BTN,2014,,,
BTN,2015,84.619476,85.867241,83.408737
BTN,2016,82.995468,83.976837,82.044243
BTN,2017,81.946587,82.580994,81.331886
BTN,2018,,,
BWA,1990,85.00489,88.492172,81.544708
BWA,1991,87.026131,90.492073,83.58989
BWA,1992,86.46167,89.445961,83.504768
BWA,1993,86.208542,88.69722,83.743629
BWA,1994,86.487091,88.73468,84.261292
BWA,1995,78.721771,80.554176,76.907822
BWA,1996,79.869469,81.628288,78.128693
BWA,1997,,,
BWA,1998,83.630676,85.539139,81.74276
BWA,1999,83.127739,84.822906,81.451477
BWA,2000,84.228691,85.978188,82.499619
BWA,2001,85.810432,87.505508,84.135239
BWA,2002,85.961662,87.432922,84.508011
BWA,2003,85.942993,87.495842,84.409264
BWA,2004,86.727142,86.717712,86.73645
BWA,2005,85.850861,87.259201,84.46051
BWA,2006,86.934563,87.806107,86.074242
BWA,2007,86.199661,87.049873,85.36055
BWA,2008,85.73587,86.584,84.898918
BWA,2009,86.501038,87.017921,85.990929
BWA,2010,,,
BWA,2011,,,
BWA,2012,92.830177,93.474243,92.194572
BWA,2013,93.524918,93.996674,93.059517
BWA,2014,89.521622,89.906197,89.143333
BWA,2015,,,
BWA,2016,,,
BWA,2017,,,
BWA,2018,,,
CAF,1990,57.262081,45.426041,69.249611
CAF,1991,52.952808,42.51722,63.530449
