COUNTRY,SERIES,TIME,Data,SCALE
ARE,SE.LPV.PRIM.LPGAP.FE,YR2021,1.458488717675209,0
ARE,SE.LPV.PRIM.LPGAP.MA,YR2021,1.508247464895248,0
ARE,SE.LPV.PRIM.LPSEV,YR2021,8.132257362923118,0
ARE,SE.LPV.PRIM.LPSEV.FE,YR2021,6.392481973490212,0
ARE,SE.LPV.PRIM.LPSEV.MA,YR2021,9.378755888065788,0
ARE,SE.LPV.PRIM.MA,YR2021,30.68661308288574,0
ARE,SE.LPV.PRIM.SD,YR2021,1.256881713867188,0
ARE,SE.LPV.PRIM.SD.FE,YR2021,1.256881713867188,0
ARE,SE.LPV.PRIM.SD.MA,YR2021,1.256881713867188,0
ARG,SE.LPV.POP.0516,YR2006,8557334,0
ARG,SE.LPV.POP.0516.FE,YR2006,4160431.5,0
ARG,SE.LPV.POP.0516.MA,YR2006,4396902.5,0
ARG,SE.LPV.POP.10,YR2006,709872.5,0
ARG,SE.LPV.POP.10.FE,YR2006,344883,0
ARG,SE.LPV.POP.10.MA,YR2006,364989.5,0
ARG,SE.LPV.POP.1014,YR2006,3537399,0
ARG,SE.LPV.POP.1014.FE,YR2006,1719302,0
ARG,SE.LPV.POP.1014.MA,YR2006,1818097,0
ARG,SE.LPV.POP.9PLUS,YR2006,1428815.5,0
ARG,SE.LPV.POP.9PLUS.FE,YR2006,694175.5,0
ARG,SE.LPV.POP.9PLUS.MA,YR2006,734640,0
ARG,SE.LPV.POP.PRIM,YR2006,5100772.5,0
ARG,SE.LPV.POP.PRIM.FE,YR2006,2478309,0
ARG,SE.LPV.POP.PRIM.MA,YR2006,2622463.5,0
ARG,SE.LPV.PRIM,YR2006,55.5289421081543,0
ARG,SE.LPV.PRIM.FE,YR2006,52.87107849121094,0
ARG,SE.LPV.PRIM.LD,YR2006,55.29671859741211,0
ARG,SE.LPV.PRIM.LD.FE,YR2006,52.62497711181641,0
ARG,SE.LPV.PRIM.LD.MA,YR2006,57.91313552856445,0
ARG,SE.LPV.PRIM.LDGAP,YR2006,.1563888043165207,0
ARG,SE.LPV.PRIM.LDGAP.FE,YR2006,.1525296419858932,0
ARG,SE.LPV.PRIM.LDGAP.MA,YR2006,.1583519876003265,0
ARG,SE.LPV.PRIM.LDSEV,YR2006,.0389224179089069,0
ARG,SE.LPV.PRIM.LDSEV.FE,YR2006,.0368905365467072,0
ARG,SE.LPV.PRIM.LDSEV.MA,YR2006,.0395667590200901,0
ARG,SE.LPV.PRIM.LPGAP,YR2006,.6758666485548019,0
ARG,SE.LPV.PRIM.LPGAP.FE,YR2006,.6720074862241745,0
ARG,SE.LPV.PRIM.LPGAP.MA,YR2006,.6778298318386078,0
ARG,SE.LPV.PRIM.LPSEV,YR2006,3.894940363197239,0
ARG,SE.LPV.PRIM.LPSEV.FE,YR2006,3.69175222697726,0
ARG,SE.LPV.PRIM.LPSEV.MA,YR2006,3.959374474315555,0
ARG,SE.LPV.PRIM.MA,YR2006,58.13176727294922,0
ARG,SE.LPV.PRIM.SD,YR2006,.5194778442382813,0
ARG,SE.LPV.PRIM.SD.FE,YR2006,.5194778442382813,0
ARG,SE.LPV.PRIM.SD.MA,YR2006,.5194778442382813,0
ARG,SE.LPV.POP.0516,YR2013,8557334,0
ARG,SE.LPV.POP.0516.FE,YR2013,4160431.5,0
ARG,SE.LPV.POP.0516.MA,YR2013,4396902.5,0
ARG,SE.LPV.POP.10,YR2013,709872.5,0
ARG,SE.LPV.POP.10.FE,YR2013,344883,0
ARG,SE.LPV.POP.10.MA,YR2013,364989.5,0
ARG,SE.LPV.POP.1014,YR2013,3537399,0
ARG,SE.LPV.POP.1014.FE,YR2013,1719302,0
ARG,SE.LPV.POP.1014.MA,YR2013,1818097,0
ARG,SE.LPV.POP.9PLUS,YR2013,1428815.5,0
ARG,SE.LPV.POP.9PLUS.FE,YR2013,694175.5,0
ARG,SE.LPV.POP.9PLUS.MA,YR2013,734640,0
ARG,SE.LPV.POP.PRIM,YR2013,5100772.5,0
