countrycode,cty_or_agg,year,indicator,value,value_metadata,countryname,regionname
ARE,cty,2011,SE.LPV.PRIM.MA,42.87724685668945,LP = SD: ANER; LD: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2011,SE.LPV.PRIM.SD,1.256881713867188,SD = ANER; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2011,SE.LPV.PRIM.SD.FE,1.256881713867188,SD = ANER; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2011,SE.LPV.PRIM.SD.MA,1.256881713867188,SD = ANER; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.POP.0516,985702.5,Population Age 0516 for Reference Year 2019; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.POP.0516.FE,486507.5,Population Age 0516 for Reference Year 2019; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.POP.0516.MA,499195,Population Age 0516 for Reference Year 2019; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.POP.10,89040.5,Population Age 10 for Reference Year 2019; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.POP.10.FE,42306.5,Population Age 10 for Reference Year 2019; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.POP.10.MA,46734,Population Age 10 for Reference Year 2019; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.POP.1014,371528,Population Age 1014 for Reference Year 2019; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.POP.1014.FE,185088,Population Age 1014 for Reference Year 2019; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.POP.1014.MA,186440,Population Age 1014 for Reference Year 2019; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.POP.9PLUS,265931.5,Population Age 9plus for Reference Year 2019; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.POP.9PLUS.FE,126925,Population Age 9plus for Reference Year 2019; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.POP.9PLUS.MA,139006.5,Population Age 9plus for Reference Year 2019; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.POP.PRIM,567881,Population Age primary for Reference Year 2019; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.POP.PRIM.FE,273699,Population Age primary for Reference Year 2019; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.POP.PRIM.MA,294182,Population Age primary for Reference Year 2019; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM,33.2780647277832,LP = SD: ANER; LD: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.FE,26.95879936218262,LP = SD: ANER; LD: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Female,United Arab Emirates,Middle East and North Africa
