countrycode,cty_or_agg,year,indicator,value,value_metadata,countryname,regionname
BHR,cty,2021,SE.LPV.PRIM.LPGAP.FE,2.962376475334167,LPGAP = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Female,Bahrain,Middle East and North Africa
BHR,cty,2021,SE.LPV.PRIM.LPGAP.MA,1.20210275053978,LPGAP = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Male,Bahrain,Middle East and North Africa
BHR,cty,2021,SE.LPV.PRIM.LPSEV,5.806581974963192,LPSEV = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; ,Bahrain,Middle East and North Africa
BHR,cty,2021,SE.LPV.PRIM.LPSEV.FE,4.07480131795688,LPSEV = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Female,Bahrain,Middle East and North Africa
BHR,cty,2021,SE.LPV.PRIM.LPSEV.MA,6.710846106745302,LPSEV = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Male,Bahrain,Middle East and North Africa
BHR,cty,2021,SE.LPV.PRIM.MA,38.35739898681641,LP = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Male,Bahrain,Middle East and North Africa
BHR,cty,2021,SE.LPV.PRIM.SD,1.895156860351563,SD = ANER; ,Bahrain,Middle East and North Africa
BHR,cty,2021,SE.LPV.PRIM.SD.FE,2.806266784667969,SD = ANER; Female,Bahrain,Middle East and North Africa
BHR,cty,2021,SE.LPV.PRIM.SD.MA,.99542236328125,SD = ANER; Male,Bahrain,Middle East and North Africa
BLZ,cty,2001,SE.LPV.POP.0516,91136.5,Population Age 0516 for Reference Year 2019; ,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.POP.0516.FE,44741,Population Age 0516 for Reference Year 2019; Female,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.POP.0516.MA,46395.5,Population Age 0516 for Reference Year 2019; Male,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.POP.10,7522.5,Population Age 10 for Reference Year 2019; ,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.POP.10.FE,3684,Population Age 10 for Reference Year 2019; Female,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.POP.10.MA,3838.5,Population Age 10 for Reference Year 2019; Male,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.POP.1014,38280,Population Age 1014 for Reference Year 2019; ,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.POP.1014.FE,18828,Population Age 1014 for Reference Year 2019; Female,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.POP.1014.MA,19452,Population Age 1014 for Reference Year 2019; Male,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.POP.9PLUS,22446.5,Population Age 9plus for Reference Year 2019; ,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.POP.9PLUS.FE,10991,Population Age 9plus for Reference Year 2019; Female,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.POP.9PLUS.MA,11455.5,Population Age 9plus for Reference Year 2019; Male,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.POP.PRIM,52339,Population Age primary for Reference Year 2019; ,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.POP.PRIM.FE,25587,Population Age primary for Reference Year 2019; Female,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.POP.PRIM.MA,26752,Population Age primary for Reference Year 2019; Male,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM,76.41403961181641,LP = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; ,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.FE,73.38022613525391,LP = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Female,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.LD,74.78204345703125,LD = PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; ,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.LD.FE,71.48177337646484,LD = PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Female,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.LD.MA,78.24459838867188,LD = PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Male,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.LDGAP,.2992178499698639,LDGAP: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; ,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.LDGAP.FE,.2821092307567596,LDGAP: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Female,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.LDGAP.MA,.3156154453754425,LDGAP: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Male,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.LDSEV,.1235064417123795,LDSEV: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; ,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.LDSEV.FE,.1119209378957748,LDSEV: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Female,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.LDSEV.MA,.13460972905159,LDSEV: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Male,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.LPGAP,6.770790725946426,LPGAP = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; ,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.LPGAP.FE,6.939076393842697,LPGAP = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Female,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.LPGAP.MA,6.605295926332474,LPGAP = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Male,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.LPSEV,12.7694567261287,LPSEV = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; ,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.LPSEV.FE,11.63524590768153,LPSEV = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Female,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.LPSEV.MA,13.85657371068431,LPSEV = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Male,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.MA,79.61294555664063,LP = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Male,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.SD,6.471572875976563,SD = ANER; ,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.SD.FE,6.656967163085938,SD = ANER; Female,Belize,Latin America and Caribbean
BLZ,cty,2001,SE.LPV.PRIM.SD.MA,6.289680480957031,SD = ANER; Male,Belize,Latin America and Caribbean
BRA,cty,2006,SE.LPV.POP.0516,36549296,Population Age 0516 for Reference Year 2019; ,Brazil,Latin America and Caribbean
BRA,cty,2006,SE.LPV.POP.10,3001006.5,Population Age 10 for Reference Year 2019; ,Brazil,Latin America and Caribbean
BRA,cty,2006,SE.LPV.POP.1014,15391349,Population Age 1014 for Reference Year 2019; ,Brazil,Latin America and Caribbean
BRA,cty,2006,SE.LPV.POP.9PLUS,2990973.5,Population Age 9plus for Reference Year 2019; ,Brazil,Latin America and Caribbean
BRA,cty,2006,SE.LPV.POP.PRIM,17763311,Population Age primary for Reference Year 2019; ,Brazil,Latin America and Caribbean
BRA,cty,2006,SE.LPV.PRIM,51.29119491577148,LP = SD: ANER; LD: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; ,Brazil,Latin America and Caribbean
BRA,cty,2006,SE.LPV.PRIM.LD,50.06845474243164,LD = LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; ,Brazil,Latin America and Caribbean
BRA,cty,2006,SE.LPV.PRIM.LDGAP,.1369978040456772,LDGAP: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; ,Brazil,Latin America and Caribbean
BRA,cty,2006,SE.LPV.PRIM.LDSEV,.0282284934073687,LDSEV: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; ,Brazil,Latin America and Caribbean
BRA,cty,2006,SE.LPV.PRIM.LPGAP,2.585827454924583,LPGAP = SD: ANER; LD: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; ,Brazil,Latin America and Caribbean
BRA,cty,2006,SE.LPV.PRIM.LPSEV,2.882817007327103,LPSEV = SD: ANER; LD: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; ,Brazil,Latin America and Caribbean
BRA,cty,2006,SE.LPV.PRIM.SD,2.448829650878906,SD = ANER; ,Brazil,Latin America and Caribbean
BRA,cty,2013,SE.LPV.POP.0516,36549296,Population Age 0516 for Reference Year 2019; ,Brazil,Latin America and Caribbean
BRA,cty,2013,SE.LPV.POP.10,3001006.5,Population Age 10 for Reference Year 2019; ,Brazil,Latin America and Caribbean
BRA,cty,2013,SE.LPV.POP.1014,15391349,Population Age 1014 for Reference Year 2019; ,Brazil,Latin America and Caribbean
BRA,cty,2013,SE.LPV.POP.9PLUS,2990973.5,Population Age 9plus for Reference Year 2019; ,Brazil,Latin America and Caribbean
BRA,cty,2013,SE.LPV.POP.PRIM,17763311,Population Age primary for Reference Year 2019; ,Brazil,Latin America and Caribbean
BRA,cty,2013,SE.LPV.PRIM,48.24663543701172,LP = SD: ANER; LD: LLECES 2013 for grade 6 using MPL III (SERCE scale) for reading; ,Brazil,Latin America and Caribbean
BRA,cty,2013,SE.LPV.PRIM.LD,46.94746780395508,LD = LLECES 2013 for grade 6 using MPL III (SERCE scale) for reading; ,Brazil,Latin America and Caribbean
BRA,cty,2013,SE.LPV.PRIM.LDGAP,.1184876635670662,LDGAP: LLECES 2013 for grade 6 using MPL III (SERCE scale) for reading; ,Brazil,Latin America and Caribbean
BRA,cty,2013,SE.LPV.PRIM.LDSEV,.0215616896748543,LDSEV: LLECES 2013 for grade 6 using MPL III (SERCE scale) for reading; ,Brazil,Latin America and Caribbean
BRA,cty,2013,SE.LPV.PRIM.LPGAP,2.567317314445972,LPGAP = SD: ANER; LD: LLECES 2013 for grade 6 using MPL III (SERCE scale) for reading; ,Brazil,Latin America and Caribbean
BRA,cty,2013,SE.LPV.PRIM.LPSEV,2.216136634075665,LPSEV = SD: ANER; LD: LLECES 2013 for grade 6 using MPL III (SERCE scale) for reading; ,Brazil,Latin America and Caribbean
BRA,cty,2013,SE.LPV.PRIM.SD,2.448829650878906,SD = ANER; ,Brazil,Latin America and Caribbean
BRA,cty,2019,SE.LPV.POP.0516,36549296,Population Age 0516 for Reference Year 2019; ,Brazil,Latin America and Caribbean
BRA,cty,2019,SE.LPV.POP.10,3001006.5,Population Age 10 for Reference Year 2019; ,Brazil,Latin America and Caribbean
BRA,cty,2019,SE.LPV.POP.1014,15391349,Population Age 1014 for Reference Year 2019; ,Brazil,Latin America and Caribbean
BRA,cty,2019,SE.LPV.POP.9PLUS,2990973.5,Population Age 9plus for Reference Year 2019; ,Brazil,Latin America and Caribbean
BRA,cty,2019,SE.LPV.POP.PRIM,17763311,Population Age primary for Reference Year 2019; ,Brazil,Latin America and Caribbean
BRA,cty,2019,SE.LPV.PRIM,46.89786148071289,LP = SD: ANER; LD: LLECES 2019 for grade 6 using MPL III (SERCE scale) for reading; ,Brazil,Latin America and Caribbean
BRA,cty,2019,SE.LPV.PRIM.LD,45.56483840942383,LD = LLECES 2019 for grade 6 using MPL III (SERCE scale) for reading; ,Brazil,Latin America and Caribbean
BRA,cty,2019,SE.LPV.PRIM.SD,2.448829650878906,SD = ANER; ,Brazil,Latin America and Caribbean
BWA,cty,2011,SE.LPV.POP.0516,635606.5,Population Age 0516 for Reference Year 2019; ,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.POP.0516.FE,313993,Population Age 0516 for Reference Year 2019; Female,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.POP.0516.MA,321613.5,Population Age 0516 for Reference Year 2019; Male,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.POP.10,54054.5,Population Age 10 for Reference Year 2019; ,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.POP.10.FE,26684,Population Age 10 for Reference Year 2019; Female,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.POP.10.MA,27370.5,Population Age 10 for Reference Year 2019; Male,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.POP.1014,259999,Population Age 1014 for Reference Year 2019; ,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.POP.1014.FE,128449,Population Age 1014 for Reference Year 2019; Female,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.POP.1014.MA,131550,Population Age 1014 for Reference Year 2019; Male,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.POP.9PLUS,502924.5,Population Age 9plus for Reference Year 2019; ,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.POP.9PLUS.FE,248690,Population Age 9plus for Reference Year 2019; Female,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.POP.9PLUS.MA,254234.5,Population Age 9plus for Reference Year 2019; Male,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM,50.83765029907227,LP = SD: ANER; LD: PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; ,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.FE,44.17906188964844,LP = SD: ANER; LD: PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; Female,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.LD,44.29808807373047,LD = PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; ,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.LD.FE,37.47426605224609,LD = PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; Female,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.LD.MA,51.51924514770508,LD = PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; Male,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.LDGAP,.1582429111003876,LDGAP: PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; ,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.LDGAP.FE,.1381692886352539,LDGAP: PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; Female,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.LDGAP.MA,.1737060993909836,LDGAP: PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; Male,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.LDSEV,.0381719544529915,LDSEV: PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; ,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.LDSEV.FE,.0299228373914957,LDSEV: PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; Female,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.LDSEV.MA,.0445258691906929,LDSEV: PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; Male,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.LPGAP,11.89852306246758,LPGAP = SD: ANER; LD: PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; ,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.LPGAP.FE,10.86142826080322,LPGAP = SD: ANER; LD: PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; Female,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.LPGAP.MA,12.90866856276989,LPGAP = SD: ANER; LD: PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; Male,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.LPSEV,5.195537225625012,LPSEV = SD: ANER; LD: PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; ,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.LPSEV.FE,4.142166568991379,LPSEV = SD: ANER; LD: PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; Female,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.LPSEV.MA,6.074379608505988,LPSEV = SD: ANER; LD: PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; Male,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.MA,57.69325256347656,LP = SD: ANER; LD: PIRLS 2011 for grade 6 using MPL Low (400 points) for reading; Male,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.SD,11.74028015136719,SD = ANER; ,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.SD.FE,10.72325897216797,SD = ANER; Female,Botswana,Sub-Saharan Africa
BWA,cty,2011,SE.LPV.PRIM.SD.MA,12.73496246337891,SD = ANER; Male,Botswana,Sub-Saharan Africa
CAN,cty,2001,SE.LPV.POP.0516,4866183.5,Population Age 0516 for Reference Year 2019; ,Canada,North America
CAN,cty,2001,SE.LPV.POP.0516.FE,2384290.5,Population Age 0516 for Reference Year 2019; Female,Canada,North America
CAN,cty,2001,SE.LPV.POP.0516.MA,2481893,Population Age 0516 for Reference Year 2019; Male,Canada,North America
CAN,cty,2001,SE.LPV.POP.10,416609.5,Population Age 10 for Reference Year 2019; ,Canada,North America
CAN,cty,2001,SE.LPV.POP.10.FE,204325.5,Population Age 10 for Reference Year 2019; Female,Canada,North America
CAN,cty,2001,SE.LPV.POP.10.MA,212284,Population Age 10 for Reference Year 2019; Male,Canada,North America
CAN,cty,2001,SE.LPV.POP.1014,2034813,Population Age 1014 for Reference Year 2019; ,Canada,North America
CAN,cty,2001,SE.LPV.POP.1014.FE,998717,Population Age 1014 for Reference Year 2019; Female,Canada,North America
CAN,cty,2001,SE.LPV.POP.1014.MA,1036096,Population Age 1014 for Reference Year 2019; Male,Canada,North America
CAN,cty,2001,SE.LPV.POP.9PLUS,1651522.5,Population Age 9plus for Reference Year 2019; ,Canada,North America
CAN,cty,2001,SE.LPV.POP.9PLUS.FE,810303,Population Age 9plus for Reference Year 2019; Female,Canada,North America
CAN,cty,2001,SE.LPV.POP.9PLUS.MA,841219.5,Population Age 9plus for Reference Year 2019; Male,Canada,North America
CAN,cty,2001,SE.LPV.POP.PRIM,2873695.5,Population Age primary for Reference Year 2019; ,Canada,North America
CAN,cty,2001,SE.LPV.POP.PRIM.FE,1407910,Population Age primary for Reference Year 2019; Female,Canada,North America
CAN,cty,2001,SE.LPV.POP.PRIM.MA,1465785.5,Population Age primary for Reference Year 2019; Male,Canada,North America
CAN,cty,2001,SE.LPV.PRIM,3.135405778884888,LP = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; ,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.FE,2.141392707824707,LP = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Female,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.LD,3.092642068862915,LD = PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; ,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.LD.FE,2.098190069198608,LD = PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Female,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.LD.MA,4.06874942779541,LD = PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Male,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.LDGAP,.0735059678554535,LDGAP: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; ,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.LDGAP.FE,.0701755210757256,LDGAP: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Female,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.LDGAP.MA,.0750039145350456,LDGAP: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Male,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.LDSEV,.0096581680700183,LDSEV: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; ,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.LDSEV.FE,.0087717734277248,LDSEV: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Female,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.LDSEV.MA,.0100639332085848,LDSEV: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Male,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.LPGAP,.1176343858242035,LPGAP = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; ,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.LPGAP.FE,.1143039390444756,LPGAP = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Female,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.LPGAP.MA,.1191323325037956,LPGAP = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Male,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.LPSEV,.9658362801745535,LPSEV = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; ,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.LPSEV.FE,.8771968159452082,LPSEV = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Female,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.LPSEV.MA,1.006412794031203,LPSEV = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Male,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.MA,4.111082553863525,LP = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Male,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.SD,.04412841796875,SD = ANER; ,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.SD.FE,.04412841796875,SD = ANER; Female,Canada,North America
CAN,cty,2001,SE.LPV.PRIM.SD.MA,.04412841796875,SD = ANER; Male,Canada,North America
CAN,cty,2011,SE.LPV.POP.0516,4866183.5,Population Age 0516 for Reference Year 2019; ,Canada,North America
CAN,cty,2011,SE.LPV.POP.0516.FE,2384290.5,Population Age 0516 for Reference Year 2019; Female,Canada,North America
CAN,cty,2011,SE.LPV.POP.0516.MA,2481893,Population Age 0516 for Reference Year 2019; Male,Canada,North America
CAN,cty,2011,SE.LPV.POP.10,416609.5,Population Age 10 for Reference Year 2019; ,Canada,North America
CAN,cty,2011,SE.LPV.POP.10.FE,204325.5,Population Age 10 for Reference Year 2019; Female,Canada,North America
CAN,cty,2011,SE.LPV.POP.10.MA,212284,Population Age 10 for Reference Year 2019; Male,Canada,North America
CAN,cty,2011,SE.LPV.POP.1014,2034813,Population Age 1014 for Reference Year 2019; ,Canada,North America
CAN,cty,2011,SE.LPV.POP.1014.FE,998717,Population Age 1014 for Reference Year 2019; Female,Canada,North America
CAN,cty,2011,SE.LPV.POP.1014.MA,1036096,Population Age 1014 for Reference Year 2019; Male,Canada,North America
CAN,cty,2011,SE.LPV.POP.9PLUS,1651522.5,Population Age 9plus for Reference Year 2019; ,Canada,North America
CAN,cty,2011,SE.LPV.POP.9PLUS.FE,810303,Population Age 9plus for Reference Year 2019; Female,Canada,North America
CAN,cty,2011,SE.LPV.POP.9PLUS.MA,841219.5,Population Age 9plus for Reference Year 2019; Male,Canada,North America
CAN,cty,2011,SE.LPV.POP.PRIM,2873695.5,Population Age primary for Reference Year 2019; ,Canada,North America
CAN,cty,2011,SE.LPV.POP.PRIM.FE,1407910,Population Age primary for Reference Year 2019; Female,Canada,North America
CAN,cty,2011,SE.LPV.POP.PRIM.MA,1465785.5,Population Age primary for Reference Year 2019; Male,Canada,North America
CAN,cty,2011,SE.LPV.PRIM,2.292357683181763,LP = SD: ANER; LD: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; ,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.FE,1.836849451065063,LP = SD: ANER; LD: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; Female,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.LD,2.249221801757813,LD = PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; ,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.LD.FE,1.793512463569641,LD = PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; Female,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.LD.MA,2.692744255065918,LD = PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; Male,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.LDGAP,.0694901570677757,LDGAP: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; ,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.LDGAP.FE,.067069910466671,LDGAP: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; Female,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.LDGAP.MA,.0713964998722076,LDGAP: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; Male,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.LDSEV,.0084719359874725,LDSEV: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; ,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.LDSEV.FE,.0077462643384933,LDSEV: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; Female,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.LDSEV.MA,.0090203424915671,LDSEV: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; Male,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.LPGAP,.1136185750365257,LPGAP = SD: ANER; LD: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; ,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.LPGAP.FE,.111198328435421,LPGAP = SD: ANER; LD: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; Female,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.LPGAP.MA,.1155249178409576,LPGAP = SD: ANER; LD: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; Male,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.LPSEV,.8472130719199777,LPSEV = SD: ANER; LD: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; ,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.LPSEV.FE,.7746459070220589,LPSEV = SD: ANER; LD: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; Female,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.LPSEV.MA,.9020537223294378,LPSEV = SD: ANER; LD: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; Male,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.MA,2.735684394836426,LP = SD: ANER; LD: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading; Male,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.SD,.04412841796875,SD = ANER; ,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.SD.FE,.04412841796875,SD = ANER; Female,Canada,North America
CAN,cty,2011,SE.LPV.PRIM.SD.MA,.04412841796875,SD = ANER; Male,Canada,North America
