survey,assessment,year,countrycode,idgrade,outcome,subject,bin,pdf,m_score_bin,se_score_bin,n_score_bin
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_read,read,6,.06666667,480.89343,.37038809,377
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_read,read,7,.06666667,495.50156,.28949159,386
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_read,read,8,.06666667,510.65305,.23708162,383
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_read,read,9,.06666667,525.55518,.19273083,380
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_read,read,10,.06666667,541.05469,.28162113,385
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_read,read,11,.06666667,558.43005,.35527369,396
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_read,read,12,.06666667,576.94397,.39361084,393
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_read,read,13,.06666667,599.16022,.3780894,387
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_read,read,14,.06666667,629.85358,.58723819,397
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_read,read,15,.06666667,703.39044,3.3807046,399
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_math,math,0,1,513.92645,3.924612,6151
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_math,math,1,.06666667,333.81995,4.2352586,344
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_math,math,2,.06666667,399.48712,.65148669,337
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_math,math,3,.06666667,427.49792,.43909085,345
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_math,math,4,.06666667,448.45813,.35123023,350
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_math,math,5,.06666667,465.90793,.21147758,342
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_math,math,6,.06666667,482.89828,.24681193,353
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_math,math,7,.06666667,499.66327,.26319584,352
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_math,math,8,.06666667,514.47833,.27667138,356
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_math,math,9,.06666667,529.26147,.25232142,360
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_math,math,10,.06666667,543.5119,.29831201,358
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_math,math,11,.06666667,559.76404,.31400526,376
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_math,math,12,.06666667,579.6524,.35909176,394
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_math,math,13,.06666667,605.41815,.41165549,408
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_math,math,14,.06666667,638.93756,.68276209,441
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_math,math,15,.06666667,716.07532,2.8845501,526
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_read,read,0,1,508.0658,4.8193531,6069
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_read,read,1,.06666667,312.69855,3.2962785,355
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_read,read,2,.06666667,381.12524,.71934843,366
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_read,read,3,.06666667,411.25012,.38641346,363
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_read,read,4,.06666667,434.7876,.36838698,371
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_read,read,5,.06666667,452.52173,.33692086,381
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_read,read,6,.06666667,469.00955,.28508437,388
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_read,read,7,.06666667,484.5235,.21414538,376
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_read,read,8,.06666667,499.40363,.26650962,392
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_read,read,9,.06666667,517.36938,.33278704,386
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_read,read,10,.06666667,535.44635,.29198942,401
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_read,read,11,.06666667,556.55322,.32199144,400
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_read,read,12,.06666667,576.80975,.32687584,422
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_read,read,13,.06666667,603.76263,.48395586,439
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_read,read,14,.06666667,640.30682,.70122266,469
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_read,read,15,.06666667,722.73724,2.8185616,560
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_science,science,0,1,489.39929,3.5480895,6039
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_science,science,1,.06666667,308.01117,3.470876,330
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_science,science,2,.06666667,380.85062,.51985681,334
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_science,science,3,.06666667,407.89334,.31057963,340
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_science,science,4,.06666667,428.62946,.37314552,342
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_science,science,5,.06666667,446.46844,.30481055,344
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_science,science,6,.06666667,460.55264,.37083635,340
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_science,science,7,.06666667,474.862,.16347438,361
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_science,science,8,.06666667,490.83896,.2674652,362
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_science,science,9,.06666667,504.9281,.32107595,365
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_science,science,10,.06666667,518.83154,.33383977,360
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_science,science,11,.06666667,536.2829,.38398233,380
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_science,science,12,.06666667,554.40088,.29853025,381
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_science,science,13,.06666667,577.44482,.45405462,399
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_science,science,14,.06666667,607.08398,.54273254,406
LAC_2006_LLECE,LLECE,2006,ARG,6,score_llece_science,science,15,.06666667,674.19263,2.03493,480
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_math,math,0,1,505.29138,5.6399684,5534
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_math,math,1,.06666667,321.36942,3.6168098,297
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_math,math,2,.06666667,393.95654,.61149138,323
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_math,math,3,.06666667,421.54337,.47275794,316
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_math,math,4,.06666667,438.78772,.20949052,309
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_math,math,5,.06666667,455.03796,.13088991,327
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_math,math,6,.06666667,468.66629,.4007403,317
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_math,math,7,.06666667,481.13983,.23668911,327
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_math,math,8,.06666667,496.42572,.16781007,337
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_math,math,9,.06666667,512.38171,.22252288,340
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_math,math,10,.06666667,529.53131,.2693536,346
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_math,math,11,.06666667,548.58148,.28403178,357
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_math,math,12,.06666667,571.81421,.39949197,377
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_math,math,13,.06666667,599.97437,.3928844,384
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_math,math,14,.06666667,638.45837,.50536478,413
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_math,math,15,.06666667,725.65649,2.6693017,441
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_read,read,0,1,504.74423,4.7918315,5388
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_read,read,1,.06666667,318.91129,4.5098662,306
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_read,read,2,.06666667,388.93872,.6443553,312
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_read,read,3,.06666667,417.65918,.49153981,327
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_read,read,4,.06666667,438.08524,.42586145,329
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_read,read,5,.06666667,455.23669,.31208599,321
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_read,read,6,.06666667,472.19431,.25334224,340
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_read,read,7,.06666667,487.91483,.20174569,344
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_read,read,8,.06666667,503.74301,.18879341,355
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_read,read,9,.06666667,517.29419,.28269231,354
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_read,read,10,.06666667,531.8493,.33874562,352
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_read,read,11,.06666667,549.1922,.24911852,385
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_read,read,12,.06666667,568.1759,.30672398,393
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_read,read,13,.06666667,590.0769,.39101458,399
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_read,read,14,.06666667,620.31793,.5480004,430
LAC_2006_LLECE,LLECE,2006,BRA,3,score_llece_read,read,15,.06666667,694.51691,2.4558599,441
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_math,math,0,1,499.13107,5.811038,5201
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_math,math,1,.06666667,331.04132,2.6527987,266
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_math,math,2,.06666667,391.78207,.6114018,273
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_math,math,3,.06666667,416.45221,.5427714,273
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_math,math,4,.06666667,434.14432,.33673257,280
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_math,math,5,.06666667,451.8638,.26811227,296
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_math,math,6,.06666667,466.91013,.24689563,295
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_math,math,7,.06666667,482.29623,.25119331,312
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_math,math,8,.06666667,496.95996,.33080542,300
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_math,math,9,.06666667,509.57147,.33845457,298
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_math,math,10,.06666667,523.54718,.265203,322
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_math,math,11,.06666667,539.91492,.26725674,339
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_math,math,12,.06666667,560.48724,.45920968,346
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_math,math,13,.06666667,584.30664,.51283026,357
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_math,math,14,.06666667,616.14221,.74570888,388
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_math,math,15,.06666667,696.92383,2.8813393,435
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_read,read,0,1,520.65704,5.8742046,5001
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_read,read,1,.06666667,350.49664,2.1244905,287
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_read,read,2,.06666667,402.64584,.54022974,274
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_read,read,3,.06666667,427.27414,.46020505,289
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_read,read,4,.06666667,447.5032,.49175686,288
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_read,read,5,.06666667,464.76807,.30306628,303
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_read,read,6,.06666667,480.66537,.26539525,312
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_read,read,7,.06666667,496.18646,.36384869,313
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_read,read,8,.06666667,512.23755,.3710067,326
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_read,read,9,.06666667,529.07397,.37216055,329
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_read,read,10,.06666667,546.68713,.32378158,330
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_read,read,11,.06666667,566.12189,.33647057,364
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_read,read,12,.06666667,588.55981,.49684033,359
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_read,read,13,.06666667,614.586,.42038423,405
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_read,read,14,.06666667,651.12573,.88439816,385
LAC_2006_LLECE,LLECE,2006,BRA,6,score_llece_read,read,15,.06666667,726.67041,3.0761616,437
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_math,math,0,1,529.7746,4.2086115,5880
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_math,math,1,.06666667,360.07675,3.3973989,376
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_math,math,2,.06666667,424.64713,.47547942,362
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_math,math,3,.06666667,449.23749,.36656052,389
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_math,math,4,.06666667,467.02139,.39945635,369
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_math,math,5,.06666667,484.01797,.31382236,363
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_math,math,6,.06666667,497.64752,.36520615,393
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_math,math,7,.06666667,511.55328,.24621481,350
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_math,math,8,.06666667,524.99518,.13129729,364
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_math,math,9,.06666667,539.97656,.16012788,379
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_math,math,10,.06666667,554.81787,.17614269,370
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_math,math,11,.06666667,571.48334,.26203823,372
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_math,math,12,.06666667,589.91821,.37347826,371
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_math,math,13,.06666667,614.01697,.44912946,369
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_math,math,14,.06666667,645.99768,.68077248,360
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_math,math,15,.06666667,727.46765,3.2516665,348
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_read,read,0,1,562.71722,4.1715274,5791
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_read,read,1,.06666667,386.02643,2.2489269,399
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_read,read,2,.06666667,450.12177,.60497791,386
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_read,read,3,.06666667,477.18393,.38977847,392
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_read,read,4,.06666667,497.42841,.40477723,397
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_read,read,5,.06666667,516.41479,.30384877,397
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_read,read,6,.06666667,532.724,.26023328,398
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_read,read,7,.06666667,546.83038,.20975083,395
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_read,read,8,.06666667,561.12836,.2013516,374
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_read,read,9,.06666667,573.92053,.31045696,382
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_read,read,10,.06666667,588.34277,.22247289,394
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_read,read,11,.06666667,604.91937,.17862633,379
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_read,read,12,.06666667,621.8728,.31216931,386
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_read,read,13,.06666667,643.37238,.53192782,379
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_read,read,14,.06666667,675.67072,.64655721,367
LAC_2006_LLECE,LLECE,2006,CHL,3,score_llece_read,read,15,.06666667,754.66229,3.5144818,366
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_math,math,0,1,517.52594,4.1303058,6648
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_math,math,1,.06666667,311.48026,12.342802,457
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_math,math,2,.06666667,407.05106,.54148293,439
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_math,math,3,.06666667,435.40491,.3242065,437
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_math,math,4,.06666667,454.11316,.29139444,433
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_math,math,5,.06666667,472.01865,.28506157,445
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_math,math,6,.06666667,487.50394,.22000962,433
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_math,math,7,.06666667,503.22571,.16957161,436
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_math,math,8,.06666667,517.43878,.24829522,423
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_math,math,9,.06666667,533.47644,.24279636,421
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_math,math,10,.06666667,549.5025,.22743975,427
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_math,math,11,.06666667,566.25909,.28733632,415
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_math,math,12,.06666667,585.22632,.36886734,413
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_math,math,13,.06666667,608.52057,.39499584,387
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_math,math,14,.06666667,639.36383,.57624495,385
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_math,math,15,.06666667,705.30103,2.4715104,401
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_read,read,0,1,546.49713,4.3148785,6616
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_read,read,1,.06666667,378.08759,1.7512413,487
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_read,read,2,.06666667,430.2579,.41932511,469
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_read,read,3,.06666667,453.51154,.29934934,455
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_read,read,4,.06666667,473.31888,.30118492,444
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_read,read,5,.06666667,491.69266,.31051672,463
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_read,read,6,.06666667,508.22946,.27574867,464
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_read,read,7,.06666667,523.24011,.24149469,441
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_read,read,8,.06666667,538.92102,.23964886,437
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_read,read,9,.06666667,554.54089,.19653544,442
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_read,read,10,.06666667,571.85217,.2695975,437
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_read,read,11,.06666667,589.87054,.25426605,432
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_read,read,12,.06666667,610.08234,.35447207,440
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_read,read,13,.06666667,635.74573,.37325728,416
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_read,read,14,.06666667,672.90686,.59926927,395
LAC_2006_LLECE,LLECE,2006,CHL,6,score_llece_read,read,15,.06666667,758.54413,2.8334658,394
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_math,math,0,1,499.36639,4.8434672,5784
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_math,math,1,.06666667,351.26364,3.5157094,349
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_math,math,2,.06666667,404.91895,.63260025,338
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_math,math,3,.06666667,427.9086,.44397891,344
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_math,math,4,.06666667,445.59836,.38013619,373
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_math,math,5,.06666667,458.64603,.31058705,395
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_math,math,6,.06666667,471.47147,.1431876,325
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_math,math,7,.06666667,482.72452,.3417815,356
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_math,math,8,.06666667,493.21686,.21824688,379
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_math,math,9,.06666667,507.09998,.18994145,362
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_math,math,10,.06666667,518.66412,.26798886,381
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_math,math,11,.06666667,532.69366,.39786729,384
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_math,math,12,.06666667,549.479,.36682799,374
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_math,math,13,.06666667,572.77527,.38946578,393
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_math,math,14,.06666667,604.9696,.77828246,387
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_math,math,15,.06666667,683.01019,3.6653497,376
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_read,read,0,1,511.85739,5.3160863,5634
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_read,read,1,.06666667,336.63446,3.2989185,324
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_read,read,2,.06666667,398.39172,.67153329,345
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_read,read,3,.06666667,425.15936,.44879952,351
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_read,read,4,.06666667,446.64661,.36128601,372
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_read,read,5,.06666667,463.04532,.46967375,367
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_read,read,6,.06666667,476.59351,.35757414,363
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_read,read,7,.06666667,491.13406,.21952122,347
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_read,read,8,.06666667,506.38913,.18089499,389
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_read,read,9,.06666667,521.60663,.25421467,380
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_read,read,10,.06666667,536.15436,.32072669,419
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_read,read,11,.06666667,551.92035,.39997455,375
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_read,read,12,.06666667,571.35999,.4238565,408
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_read,read,13,.06666667,597.32202,.53756309,411
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_read,read,14,.06666667,631.0694,.96319366,392
LAC_2006_LLECE,LLECE,2006,COL,3,score_llece_read,read,15,.06666667,706.20398,2.2837737,391
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_math,math,0,1,492.97781,4.772212,5870
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_math,math,1,.06666667,341.07663,1.782455,368
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_math,math,2,.06666667,395.26202,.54459721,376
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_math,math,3,.06666667,419.8096,.45163861,362
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_math,math,4,.06666667,436.99811,.51137507,362
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_math,math,5,.06666667,452.67657,.26511538,360
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_math,math,6,.06666667,465.2034,.28462717,341
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_math,math,7,.06666667,477.67078,.22164014,394
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_math,math,8,.06666667,490.4848,.20830457,352
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_math,math,9,.06666667,503.94016,.30487439,371
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_math,math,10,.06666667,518.49176,.26470014,360
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_math,math,11,.06666667,532.39563,.34193921,376
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_math,math,12,.06666667,549.07147,.40012556,385
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_math,math,13,.06666667,570.03827,.44926706,409
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_math,math,14,.06666667,595.20215,.71838278,376
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_math,math,15,.06666667,652.63635,3.1536312,504
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_read,read,0,1,515.11578,5.614965,5851
LAC_2006_LLECE,LLECE,2006,COL,6,score_llece_read,read,1,.06666667,361.03693,3.1152718,377
