survey,assessment,year,countrycode,idgrade,outcome,subject,bin,pdf,m_score_bin,se_score_bin,n_score_bin
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_math,math,0,1,506.34995,4.211216,6272
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_math,math,1,.06666667,325.8819,4.470439,367
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_math,math,2,.06666667,403.2377,.55033839,356
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_math,math,3,.06666667,430.00012,.42723814,356
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_math,math,4,.06666667,450.59735,.42083928,364
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_math,math,5,.06666667,466.96527,.4527446,361
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_math,math,6,.06666667,480.1398,.3770459,347
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_math,math,7,.06666667,493.71039,.24172358,350
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_math,math,8,.06666667,508.83572,.091890529,364
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_math,math,9,.06666667,523.07629,.1917824,362
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_math,math,10,.06666667,536.65735,.38782012,346
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_math,math,11,.06666667,552.93268,.32581416,361
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_math,math,12,.06666667,572.12305,.33856714,355
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_math,math,13,.06666667,597.81738,.52556062,368
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_math,math,14,.06666667,632.77301,.5847708,364
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_math,math,15,.06666667,709.31805,2.6934602,369
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_read,read,0,1,511.40744,4.1505246,5781
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_read,read,1,.06666667,305.09537,4.1064181,387
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_read,read,2,.06666667,392.23361,.62214988,389
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_read,read,3,.06666667,422.56699,.46247616,379
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_read,read,4,.06666667,444.79297,.33930087,372
LAC_2006_LLECE,LLECE,2006,ARG,3,score_llece_read,read,5,.06666667,463.74258,.36637244,371
