year,countrycode,subgroup,total,male,urban,m_early,m_end,subject,indicator
2006,ARG,all,6663,3177,5858,505.36362,,math,score
2006,ARG,all,6595,3075,5926,505.36362,513.02631,math,score
2006,ARG,all,6663,3177,5858,510.03986,,read,score
2006,ARG,all,6595,3075,5926,510.03986,.44703284,read,hpro
2006,ARG,all,6595,3075,5926,510.03986,.24774507,read,fgt2
2006,ARG,all,6595,3075,5926,510.03986,.55296719,read,fgt0
2006,ARG,all,6595,3075,5926,510.03986,506.45465,read,score
2006,ARG,all,6595,3075,5926,510.03986,.46283093,read,fgt1
2006,ARG,all,6595,3075,5926,,488.71796,science,score
2006,ARG,male=0,6663,3177,5858,505.39206,,math,score
2006,ARG,male=0,6595,3075,5926,505.39206,512.11157,math,score
2006,ARG,male=0,6663,3177,5858,521.24878,,read,score
2006,ARG,male=0,6595,3075,5926,521.24878,512.30115,read,score
2006,ARG,male=0,6595,3075,5926,521.24878,.52624977,read,fgt0
2006,ARG,male=0,6595,3075,5926,521.24878,.47375023,read,hpro
2006,ARG,male=0,6595,3075,5926,521.24878,.24211596,read,fgt2
2006,ARG,male=0,6595,3075,5926,521.24878,.45782763,read,fgt1
2006,ARG,male=0,6595,3075,5926,,488.36929,science,score
2006,ARG,male=1,6663,3177,5858,506.80884,,math,score
2006,ARG,male=1,6595,3075,5926,506.80884,517.90442,math,score
2006,ARG,male=1,6663,3177,5858,503.50394,,read,score
2006,ARG,male=1,6595,3075,5926,503.50394,.42086866,read,hpro
2006,ARG,male=1,6595,3075,5926,503.50394,.57913136,read,fgt0
2006,ARG,male=1,6595,3075,5926,503.50394,.46553481,read,fgt1
2006,ARG,male=1,6595,3075,5926,503.50394,501.25598,read,score
2006,ARG,male=1,6595,3075,5926,503.50394,.25030839,read,fgt2
2006,ARG,male=1,6595,3075,5926,,493.4248,science,score
2006,ARG,urban=0,6663,3177,5858,469.70401,,math,score
2006,ARG,urban=0,6595,3075,5926,469.70401,476.82336,math,score
2006,ARG,urban=0,6663,3177,5858,479.3251,,read,score
2006,ARG,urban=0,6595,3075,5926,479.3251,.69750464,read,fgt0
2006,ARG,urban=0,6595,3075,5926,479.3251,467.24445,read,score
2006,ARG,urban=0,6595,3075,5926,479.3251,.30249539,read,hpro
2006,ARG,urban=0,6595,3075,5926,479.3251,.28860363,read,fgt2
2006,ARG,urban=0,6595,3075,5926,479.3251,.49554762,read,fgt1
2006,ARG,urban=0,6595,3075,5926,,470.94522,science,score
2006,ARG,urban=1,6663,3177,5858,509.79178,,math,score
2006,ARG,urban=1,6595,3075,5926,509.79178,517.03607,math,score
2006,ARG,urban=1,6663,3177,5858,513.854,,read,score
2006,ARG,urban=1,6595,3075,5926,513.854,.46304163,read,hpro
2006,ARG,urban=1,6595,3075,5926,513.854,.53695834,read,fgt0
2006,ARG,urban=1,6595,3075,5926,513.854,.45812383,read,fgt1
2006,ARG,urban=1,6595,3075,5926,513.854,.24186656,read,fgt2
2006,ARG,urban=1,6595,3075,5926,513.854,510.79752,read,score
2006,ARG,urban=1,6595,3075,5926,,490.68643,science,score
2006,BRA,all,5711,2804,4801,505.03305,,math,score
2006,BRA,all,5422,2578,4822,505.03305,499.42255,math,score
2006,BRA,all,5711,2804,4801,503.56573,,read,score
2006,BRA,all,5422,2578,4822,503.56573,520.31915,read,score
2006,BRA,all,5422,2578,4822,503.56573,.49931547,read,hpro
2006,BRA,all,5422,2578,4822,503.56573,.5006845,read,fgt0
2006,BRA,all,5422,2578,4822,503.56573,.22004989,read,fgt2
2006,BRA,all,5422,2578,4822,503.56573,.43975133,read,fgt1
2006,BRA,male=0,5711,2804,4801,506.84732,,math,score
2006,BRA,male=0,5422,2578,4822,506.84732,494.77255,math,score
2006,BRA,male=0,5711,2804,4801,514.00574,,read,score
2006,BRA,male=0,5422,2578,4822,514.00574,.46076411,read,fgt0
2006,BRA,male=0,5422,2578,4822,514.00574,.20307848,read,fgt2
