year,countrycode,subgroup,total,male,urban,m_early,m_end,subject,indicator
2006,BRA,male=0,5422,2578,4822,514.00574,.42364305,read,fgt1
2006,BRA,male=0,5422,2578,4822,514.00574,.53923589,read,hpro
2006,BRA,male=0,5422,2578,4822,514.00574,528.35632,read,score
2006,BRA,male=1,5711,2804,4801,504.93738,,math,score
2006,BRA,male=1,5422,2578,4822,504.93738,504.79135,math,score
2006,BRA,male=1,5711,2804,4801,495.43878,,read,score
2006,BRA,male=1,5422,2578,4822,495.43878,.4619678,read,hpro
2006,BRA,male=1,5422,2578,4822,495.43878,512.6698,read,score
2006,BRA,male=1,5422,2578,4822,495.43878,.23481832,read,fgt2
2006,BRA,male=1,5422,2578,4822,495.43878,.53803217,read,fgt0
2006,BRA,male=1,5422,2578,4822,495.43878,.45368341,read,fgt1
2006,BRA,urban=0,5711,2804,4801,455.01346,,math,score
2006,BRA,urban=0,5422,2578,4822,455.01346,461.45062,math,score
2006,BRA,urban=0,5711,2804,4801,453.14426,,read,score
2006,BRA,urban=0,5422,2578,4822,453.14426,.68728721,read,fgt0
2006,BRA,urban=0,5422,2578,4822,453.14426,.2544094,read,fgt2
2006,BRA,urban=0,5422,2578,4822,453.14426,476.4758,read,score
2006,BRA,urban=0,5422,2578,4822,453.14426,.31271279,read,hpro
2006,BRA,urban=0,5422,2578,4822,453.14426,.47274402,read,fgt1
2006,BRA,urban=1,5711,2804,4801,517.1803,,math,score
2006,BRA,urban=1,5422,2578,4822,517.1803,504.19205,math,score
2006,BRA,urban=1,5711,2804,4801,515.81055,,read,score
2006,BRA,urban=1,5422,2578,4822,515.81055,.2138347,read,fgt2
2006,BRA,urban=1,5422,2578,4822,515.81055,.47724611,read,fgt0
2006,BRA,urban=1,5422,2578,4822,515.81055,525.82617,read,score
2006,BRA,urban=1,5422,2578,4822,515.81055,.52275389,read,hpro
2006,BRA,urban=1,5422,2578,4822,515.81055,.43378338,read,fgt1
2006,CHL,all,6136,2967,5626,529.45935,,math,score
2006,CHL,all,6912,3344,6239,529.45935,517.30511,math,score
2006,CHL,all,6136,2967,5626,562.0307,,read,score
2006,CHL,all,6912,3344,6239,562.0307,546.06989,read,score
2006,CHL,all,6912,3344,6239,562.0307,.40817106,read,fgt1
2006,CHL,all,6912,3344,6239,562.0307,.18766263,read,fgt2
2006,CHL,all,6912,3344,6239,562.0307,.61621916,read,hpro
2006,CHL,all,6912,3344,6239,562.0307,.38378084,read,fgt0
2006,CHL,male=0,6136,2967,5626,523.42816,,math,score
2006,CHL,male=0,6912,3344,6239,523.42816,515.44489,math,score
2006,CHL,male=0,6136,2967,5626,564.26709,,read,score
2006,CHL,male=0,6912,3344,6239,564.26709,.63134962,read,hpro
2006,CHL,male=0,6912,3344,6239,564.26709,550.30939,read,score
2006,CHL,male=0,6912,3344,6239,564.26709,.39544344,read,fgt1
2006,CHL,male=0,6912,3344,6239,564.26709,.36865038,read,fgt0
2006,CHL,male=0,6912,3344,6239,564.26709,.17396194,read,fgt2
2006,CHL,male=1,6136,2967,5626,536.7981,,math,score
2006,CHL,male=1,6912,3344,6239,536.7981,522.28009,math,score
2006,CHL,male=1,6136,2967,5626,561.80511,,read,score
2006,CHL,male=1,6912,3344,6239,561.80511,.41726223,read,fgt1
2006,CHL,male=1,6912,3344,6239,561.80511,.19767728,read,fgt2
2006,CHL,male=1,6912,3344,6239,561.80511,.39026856,read,fgt0
2006,CHL,male=1,6912,3344,6239,561.80511,.60973144,read,hpro
2006,CHL,male=1,6912,3344,6239,561.80511,543.4209,read,score
2006,CHL,urban=0,6136,2967,5626,500.13605,,math,score
2006,CHL,urban=0,6912,3344,6239,500.13605,485.3017,math,score
2006,CHL,urban=0,6136,2967,5626,531.48022,,read,score
2006,CHL,urban=0,6912,3344,6239,531.48022,.40791449,read,fgt1
2006,CHL,urban=0,6912,3344,6239,531.48022,.52450979,read,fgt0
2006,CHL,urban=0,6912,3344,6239,531.48022,.47549024,read,hpro
2006,CHL,urban=0,6912,3344,6239,531.48022,514.80951,read,score
2006,CHL,urban=0,6912,3344,6239,531.48022,.18794529,read,fgt2
2006,CHL,urban=1,6136,2967,5626,533.42444,,math,score
2006,CHL,urban=1,6912,3344,6239,533.42444,521.80988,math,score
2006,CHL,urban=1,6136,2967,5626,566.16174,,read,score
2006,CHL,urban=1,6912,3344,6239,566.16174,550.47003,read,score
2006,CHL,urban=1,6912,3344,6239,566.16174,.40822309,read,fgt1
2006,CHL,urban=1,6912,3344,6239,566.16174,.18760529,read,fgt2
2006,CHL,urban=1,6912,3344,6239,566.16174,.36397213,read,fgt0
2006,CHL,urban=1,6912,3344,6239,566.16174,.63602787,read,hpro
2006,COL,all,5902,2865,4570,499.35388,,math,score
2006,COL,all,6026,2866,4761,499.35388,492.71219,math,score
2006,COL,all,5902,2865,4570,510.58072,,read,score
2006,COL,all,6026,2866,4761,510.58072,.51808834,read,fgt0
2006,COL,all,6026,2866,4761,510.58072,.42309368,read,fgt1
2006,COL,all,6026,2866,4761,510.58072,.48191166,read,hpro
2006,COL,all,6026,2866,4761,510.58072,514.93689,read,score
2006,COL,all,6026,2866,4761,510.58072,.20255369,read,fgt2
2006,COL,all,6026,2866,4761,,504.31729,science,score
2006,COL,male=0,5902,2865,4570,495.69275,,math,score
2006,COL,male=0,6026,2866,4761,495.69275,485.95706,math,score
2006,COL,male=0,5902,2865,4570,513.65778,,read,score
2006,COL,male=0,6026,2866,4761,513.65778,.42360693,read,fgt1
2006,COL,male=0,6026,2866,4761,513.65778,.20298383,read,fgt2
2006,COL,male=0,6026,2866,4761,513.65778,.47392556,read,hpro
2006,COL,male=0,6026,2866,4761,513.65778,.52607441,read,fgt0
2006,COL,male=0,6026,2866,4761,513.65778,512.87732,read,score
2006,COL,male=0,6026,2866,4761,,495.30264,science,score
2006,COL,male=1,5902,2865,4570,503.95251,,math,score
2006,COL,male=1,6026,2866,4761,503.95251,500.48651,math,score
2006,COL,male=1,5902,2865,4570,509.01611,,read,score
2006,COL,male=1,6026,2866,4761,509.01611,.49110687,read,hpro
2006,COL,male=1,6026,2866,4761,509.01611,.20154898,read,fgt2
2006,COL,male=1,6026,2866,4761,509.01611,517.30774,read,score
2006,COL,male=1,6026,2866,4761,509.01611,.50889313,read,fgt0
2006,COL,male=1,6026,2866,4761,509.01611,.42198449,read,fgt1
2006,COL,male=1,6026,2866,4761,,514.23547,science,score
2006,COL,urban=0,5902,2865,4570,480.51022,,math,score
2006,COL,urban=0,6026,2866,4761,480.51022,468.94827,math,score
2006,COL,urban=0,5902,2865,4570,474.07745,,read,score
2006,COL,urban=0,6026,2866,4761,474.07745,.30522221,read,hpro
2006,COL,urban=0,6026,2866,4761,474.07745,.24228001,read,fgt2
2006,COL,urban=0,6026,2866,4761,474.07745,480.77295,read,score
2006,COL,urban=0,6026,2866,4761,474.07745,.69477779,read,fgt0
2006,COL,urban=0,6026,2866,4761,474.07745,.46172407,read,fgt1
2006,COL,urban=0,6026,2866,4761,,485.62698,science,score
2006,COL,urban=1,5902,2865,4570,506.79654,,math,score
2006,COL,urban=1,6026,2866,4761,506.79654,497.98178,math,score
2006,COL,urban=1,5902,2865,4570,524.99835,,read,score
2006,COL,urban=1,6026,2866,4761,524.99835,.41066623,read,fgt1
2006,COL,urban=1,6026,2866,4761,524.99835,522.5127,read,score
2006,COL,urban=1,6026,2866,4761,524.99835,.18977365,read,fgt2
2006,COL,urban=1,6026,2866,4761,524.99835,.52109218,read,hpro
2006,COL,urban=1,6026,2866,4761,524.99835,.47890782,read,fgt0
2006,COL,urban=1,6026,2866,4761,,508.46182,science,score
2006,CRI,all,5233,2510,3937,538.32251,,math,score
2006,CRI,all,4703,2148,3648,538.32251,549.33014,math,score
2006,CRI,all,5233,2510,3937,562.68738,,read,score
2006,CRI,all,4703,2148,3648,562.68738,.17616157,read,fgt2
2006,CRI,all,4703,2148,3648,562.68738,563.19232,read,score
2006,CRI,all,4703,2148,3648,562.68738,.3966496,read,fgt1
2006,CRI,all,4703,2148,3648,562.68738,.7132796,read,hpro
2006,CRI,all,4703,2148,3648,562.68738,.2867204,read,fgt0
2006,CRI,male=0,5233,2510,3937,533.26697,,math,score
2006,CRI,male=0,4703,2148,3648,533.26697,539.20612,math,score
2006,CRI,male=0,5233,2510,3937,565.12329,,read,score
2006,CRI,male=0,4703,2148,3648,565.12329,.28723234,read,fgt0
2006,CRI,male=0,4703,2148,3648,565.12329,.39001259,read,fgt1
2006,CRI,male=0,4703,2148,3648,565.12329,.16822745,read,fgt2
2006,CRI,male=0,4703,2148,3648,565.12329,563.25305,read,score
2006,CRI,male=0,4703,2148,3648,565.12329,.71276766,read,hpro
2006,CRI,male=1,5233,2510,3937,544.06732,,math,score
2006,CRI,male=1,4703,2148,3648,544.06732,559.87769,math,score
2006,CRI,male=1,5233,2510,3937,560.43494,,read,score
2006,CRI,male=1,4703,2148,3648,560.43494,.1747271,read,fgt2
2006,CRI,male=1,4703,2148,3648,560.43494,.71218014,read,hpro
2006,CRI,male=1,4703,2148,3648,560.43494,.28781986,read,fgt0
2006,CRI,male=1,4703,2148,3648,560.43494,564.0033,read,score
2006,CRI,male=1,4703,2148,3648,560.43494,.3947967,read,fgt1
2006,CRI,urban=0,5233,2510,3937,521.61389,,math,score
2006,CRI,urban=0,4703,2148,3648,521.61389,535.40265,math,score
2006,CRI,urban=0,5233,2510,3937,539.13123,,read,score
2006,CRI,urban=0,4703,2148,3648,539.13123,.40228516,read,fgt1
2006,CRI,urban=0,4703,2148,3648,539.13123,.18163323,read,fgt2
2006,CRI,urban=0,4703,2148,3648,539.13123,.37296277,read,fgt0
2006,CRI,urban=0,4703,2148,3648,539.13123,542.68829,read,score
2006,CRI,urban=0,4703,2148,3648,539.13123,.62703723,read,hpro
2006,CRI,urban=1,5233,2510,3937,550.86792,,math,score
2006,CRI,urban=1,4703,2148,3648,550.86792,558.74561,math,score
2006,CRI,urban=1,5233,2510,3937,580.37415,,read,score
2006,CRI,urban=1,4703,2148,3648,580.37415,577.05377,read,score
2006,CRI,urban=1,4703,2148,3648,580.37415,.22841775,read,fgt0
2006,CRI,urban=1,4703,2148,3648,580.37415,.3904289,read,fgt1
2006,CRI,urban=1,4703,2148,3648,580.37415,.77158225,read,hpro
2006,CRI,urban=1,4703,2148,3648,580.37415,.17012177,read,fgt2
2006,CUB,all,5293,2737,4254,647.93317,,math,score
2006,CUB,all,5902,3059,4799,647.93317,637.46588,math,score
2006,CUB,all,5293,2737,4254,626.88885,,read,score
2006,CUB,all,5902,3059,4799,626.88885,.74881577,read,hpro
2006,CUB,all,5902,3059,4799,626.88885,595.92065,read,score
2006,CUB,all,5902,3059,4799,626.88885,.25118423,read,fgt0
2006,CUB,all,5902,3059,4799,626.88885,.19140036,read,fgt2
2006,CUB,all,5902,3059,4799,626.88885,.41098553,read,fgt1
2006,CUB,all,5902,3059,4799,,661.73682,science,score
2006,CUB,male=0,5293,2737,4254,650.40521,,math,score
2006,CUB,male=0,5902,3059,4799,650.40521,641.76276,math,score
2006,CUB,male=0,5293,2737,4254,633.87756,,read,score
2006,CUB,male=0,5902,3059,4799,633.87756,.22114068,read,fgt0
2006,CUB,male=0,5902,3059,4799,633.87756,603.81195,read,score
2006,CUB,male=0,5902,3059,4799,633.87756,.77885932,read,hpro
2006,CUB,male=0,5902,3059,4799,633.87756,.18229331,read,fgt2
2006,CUB,male=0,5902,3059,4799,633.87756,.40249076,read,fgt1
2006,CUB,male=0,5902,3059,4799,,665.591,science,score
2006,CUB,male=1,5293,2737,4254,645.93506,,math,score
2006,CUB,male=1,5902,3059,4799,645.93506,633.51788,math,score
2006,CUB,male=1,5293,2737,4254,620.5376,,read,score
2006,CUB,male=1,5902,3059,4799,620.5376,.72099322,read,hpro
2006,CUB,male=1,5902,3059,4799,620.5376,.19806154,read,fgt2
2006,CUB,male=1,5902,3059,4799,620.5376,588.59729,read,score
2006,CUB,male=1,5902,3059,4799,620.5376,.41719884,read,fgt1
2006,CUB,male=1,5902,3059,4799,620.5376,.27900678,read,fgt0
2006,CUB,male=1,5902,3059,4799,,658.18597,science,score
2006,CUB,urban=0,5293,2737,4254,641.73926,,math,score
2006,CUB,urban=0,5902,3059,4799,641.73926,633.51959,math,score
2006,CUB,urban=0,5293,2737,4254,614.21313,,read,score
2006,CUB,urban=0,5902,3059,4799,614.21313,.39274234,read,fgt1
2006,CUB,urban=0,5902,3059,4799,614.21313,585.81665,read,score
2006,CUB,urban=0,5902,3059,4799,614.21313,.70564955,read,hpro
2006,CUB,urban=0,5902,3059,4799,614.21313,.29435045,read,fgt0
2006,CUB,urban=0,5902,3059,4799,614.21313,.17197353,read,fgt2
2006,CUB,urban=0,5902,3059,4799,,652.73767,science,score
2006,CUB,urban=1,5293,2737,4254,649.52936,,math,score
2006,CUB,urban=1,5902,3059,4799,649.52936,638.50055,math,score
2006,CUB,urban=1,5293,2737,4254,630.1554,,read,score
2006,CUB,urban=1,5902,3059,4799,630.1554,.41685477,read,fgt1
2006,CUB,urban=1,5902,3059,4799,630.1554,.76013285,read,hpro
2006,CUB,urban=1,5902,3059,4799,630.1554,.23986715,read,fgt0
2006,CUB,urban=1,5902,3059,4799,630.1554,.19765045,read,fgt2
2006,CUB,urban=1,5902,3059,4799,630.1554,598.56964,read,score
2006,CUB,urban=1,5902,3059,4799,,664.09613,science,score
2006,DOM,all,4554,2143,3170,395.6492,,math,score
2006,DOM,all,4618,2036,3354,395.6492,415.63702,math,score
2006,DOM,all,4554,2143,3170,395.4397,,read,score
2006,DOM,all,4618,2036,3354,395.4397,421.47165,read,score
2006,DOM,all,4618,2036,3354,395.4397,.89417332,read,fgt0
2006,DOM,all,4618,2036,3354,395.4397,.33002394,read,fgt2
2006,DOM,all,4618,2036,3354,395.4397,.10582667,read,hpro
2006,DOM,all,4618,2036,3354,395.4397,.5421018,read,fgt1
2006,DOM,all,4618,2036,3354,,426.31378,science,score
2006,DOM,male=0,4554,2143,3170,409.5784,,math,score
2006,DOM,male=0,4618,2036,3354,409.5784,417.55011,math,score
2006,DOM,male=0,4554,2143,3170,407.36621,,read,score
2006,DOM,male=0,4618,2036,3354,407.36621,.12218622,read,hpro
2006,DOM,male=0,4618,2036,3354,407.36621,.87781376,read,fgt0
2006,DOM,male=0,4618,2036,3354,407.36621,.31020859,read,fgt2
2006,DOM,male=0,4618,2036,3354,407.36621,429.75296,read,score
2006,DOM,male=0,4618,2036,3354,407.36621,.52422434,read,fgt1
2006,DOM,male=0,4618,2036,3354,,426.44308,science,score
2006,DOM,male=1,4554,2143,3170,396.9162,,math,score
2006,DOM,male=1,4618,2036,3354,396.9162,416.58878,math,score
2006,DOM,male=1,4554,2143,3170,394.32062,,read,score
2006,DOM,male=1,4618,2036,3354,394.32062,414.66068,read,score
2006,DOM,male=1,4618,2036,3354,394.32062,.55481976,read,fgt1
2006,DOM,male=1,4618,2036,3354,394.32062,.90959102,read,fgt0
2006,DOM,male=1,4618,2036,3354,394.32062,.090408958,read,hpro
2006,DOM,male=1,4618,2036,3354,394.32062,.34338447,read,fgt2
2006,DOM,male=1,4618,2036,3354,,427.09692,science,score
2006,DOM,urban=0,4554,2143,3170,385.1701,,math,score
2006,DOM,urban=0,4618,2036,3354,385.1701,409.65408,math,score
2006,DOM,urban=0,4554,2143,3170,383.85962,,read,score
2006,DOM,urban=0,4618,2036,3354,383.85962,.56987435,read,fgt1
2006,DOM,urban=0,4618,2036,3354,383.85962,.35927179,read,fgt2
2006,DOM,urban=0,4618,2036,3354,383.85962,.939403,read,fgt0
2006,DOM,urban=0,4618,2036,3354,383.85962,.060597003,read,hpro
2006,DOM,urban=0,4618,2036,3354,383.85962,405.70416,read,score
2006,DOM,urban=0,4618,2036,3354,,418.91568,science,score
2006,DOM,urban=1,4554,2143,3170,402.77429,,math,score
2006,DOM,urban=1,4618,2036,3354,402.77429,418.66605,math,score
2006,DOM,urban=1,4554,2143,3170,403.31342,,read,score
2006,DOM,urban=1,4618,2036,3354,403.31342,.52694172,read,fgt1
2006,DOM,urban=1,4618,2036,3354,403.31342,.87127453,read,fgt0
2006,DOM,urban=1,4618,2036,3354,403.31342,429.45441,read,score
2006,DOM,urban=1,4618,2036,3354,403.31342,.12872547,read,hpro
2006,DOM,urban=1,4618,2036,3354,403.31342,.31405851,read,fgt2
2006,DOM,urban=1,4618,2036,3354,,430.05927,science,score
2006,ECU,all,5349,2767,4084,473.06845,,math,score
2006,ECU,all,5376,2665,4073,473.06845,459.50262,math,score
2006,ECU,all,5349,2767,4084,452.41116,,read,score
2006,ECU,all,5376,2665,4073,452.41116,.30693525,read,fgt2
2006,ECU,all,5376,2665,4073,452.41116,.22360082,read,hpro
2006,ECU,all,5376,2665,4073,452.41116,447.44034,read,score
2006,ECU,all,5376,2665,4073,452.41116,.7763992,read,fgt0
2006,ECU,all,5376,2665,4073,452.41116,.51636004,read,fgt1
2006,ECU,male=0,5349,2767,4084,473.34723,,math,score
2006,ECU,male=0,5376,2665,4073,473.34723,460.94324,math,score
2006,ECU,male=0,5349,2767,4084,457.20908,,read,score
2006,ECU,male=0,5376,2665,4073,457.20908,.76427907,read,fgt0
2006,ECU,male=0,5376,2665,4073,457.20908,450.44635,read,score
2006,ECU,male=0,5376,2665,4073,457.20908,.30628046,read,fgt2
2006,ECU,male=0,5376,2665,4073,457.20908,.51538551,read,fgt1
2006,ECU,male=0,5376,2665,4073,457.20908,.23572092,read,hpro
2006,ECU,male=1,5349,2767,4084,472.79251,,math,score
2006,ECU,male=1,5376,2665,4073,472.79251,460.64987,math,score
2006,ECU,male=1,5349,2767,4084,448.19116,,read,score
2006,ECU,male=1,5376,2665,4073,448.19116,.20946428,read,hpro
2006,ECU,male=1,5376,2665,4073,448.19116,444.05762,read,score
2006,ECU,male=1,5376,2665,4073,448.19116,.30930552,read,fgt2
2006,ECU,male=1,5376,2665,4073,448.19116,.79053569,read,fgt0
2006,ECU,male=1,5376,2665,4073,448.19116,.51873112,read,fgt1
2006,ECU,urban=0,5349,2767,4084,459.69144,,math,score
2006,ECU,urban=0,5376,2665,4073,459.69144,430.91687,math,score
2006,ECU,urban=0,5349,2767,4084,424.73853,,read,score
2006,ECU,urban=0,5376,2665,4073,424.73853,.87717545,read,fgt0
2006,ECU,urban=0,5376,2665,4073,424.73853,416.57819,read,score
2006,ECU,urban=0,5376,2665,4073,424.73853,.34435448,read,fgt2
2006,ECU,urban=0,5376,2665,4073,424.73853,.12282456,read,hpro
2006,ECU,urban=0,5376,2665,4073,424.73853,.54855907,read,fgt1
2006,ECU,urban=1,5349,2767,4084,480.39319,,math,score
2006,ECU,urban=1,5376,2665,4073,480.39319,473.72403,math,score
2006,ECU,urban=1,5349,2767,4084,467.56363,,read,score
2006,ECU,urban=1,5376,2665,4073,467.56363,.49701244,read,fgt1
2006,ECU,urban=1,5376,2665,4073,467.56363,.27373704,read,hpro
2006,ECU,urban=1,5376,2665,4073,467.56363,462.79425,read,score
2006,ECU,urban=1,5376,2665,4073,467.56363,.28445089,read,fgt2
2006,ECU,urban=1,5376,2665,4073,467.56363,.72626293,read,fgt0
2006,GTM,all,7095,3327,4297,457.09561,,math,score
2006,GTM,all,5365,2653,3706,457.09561,455.8074,math,score
2006,GTM,all,7095,3327,4297,446.95026,,read,score
2006,GTM,all,5365,2653,3706,446.95026,.20721622,read,hpro
2006,GTM,all,5365,2653,3706,446.95026,451.46283,read,score
2006,GTM,all,5365,2653,3706,446.95026,.7927838,read,fgt0
2006,GTM,all,5365,2653,3706,446.95026,.28218728,read,fgt2
2006,GTM,all,5365,2653,3706,446.95026,.49638668,read,fgt1
2006,GTM,male=0,7095,3327,4297,454.83087,,math,score
2006,GTM,male=0,5365,2653,3706,454.83087,453.04428,math,score
2006,GTM,male=0,7095,3327,4297,448.87643,,read,score
2006,GTM,male=0,5365,2653,3706,448.87643,450.78873,read,score
2006,GTM,male=0,5365,2653,3706,448.87643,.79422021,read,fgt0
2006,GTM,male=0,5365,2653,3706,448.87643,.4953416,read,fgt1
2006,GTM,male=0,5365,2653,3706,448.87643,.28249872,read,fgt2
2006,GTM,male=0,5365,2653,3706,448.87643,.20577981,read,hpro
2006,GTM,male=1,7095,3327,4297,461.8075,,math,score
2006,GTM,male=1,5365,2653,3706,461.8075,459.95331,math,score
2006,GTM,male=1,7095,3327,4297,447.2081,,read,score
2006,GTM,male=1,5365,2653,3706,447.2081,.78503472,read,fgt0
2006,GTM,male=1,5365,2653,3706,447.2081,.21496527,read,hpro
2006,GTM,male=1,5365,2653,3706,447.2081,.28071886,read,fgt2
2006,GTM,male=1,5365,2653,3706,447.2081,453.23184,read,score
2006,GTM,male=1,5365,2653,3706,447.2081,.49581352,read,fgt1
2006,GTM,urban=0,7095,3327,4297,445.20215,,math,score
2006,GTM,urban=0,5365,2653,3706,445.20215,440.85641,math,score
2006,GTM,urban=0,7095,3327,4297,427.93399,,read,score
2006,GTM,urban=0,5365,2653,3706,427.93399,430.53262,read,score
2006,GTM,urban=0,5365,2653,3706,427.93399,.12476479,read,hpro
2006,GTM,urban=0,5365,2653,3706,427.93399,.51804882,read,fgt1
2006,GTM,urban=0,5365,2653,3706,427.93399,.30576155,read,fgt2
2006,GTM,urban=0,5365,2653,3706,427.93399,.8752352,read,fgt0
2006,GTM,urban=1,7095,3327,4297,485.27365,,math,score
2006,GTM,urban=1,5365,2653,3706,485.27365,479.24988,math,score
2006,GTM,urban=1,7095,3327,4297,492.00369,,read,score
2006,GTM,urban=1,5365,2653,3706,492.00369,484.28055,read,score
2006,GTM,urban=1,5365,2653,3706,492.00369,.23342839,read,fgt2
2006,GTM,urban=1,5365,2653,3706,492.00369,.66350341,read,fgt0
2006,GTM,urban=1,5365,2653,3706,492.00369,.33649656,read,hpro
2006,GTM,urban=1,5365,2653,3706,492.00369,.45158264,read,fgt1
2006,MEX,all,4753,2311,3720,532.09583,,math,score
2006,MEX,all,4825,2364,3709,532.09583,541.60907,math,score
2006,MEX,all,4753,2311,3720,530.44257,,read,score
2006,MEX,all,4825,2364,3709,530.44257,.42552608,read,fgt1
2006,MEX,all,4825,2364,3709,530.44257,.45855314,read,fgt0
2006,MEX,all,4825,2364,3709,530.44257,.54144686,read,hpro
2006,MEX,all,4825,2364,3709,530.44257,529.91937,read,score
2006,MEX,all,4825,2364,3709,530.44257,.20441109,read,fgt2
2006,MEX,male=0,4753,2311,3720,533.37012,,math,score
2006,MEX,male=0,4825,2364,3709,533.37012,544.96094,math,score
2006,MEX,male=0,4753,2311,3720,539.50995,,read,score
2006,MEX,male=0,4825,2364,3709,539.50995,.42603856,read,fgt0
2006,MEX,male=0,4825,2364,3709,539.50995,.57396144,read,hpro
2006,MEX,male=0,4825,2364,3709,539.50995,537.11438,read,score
2006,MEX,male=0,4825,2364,3709,539.50995,.42069197,read,fgt1
2006,MEX,male=0,4825,2364,3709,539.50995,.1997197,read,fgt2
2006,MEX,male=1,4753,2311,3720,533.28326,,math,score
2006,MEX,male=1,4825,2364,3709,533.28326,538.60931,math,score
2006,MEX,male=1,4753,2311,3720,526.30731,,read,score
2006,MEX,male=1,4825,2364,3709,526.30731,523.79492,read,score
2006,MEX,male=1,4825,2364,3709,526.30731,.20620869,read,fgt2
2006,MEX,male=1,4825,2364,3709,526.30731,.5106771,read,hpro
2006,MEX,male=1,4825,2364,3709,526.30731,.4893229,read,fgt0
2006,MEX,male=1,4825,2364,3709,526.30731,.42739803,read,fgt1
2006,MEX,urban=0,4753,2311,3720,501.13553,,math,score
2006,MEX,urban=0,4825,2364,3709,501.13553,504.09265,math,score
2006,MEX,urban=0,4753,2311,3720,485.46667,,read,score
2006,MEX,urban=0,4825,2364,3709,485.46667,.4463253,read,fgt1
2006,MEX,urban=0,4825,2364,3709,485.46667,.65389287,read,fgt0
